question_id,来源,完整设问,材料动作,总帽子,小方法,触发逻辑,答案句,证据等级,框架落点,题型标签,当前判定
Q-2024朝阳二模-19-1,Q-2024朝阳二模-19-1 | S-2024朝阳二模 | 021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),needs_current_source_split,"19. (16 分) 中华文明拥有五千多年不间断的历史,积淀形成辉煌灿烂的中华优秀传统文化,中 华优秀传统文化的特质赋予中国式现代化深厚底蕴,给予其精神和思想力量。 生生之宇宙观 宇宙处于生生不息的变化之中。“天地之大德曰生”“富有之谓大业,日新之谓盛德, 生生之谓易”。宇宙永久的变易包含永远的革新,是生命的不断充实、",辩证思维,辩证思维；动态性,①动态性=用变化发展观点看问题;②类比=两类对象由相同属性推出新相同属性,细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认,source_confirmed_archive_needs_current_recheck,辩证思维,"①填错为整体性/质量互变会丢分;②类比变通""无变通""严格",入正文
Q-2024朝阳二模-19-2,Q-2024朝阳二模-19-2 | S-2024朝阳二模 | 021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),needs_current_source_split,"19. (16 分) 中华文明拥有五千多年不间断的历史,积淀形成辉煌灿烂的中华优秀传统文化,中 华优秀传统文化的特质赋予中国式现代化深厚底蕴,给予其精神和思想力量。 生生之宇宙观 宇宙处于生生不息的变化之中。“天地之大德曰生”“富有之谓大业,日新之谓盛德, 生生之谓易”。宇宙永久的变易包含永远的革新,是生命的不断充实、",辩证思维,辩证思维；动态性,当且仅当各联言支都真则联言判断真;一假即假,细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认,source_confirmed_archive_needs_current_recheck,辩证思维,"错别字""连言判断""不给分;表述为""充分/必要条件联言判断""不给分",入正文
Q-2024朝阳期中-19,Q-2024朝阳期中-19 | S-2024朝阳期中 | 017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19,needs_current_source_split,"19. (8 分) 首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经 济活动的总称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首 次设立研发中心,再到设立企业总部的链式发展全过程。 消费者需求不断升级,首发经济如何赋能经济增长? 朝外大街这条曾经辉煌的北京 第三商业街,经",科学思维,科学思维；辩证思维；创新思维；分析与综合；发散；聚合；联想；逆向；超前；迁移,材料三段对应五个创新思维点;每点2分(思维+材料),细则018明确五点=业态/品牌/服务/价值耦合等;思维方法包括发散/聚合/联想;A-formal确认,source_confirmed_archive_needs_current_recheck,科学思维,只把2思维写全但材料不匹配只1分;只1思维0分,入正文
Q-2024海淀二模-17-1,Q-2024海淀二模-17-1 | S-2024海淀二模 | 027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(1),needs_current_source_split,"17.(11 分)时间都去哪儿了? 时间利用调查是国际通行的一项社会调查,主要通过采集居民在一段特定时间内的活动信 息,反映居民在个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等各项活动的时间 投入。此次全国时间利用调查的主要目的,是为了全面、真实、准确了解我国居民时间利用情况, 客观反映居民生活质量和生活模式",科学思维,科学思维；辩证思维；创新思维；整体性；发散；聚合；超前；思维抽象；思维具体；感性具体,三角度多挂载;客观性/三新/整体性各分别采分;表格化采分细则,"L57-61,细则028表1明确三角度对应:科学思维(客观性/预见性,2分)+创新思维(三新/发散聚合/超前,3分)+辩证思维(整体性/分析综合,2分);A-formal确认",source_confirmed_archive_needs_current_recheck,科学思维,只列知识无材料分析1分;混淆角度归属丢分,入正文
Q-2024海淀二模-17-2,Q-2024海淀二模-17-2 | S-2024海淀二模 | 027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(2),needs_current_source_split,"17.(11 分)时间都去哪儿了? 时间利用调查是国际通行的一项社会调查,主要通过采集居民在一段特定时间内的活动信 息,反映居民在个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等各项活动的时间 投入。此次全国时间利用调查的主要目的,是为了全面、真实、准确了解我国居民时间利用情况, 客观反映居民生活质量和生活模式",科学思维,科学思维；整体性；思维抽象；思维具体；感性具体,调查了解=感性具体;分析研究=思维抽象+思维具体;两阶段相互依赖,细则028明确感性具体1分+思维抽象/思维具体1分+相互依赖2分;严禁颠倒;A-formal确认,source_confirmed_archive_needs_current_recheck,科学思维,"关系颠倒不给分(感性具体↔思维具体方向);用""实践决定认识""替代仅1分",入正文
Q-2025东城期末-18-2,Q-2025东城期末-18-2 | S-2025东城期末 | 012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),needs_current_source_split,"18.(12 分)千年华夏飞天梦,廿载嫦娥揽月回。 自2004 年以来,在国家资金和政策的支持下,遥感通信等核心技术取得重大突破,中国探月工程步步 衔接、接续跨越、连战连捷。2024 年6 月25 日,嫦娥六号带回人类首份1935.3 克珍贵月球背面月壤, 这是我国建设航天强国、科技强国取得的又一标志性成果。总设计师胡",创新思维,创新思维；发散；聚合；联想；超前；迁移,登月服=服装造型+火箭形象+传统文化(联想)+月面环境+航天员需要(聚合发散);三新(思路新方法新结果新),"题干明确""运用《逻辑与思维》知识,创新思维"";细则012明确联想思维+聚合发散+三新;A-formal确认",source_confirmed_archive_needs_current_recheck,创新思维,只列思维无材料分析丢分;混淆联想/发散/聚合归属丢分,入正文
Q-2025海淀二模-20,Q-2025海淀二模-20 | S-2025海淀二模 | 008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf::render_page_07::Q20,needs_current_source_split,20.（6分）共享是中国特色社会主义的本质要求。材料列出全民共享、全面共享、共建共享、渐进共享；设问要求运用辩证思维谈如何坚持共享发展理念推进共同富裕。,辩证思维,辩证思维；整体性；动态性；分析与综合；质量互变；辩证否定,角度池1+2赋分·选2·上限6分·矛盾最多2,维持LOCKED_FOR_FUSION；Phase03 Lane B已做视觉确认；009+010+011三源完全一致；角度池赋分6分从3选2；上限6分,locked_archive_needs_current_recheck,辩证思维,禁止写成三点全必答；辩证否定≠否定一切；整体性须含联结/综合/系统优化不能只写整体,入正文
Q-2025海淀期末-17-1,Q-2025海淀期末-17-1 | S-2025海淀期末 | 015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(1),needs_current_source_split,"17. 阅读材料,完成问题。 在人们的想象中,永动机是可以不停地自动运动的机械装置。 下图是刊登在某杂志上的“永动机”设计图。一盆水,上面漂浮着一个架子。架子下方是一个叶轮。一条毛巾搭在架子上,一端浸入水中,另一端悬挂在叶轮上方。浸入水中的一端吸水,而悬着的另一端必然会滴水。水滴打在叶轮上,叶轮便会运转起来。这样,不需",科学思维,科学思维,从实际出发+如实反映对象+把握客观规律;毛巾毛细作用吸水高度有限非永动,"题干明确""运用科学思维知识"";细则015明确客观性规则+材料分析;A-formal确认",source_confirmed_archive_needs_current_recheck,科学思维,误用辩证思维或创新思维替代客观性丢分,入正文
Q-2025海淀期末-18,Q-2025海淀期末-18 | S-2025海淀期末 | 015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q18,needs_current_source_split,"18. 阅读材料,完成问题。 “一个充满活力和吸引力的图书天堂”——北京城市图书馆从多个国家的图书馆中脱颖而出,获得“2024年度公共图书馆奖”,这是中国首次荣获此项世界公共图书馆界最高荣誉。 硬科技:数字文化服务新阵地 依靠“硬核科技”,北京城市图书馆实现从“人找书”转向“书找人”,以数字技术为依托,通过构建更加立体",创新思维,创新思维；联想；逆向；迁移,逆向思维=人找书→书找人(对结构顺序反向思考);联想思维=赤印意象→建筑设计(同化性迁移),细则015明确逆向思维(对事物结构顺序的已有认识进行反向思考)+联想思维(同化性迁移);A-formal确认,source_confirmed_archive_needs_current_recheck,创新思维,误用创新思维总称替代逆向/联想会扣分;混淆迁移类型扣分,入正文
Q-2025西城二模-16-3,Q-2025西城二模-16-3 | S-2025西城二模 | 037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(3),needs_current_source_split,"16.(14 分) 京郊的鹿叫村遗址,生物资源丰富,是各种野生动植物的栖息地。 上世纪80年代,因为取水问题鹿叫村整体搬迁,村落遗址内保留着较 多废弃水井和地窖,时常有动物掉入,对区域野生动物造成极大威胁。 2024 年,延庆区自然保护地管理处在水井内建造了攀爬台阶,并营造了5 处雨水收集池,便于不同体型的动物们自由取",创新思维,创新思维,调整种植结构等，运用创新思维改变创造条件、建立新的具体联系,A/B conflict resolved by sub-question split; 16(3) is thinking/innovation,locked_archive_needs_current_recheck,创新思维,不是推理题；A/B分类冲突由子问拆分解决,入正文
Q-2026东城一模-19-4,Q-2026东城一模-19-4 | S-2026东城一模 | 046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),needs_current_source_split,"19.(24 分)中关村特色产业园在培育未来产业、发展新质生产力方面发挥重要作用。某校学生开展“中 关村特色产业园发展战略分析”项目研究,请你参与。 【项目背景】 北京市以中关村特色产业园为核心载体,布局人工智能、生物制造等前沿领域。为明晰其布局特点与 战略方向,开展本研究,为园区高质量发展提供参考。 【研究方法】 本",创新思维,创新思维；系统观念；整体性；动态性；分析与综合；发散；聚合；超前,"0→1原始突破+""把1拉长""系统跃升=系统观念整体性+创新思维(从单点到链式)","题干明确""运用系统观念与创新思维的知识"";细则046要求体现系统观念+创新思维;A-formal确认",source_confirmed_archive_needs_current_recheck,创新思维,措施缺乏具体性扣分;不符合中关村发展目标扣分,入正文
Q-2026朝阳期中-20,Q-2026朝阳期中-20 | S-2026朝阳期中 | 003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q20,needs_current_source_split,"20. 当前,世界百年未有之大变局加速演进,新一轮科技革命和产业变革深入发展,国际力量对比深刻调整, 我国发展面临新的战略机遇。同时,逆全球化思潮抬头,单边主义、保护主义明显上升,世界经济复苏乏 力,局部冲突和动荡频发,全球性问题加剧,世界进入新的动荡变革期。 今天,我们比历史上任何时期都更接近、更有信心和能力实现中华",辩证思维,辩证思维；整体性；动态性；分析与综合；质量互变,辩证思维=矛盾对立统一(机遇与挑战)+整体性统筹全局+动态性主动应变;一分为二+多维施策,"题干明确""运用辩证思维方法"";细则003明确矛盾分析法+整体性思维+动态性思维;A-formal确认",source_confirmed_archive_needs_current_recheck,辩证思维,误用单一矛盾或仅讲机遇/挑战丢分;漏整体性/动态性扣分,入正文
