suite,question,bucket,term_or_source,source_path,source_kind,evidence_status,source_location,confirmed_content,material_trigger_or_use,answer_sentence_or_note,fusion_candidate,boundary_warning,blocker
2026西城期末,Q20,source_locator,teacher_page_08_visual_read,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/codex_extraction_logs/batch03_source_locator_notes.md,locator_note_with_rendered_image,P3_prompt_support,teacher_pdf_page_08,"题面确认：2025年11月中国政府正式向联合国提交《中国2035年国家自主贡献（NDC）目标》；完整设问为结合材料，运用《国际政治与经济》知识，阐释参与全球气候治理的中国实践","教师版第8页用于题面和材料事实确认，不作为评分术语来源","教师版第8页视觉核读必须保留为题面证据",no,题面证据不等于评分细则,none
2026西城期末,Q20,source_locator,rubric_pdf_pages_04_05_visual_read,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/codex_extraction_logs/batch03_source_locator_notes.md,locator_note_with_rendered_images,P0_formal_scoring_rule,rubric_pdf_page_04+rubric_pdf_page_05,"细则确认：角度1中国实践是什么2分；角度2中国为什么要参与该实践3分且4选3；角度3实践的效果怎么样3分","细则PDF第4-5页视觉核读为本批唯一评分术语权威","P0正式细则可支撑条目融合候选，本行不是术语行",no,角度2不能四项全按必答频次,none
2026西城期末,Q20,时代背景,和平发展合作共赢是时代潮流 / 非传统安全威胁,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page5_angle2_item1,"角度2第①项：国际背景，1分；角度2整体4选3","NDC属于《巴黎协定》框架下各缔约方气候行动目标，气候变化具有跨国安全属性，触发时代潮流与非传统安全威胁","和平发展合作共赢是时代潮流，气候变化属于需要各国共同应对的非传统安全威胁，中国持续提交 NDC 目标顺应全球合作应对气候变化的大势",yes,4选3可选点非必答频次,none
2026西城期末,Q20,理论,共同利益,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page5_angle2_item2,"角度2第②项：共同利益，1分；角度2整体4选3","气候变化影响各国生态安全和发展空间，NDC目标把中国行动放进全球共同治理框架，触发合作基础","共同利益是国家合作的基础，气候变化关系各国生存发展和全球生态安全，中国参与全球气候治理符合各国实现可持续发展的共同利益",yes,4选3可选点非必答频次,none
2026西城期末,Q20,经济全球化,本题无独立可进融合候选的经济全球化核心术语,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_boundary_check,page4_page5,"细则未给出贸易投资自由化便利化、要素跨国流动、两个市场两种资源等经济全球化机制术语","能源结构、碳市场、绿色交通等属于气候治理实践事实","不生成经济全球化主条目",no,不要把碳市场和绿色低碳实践硬塞成经济全球化核心,none
2026西城期末,Q20,政治多极化,命运共同体 / 全人类共同价值 / 正确义利观 / 共商共建共享 / 践行真正的多边主义 / 坚持互利共赢,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page5_angle2_item3,"角度2第③项：中国理念，1分；角度2整体4选3","中国NDC目标、落实《巴黎协定》和全球气候治理相连，触发中国参与多边治理的价值取向","中国坚持构建人类命运共同体，弘扬全人类共同价值，秉持正确义利观和共商共建共享理念，践行真正的多边主义，通过落实《巴黎协定》和多边合作推动气候治理互利共赢",yes,同一细则点的替代表述不能拆条刷频,none
2026西城期末,Q20,政治多极化,促进全球可持续发展 / 建设清洁世界,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page5_angle3_item1_climate,"角度3第①项对国际2分中的气候角度：促进全球可持续发展 / 建设清洁世界，1分","材料列出非化石能源、森林碳汇、减排、绿色交通和气候适应目标，触发中国行动的全球效果","中国推动能源、产业、交通和气候适应等领域低碳转型，促进全球可持续发展，助力建设清洁世界",yes,效果项不替代理念项,none
2026西城期末,Q20,中国,建设者 / 引领者 / 做负责任的大国,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page4_bottom_to_page5_angle1_item1,"角度1第1项：中国在全球气候治理中的角色，1分","中国正式提交2035年NDC目标并连续更新气候行动承诺，触发建设者、引领者、负责任大国角色","中国是全球气候治理的积极建设者、引领者和负责任的大国，持续提交 NDC 目标并推进气候行动承诺，为全球气候治理贡献中国力量",yes,需与大国担当类同类合并,none
2026西城期末,Q20,中国,坚持绿色发展 / 新发展理念，有为政府 + 有效市场,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_practice_support,page5_angle1_item2,"角度1第2项：具体做法，1分","表格用能源结构、森林碳汇、减排、绿色交通、碳市场和气候适应展示中国低碳转型路径","中国坚持绿色发展和新发展理念，发挥有为政府和有效市场作用，通过优化能源结构、完善碳市场和发展绿色交通推动低碳转型",no,实践支撑记录，不作为选必一核心术语进入融合主链,none
2026西城期末,Q20,中国,自觉履行国际义务 / 遵循国际法 / 承担国际责任,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,formal_rubric_pdf_visual_read,P0_formal_scoring_rule,page5_angle2_item4,"角度2第④项：自觉履行国际义务 / 遵循国际法 / 承担国际责任，1分；角度2整体4选3","NDC是《巴黎协定》的核心机制，中国提交2035年目标体现履行国际义务和承担责任","中国自觉履行国际义务、遵循国际法并承担国际责任，按照《巴黎协定》定期提交 NDC 目标，以实际行动维护全球气候治理多边进程",yes,4选3可选点非必答频次,none
