suite,question,source_path,source_kind,evidence_status,source_location,confirmed_terms_or_question,notes,blocker
2026通州期末,Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,scoring_pptx,P0_formal_scoring_rule,slide14_question_slide15_scoring,"完整设问；共商共建共享全球治理观；时代主题/经济全球化/顺应各国人民愿望；符合《联合国宪章》；国际新秩序/国际关系民主化/多边主义/正确义利观；人类命运共同体；中国智慧中国方案大国担当","slide15明确标注评分细则；slide14有参考答案段但本批术语取slide15；slide14题面为“正逢其时、指引方向、彰显担当”三段式",none
2026通州期末,Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,exam_paper_pdf,P3_paper_text_support,pypdf_lines216_229,"题面与材料：全球治理倡议正逢其时/指引方向/彰显担当","PDF文本抽取处把题面显示为“指引方向彰显担当”，细则PPT slide14有逗号，本批按PPT题面校正",minor_punctuation_conflict_resolved_by_scoring_ppt
2026朝阳期中,Q17,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,scoring_docx,P0_formal_scoring_rule,paragraphs13_30,"三层结构：自力更生和对外开放；发展和安全；中国发展和世界发展；各层总说+分说；一层3分两层6分三层8分","补充材料/细则.docx targeted search showed Q17 same core lines; Layer2分说2高质量发展/经济增长等为必修二边界，未入本批选必一主条",module_boundary_layer2_subpoint2
2026朝阳期中,Q17,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,exam_paper_pdf,P3_paper_text_support,pypdf_lines151_181,"人工智能+；核心技术自主可控；自主可控不是闭门造车；AI安全风险；全球南方能力建设；完整设问","用于材料触发和答案句事实，不作为评分术语来源",none
2025海淀期中,Q16(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,user_confirmed_image_scoring_material,user_confirmed_scoring_material,word/media/image2.png,"企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业“出海”营造良好的国际环境，2分","raw docx media image2 sha256=8384a10d70551265ff5b1acade9c81ce54bdbecf21a9d574a8c12a65718e518e；与旧导出图片逐字节一致；文本答案可读但未单独升级为评分术语",none
2025海淀期中,Q16(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,exam_paper_pdf,P3_paper_text_support,pypdf_lines184_209,"结合材料三，从经济角度，为中国咖啡企业“出海”提出建议；材料含海外市场差异、供应链成本、知识产权和商标权案","用于材料触发和完整设问",none
2025海淀期中,Q21(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,user_confirmed_image_scoring_material,user_confirmed_scoring_material,word/media/image8.png,"变：世界之变2分、中国之变2分；不变：国家性质1分、独立自主等4分；备注含国际影响力话语权、人类命运共同体、国家利益等","raw docx media image8 sha256=5f28b03ebf7276a2c6b3aec1c384fc948f054f44d6a4b463e6defe4717cb01bf；与旧导出图片逐字节一致；按表格细则入条",none
2025海淀期中,Q21(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,exam_paper_pdf,P3_paper_text_support,pypdf_lines250_290,"结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”","用于题面、历史阶段材料和答案句事实",none
2024东城一模,Q16,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,teaching_analysis_pptx_with_marking_details,P2_teaching_or_lecture,slide26,"推进构建新型国际关系（国际关系民主化），推动构建人类命运共同体；写出国际关系或共同体也可得1分","PPT首页为试题分析，但slide26明示16题阅卷细则；题目本身为《哲学与文化》跨书题，本批仅收细则中明确给分的选必一相关词",evidence_level_P2_not_P0
2024东城一模,Q16,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,scanned_exam_pdf_rendered,P3_visual_support,render_page_06,"马克思说，“凡是民族作为民族所做的事情，都是他们为人类社会而做的事情”。结合材料，运用《哲学与文化》知识，谈谈对此观点的理解。","原卷PDF pypdf/fitz均抽不出文字；本批核读源PDF渲染页 /Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2024东城一模试卷/page_06.png",scanned_pdf_requires_visual_read
2024东城一模,Q20,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,teaching_analysis_pptx_with_scoring_info,P2_teaching_or_lecture,slide64,"对标国际规则，推进制度型开放，深入融入经济全球化；以国内大循环吸引全球资源要素；增强国内国际两个市场两种资源联动效应；提升贸易投资合作质量和水平","PPT首页为试题分析；slide64给4点选3点、3+3+2=8和起点措施+路径+效果终点评分结构；高水平对外开放按模块边界不作本批主术语",evidence_level_P2_not_P0
2024东城一模,Q20,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,scanned_exam_pdf_rendered,P3_visual_support,render_page_09,"结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。","原卷PDF pypdf/fitz均抽不出文字；本批核读源PDF渲染页 /Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2024东城一模试卷/page_09.png",scanned_pdf_requires_visual_read
