suite,heading,principle_node,material_trigger_chars,question_prompt_chars,why_trigger_chars,answer_landing_chars,has_all_fields,material_trigger,question_prompt,why_trigger,answer_landing
2025东城二模,3. 2025东城二模 第16题（主观题）,物质决定意识,117,36,204,192,True,曾几何时，能说话会干活的机器人只存在于科幻小说和电影中，而今已走进寻常百姓家；DeepSeek开源、免费让人人都用得起人工智能。“人工智能+”正在赋能科技创新、产业发展、社会治理、医疗教育、家庭服务……人工智能浪潮滚滚而来，势不可挡。,结合材料，运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,材料给出的是当前人工智能发展的客观技术现状（机器人走进百姓家、DeepSeek横空出世登顶下载榜、人工智能赋能多领域）以及社会需求的客观变化（人人都用得起AI、“人工智能+”各领域）——这些都是不以人意志为转移的客观存在。学生看到“AI技术现状+应用场景+潜在风险”这种客观条件描绘时，就应当想到物质决定意识、社会存在决定社会意识：要从AI发展的客观实际出发去思考人与AI的关系，不能盲目乐观也不能过度恐惧。,物质决定意识，社会存在决定社会意识，要求我们一切从实际出发、实事求是。人工智能的发展是基于当前科技水平、产业需求、社会条件等客观实际——机器人走进家庭、DeepSeek让AI普及化、“人工智能+”赋能多领域，是不以人的主观意愿为转移的时代潮流。我们要充分认识到人工智能的技术现状、应用场景以及潜在风险，不能盲目乐观或过度恐惧，从客观实际出发拥抱AI、引导AI，与人工智能共创美好未来。
2025东城二模,3. 2025东城二模 第16题（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,70,31,91,111,True,人工智能此时此刻有具体的技术现状(谷歌、OpenAI、DeepSeek)、社会需求(开源免费让人人都用得起)、迭代加速与潜在风险等客观条件。,运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,"材料展示的人工智能技术水平、社会需求、迭代速度和潜在风险,都是不以人意志为转移的客观存在;主观应对必须从这些客观情况出发,不能凭空乐观或恐惧。因此能想到物质决定意识、一切从实际出发。",面对人工智能快速迭代、开源普及、深入社会生活又伴随潜在风险的现实，应从技术现状、民生需求和风险条件出发，既积极拥抱人工智能、推动其服务科技创新和社会治理，又通过规则、伦理和治理安排防范风险，才能真正与人工智能共创美好未来。
2024东城二模,4. 2024东城二模 第16题（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,96,34,193,92,True,桑基鱼塘“根据地势低洼处深挖为鱼塘，塘泥堆叠鱼塘四周形成桑基”，“时光推移，桑基和鱼塘相辅相成的桑基鱼塘生态优态长久”，“结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老”。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,“地势低洼处深挖为塘”“塘泥堆叠形成桑基”“桑基和鱼塘相辅相成”是先民对当地地形地势、水土循环、桑蚕鱼共生这一客观条件和自然规律的尊重；“桑基鱼塘历史可上溯到距今约2500年”“生态优态长久”是按规律办事的长期回馈。学生看到“地势”“深挖”“相辅相成”这种从客观地理条件出发布局生产的描述，应当想到桑基鱼塘之所以历久弥新，根子在于它既尊重了人与自然的客观规律，又从当地实际出发开展实践。,桑基鱼塘穿越千年仍未老，是因为它从一开始就尊重人与自然和谐共生的客观规律、从当地地形水土的实际出发，而非凭空设计——尊重规律、一切从实际出发使桑基鱼塘具有科学价值，所以二千多岁仍未老。
2024东城二模,5. 2024东城二模 第21题（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,56,40,116,101,True,战略性有利条件涉及党的领导、制度、经济、社会、自信等层面，需立足中国具体国情和复兴进程的阶段实际转化为发展动能。,结合材料，综合运用所学，分析以上战略性有利条件在这一历史进程中是如何发挥作用的。,材料中的战略性有利条件不是抽象口号，而是党的领导、制度优势、经济基础、社会稳定和文化自信等中国现实条件；设问又问这些条件在民族复兴历史进程中如何发挥作用，说明必须把客观国情、历史方位和阶段任务结合起来看，而不能脱离中国实际空谈优势。,分析战略性有利条件如何发挥作用，要从中国具体国情和复兴进程的阶段任务出发，把党的领导、制度优势、经济基础、社会稳定和文化自信等现实条件转化为经济社会发展的具体部署，使主观谋划符合客观实际并服务民族复兴。
2024顺义二模,14. 2024顺义二模 第20题第（2）问（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,124,51,183,142,True,“当今世界正在经历百年未有之大变局，处在民族复兴关键时期的当代中国正在经历着有史以来最为广泛而深刻的社会变革，正在推进中国式现代化这一人类历史上非常宏大而独特的实践创新，中国之问、世界之问、人民之问、时代之问给我们提出的新考题比过去更复杂、更难”。,结合材料，综合运用所学，谈谈对实现中华民族伟大复兴需要“不断谱写马克思主义中国化时代化新篇章”的认识。,“百年未有之大变局”“最为广泛而深刻的社会变革”“中国式现代化这一独特的实践创新”“新考题比过去更复杂”呈现的是当今中国所面对的具体客观实际——这种实际不能用既有理论模板套，必须从中国当下的具体实际出发，把马克思主义基本原理同中国具体实际、中华优秀传统文化结合。学生看到“变局”“新变革”“独特的实践”“新考题”这一组实际状况描述，应当想到一切从实际出发、实事求是。,一切从实际出发、实事求是，要求把马克思主义基本原理同中国具体实际、同中华优秀传统文化相结合。当今中国面对的百年未有之大变局、深刻的社会变革、中国式现代化的独特实践提出的新考题——这些客观实际要求党继续推进马克思主义中国化时代化，把马克思主义这把“金钥匙”真正用到当下中国的实际问题上。
2024海淀二模,15. 2024海淀二模 第4题（选择题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,217,0,139,89,False,"材料指出“手机响不停、时刻盯着群”“手机里安装了二三十个工作群、各种打卡、报材料”等“指尖上的形式主义”是基层治理的真实困扰；中央有关部门据此要求加强对政务移动应用、公众账号、工作群组的标准化规范化管理，为基层治理减负增效。
【设问】 这说明
A. 把握量的规定性，更能体现事物发展的辩证法
B. 一切从实际出发、实事求是是做好工作的前提
C. 真理性认识更具有能动创造性和直接现实性
D. 只有发挥主观能动性才能把握事物的本质和规律",,基层干部“手机响不停”“二三十个工作群”是从基层治理一线如实反映出来的客观实际情况；中央针对这一客观实际下文规范，是先承认客观存在的形式主义困扰、再据此提出工作要求。这正是“从基层真实情况出发、按客观实际下文”的过程，所以能直接对应“一切从实际出发、实事求是是做好工作的前提”。,中央有关部门以基层干部被工作群束缚、形式主义困扰这一客观实际为出发点制定标准化规范化管理要求，先吃透实际情况再做出工作部署，体现一切从实际出发、实事求是是做好基层治理工作的前提。
2025海淀二模,3. 2025海淀二模 第16题（主观题）,主观能动性 / 意识的能动作用,134,57,212,202,True,题干设问把人工智能与人类记忆并置：与人工智能相比，人类记忆容量有限且容易随时间消退；“放飞自我”网友主张利用AI存储检索整理信息提高效率；但“实现梦想”网友指出记忆是人类开展思维活动的内容与基底，创造力和灵感来自充足的知识积累，缺乏知识储备的思维创新如同“无米之炊”。,在获取信息易如反掌的时代，我们还需要记忆大量知识吗？……结合材料或个人体验，运用《哲学与文化》知识，谈谈你的看法。,AI能存储检索信息，但不会主动思考、不会形成创造性灵感——材料把“AI存储”与“人类记忆基底上的创造力、联想、迁移”对比起来，让学生看到记忆背后是人有目的、有意识的思维活动。学生看到“记忆是人类开展思维活动的内容与基底”“缺乏知识储备的思维创新如同无米之炊”就应当想到意识的能动作用、人的主观能动性：认识是主体对客体的能动反映，记忆不是机械存储而是人主动地选择、整合、联想、迁移信息的过程，AI无法完全替代人的这种能动反映。,认识是主体对客体的能动反映，意识具有目的性、自觉选择性和能动创造性。人类记忆不是机械存储信息的被动过程，而是主体在头脑中对信息进行能动的选择、整合、联结、加工，从而形成有意义的认知网络的过程；记忆是人类开展思维活动的内容与基底，没有充足的记忆积累，创造性思维就如同“无米之炊”。AI虽然能在容量和速度上辅助信息存储检索，但无法替代人发挥主观能动性进行的能动反映和创造性思维，所以我们仍然需要记忆大量知识。
2025西城二模,7. 2025西城二模 第16题（主观题）,主观能动性 / 意识的能动作用,62,23,63,56,True,鹿叫村遗址内保留废弃水井和地窖，动物掉入后形成威胁；管理处在水井内建造攀爬台阶，并营造雨水收集池，便于不同体型动物自由取水。,废弃水井变成了动物乐园，请说明背后的哲学智慧。,工作人员不是凭主观愿望随意改造，而是在认识野生动物饮水、栖息和场地条件的基础上主动设计设施，把生态保护规律转化为具体实践方案。,人们应尊重自然和生态规律，正确发挥意识能动作用，认识并把握动物需求和遗址条件，通过科学改造有效指导生态保护实践。
2025朝阳二模,10. 2025朝阳二模 第16题（主观题）,主观能动性 / 意识的能动作用,75,34,95,100,True,材料写自学要有“独楫扁舟、夜观星斗”的状态，强调学习者不是被动接受知识，而是带着问题意识、探索精神和独立思考能力主动求知、主动选择路径、主动解决问题。,结合材料，运用《哲学与文化》知识，阐明从游与自学在人才成长中的作用。,能想到主观能动性，是因为自学的关键不在外部灌输，而在学习者自觉确定目标、主动搜寻资源、独立思考并持续实践。材料中的自主探索精神和独立思考能力，正体现意识活动的目的性、自觉选择性和能动创造性。,自学能够推动人才成长，是因为它能激发人的求知欲、判断力和创造力，使学习者发挥主观能动性主动发现问题、分析问题、解决问题。人才培养既要重视外部引导，更要保护和激发学生自我驱动、独立思考和持续探索的能力。
2025朝阳二模,11. 2025朝阳二模 第22题（主观题）,主观能动性 / 意识的能动作用,77,33,108,109,True,材料把推进中国式现代化放在“顶层设计”和“实践探索”的关系中理解：顶层设计把握方向、统领目标、明确路径，实践探索把设计放到具体领域、具体阶段中检验和推进。,运用所学，谈谈对推进中国式现代化事业中的顶层设计与实践探索的理解。,能想到主观能动性，是因为顶层设计不是现实自动生成的结果，而是党和国家对现代化目标、步骤、重点和路径作出的自觉谋划。科学的认识、规划和理论能够反作用于实践，为实践探索提供方向、目标和方法，增强实践活动的自觉性和计划性。,推进中国式现代化既要重视实践探索，也要发挥科学顶层设计的指导作用。正确意识对实践具有能动的反作用，科学规划能够统一目标、明确方向、协调步骤，使各阶段各领域实践更有目的性、计划性和整体性，从而把中国式现代化不断推向前进。
