suite,year,phase,source_example,final_docx_mentions,in_current_closure_matrix,current_closure_status,coverage_bucket
2024朝阳二模,2024,二模,2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,12,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024朝阳一模,2024,一模,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,5,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2024东城二模,2024,二模,2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,13,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024东城一模,2024,一模,2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,8,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2024丰台二模,2024,二模,2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,5,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024丰台一模,2024,一模,2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,6,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2024海淀二模,2024,二模,2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx,9,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024海淀一模,2024,一模,2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,10,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2024石景山一模,2024,一模,2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,4,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2024顺义二模,2024,二模,2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx,10,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024西城二模,2024,二模,2024各区二模\2024西城二模\其他材料\~$模拟测试思想政治试卷.docx,10,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2024西城一模,2024,一模,2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,11,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025昌平二模,2025,二模,2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx,10,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025朝阳二模,2025,二模,2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13 21.42.pdf,19,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025朝阳一模,2025,一模,2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc,7,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025东城二模,2025,二模,2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,13,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025东城一模,2025,一模,2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,11,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025房山一模,2025,一模,2025各区一模\2025房山一模\细则\2025房山一模细则.pdf,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025丰台二模,2025,二模,2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\16.(1).doc,11,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025丰台一模,2025,一模,2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx,10,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025海淀二模,2025,二模,2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf,8,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025海淀一模,2025,一模,2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,10,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025门头沟一模,2025,一模,2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc,10,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025石景山一模,2025,一模,2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc,7,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025顺义一模,2025,一模,2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025西城二模,2025,二模,2025各区二模\2025西城二模\细则\2025西城二模细则.docx,13,False,INHERITED_BASE_ROW_RECHECKED_SCOPED_PASS,DOCX_BASE_COVERED_ROW_RECHECKED_SCOPED_PASS
2025西城一模,2025,一模,2025各区一模\2025西城一模\细则\2025西城一模细则.docx,11,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2025延庆一模,2025,一模,2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026朝阳二模,2026,二模,2026各区二模\2026朝阳二模\细则\202605朝阳高三政治二模阅卷细则(1).docx,6,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026朝阳一模,2026,一模,2026各区一模\2026朝阳一模\2026北京朝阳高三一模政治（教师版）.pdf,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026东城二模,2026,二模,2026各区二模\2026东城二模\细则\16.pdf,6,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026东城一模,2026,一模,2026各区一模\2026东城一模\2026东城一模 原卷扫描版.pdf,12,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026房山二模,2026,二模,2026各区二模\2026房山二模\细则\26房山评标(2).docx,4,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026房山一模,2026,一模,2026各区一模\2026房山一模\2026北京房山高三一模政治.pdf,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
