suite,year,phase,final_docx_suite_mentions,accepted_insertions,blocked_already_in_base,blocked_weak_evidence,resolved_weak_evidence_by_source_repair,open_weak_evidence_gate,blocked_question_prompt_not_verified,resolved_question_prompt_by_final_docx,open_question_prompt_gate,blocked_culture_boundary,blocked_module_boundary,resolved_2024_covered,resolved_2024_misparsed_covered,resolved_2024_module_excluded,closure_status
2024东城一模,2024,一模,8,0,0,0,0,0,0,0,0,0,0,1,1,0,COVERED_OR_PATCHED
2024丰台一模,2024,一模,6,0,0,0,0,0,0,0,0,0,0,2,0,1,COVERED_OR_PATCHED
2024朝阳一模,2024,一模,5,0,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2024海淀一模,2024,一模,10,0,0,0,0,0,0,0,0,0,0,1,0,0,COVERED_OR_PATCHED
2024石景山一模,2024,一模,4,0,0,0,0,0,0,0,0,0,0,1,0,1,COVERED_OR_PATCHED
2024西城一模,2024,一模,11,0,0,0,0,0,0,0,0,0,0,0,1,0,COVERED_OR_PATCHED
2025东城一模,2025,一模,11,0,4,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025丰台一模,2025,一模,10,0,5,0,0,0,0,0,0,2,0,0,0,0,COVERED_OR_PATCHED
2025延庆一模,2025,一模,9,0,4,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025房山一模,2025,一模,9,0,2,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025朝阳一模,2025,一模,7,0,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025海淀一模,2025,一模,10,2,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025石景山一模,2025,一模,7,0,2,0,0,0,0,0,0,1,0,0,0,0,COVERED_OR_PATCHED
2025西城一模,2025,一模,11,0,3,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2025门头沟一模,2025,一模,10,0,0,0,0,0,1,1,0,2,0,0,0,0,COVERED_OR_PATCHED
2025顺义一模,2025,一模,9,0,3,0,0,0,0,0,0,1,0,0,0,0,COVERED_OR_PATCHED
2026东城一模,2026,一模,12,0,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026丰台一模,2026,一模,11,0,0,0,0,0,4,4,0,0,0,0,0,0,COVERED_OR_PATCHED
2026延庆一模,2026,一模,12,0,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026房山一模,2026,一模,9,0,0,0,0,0,4,4,0,0,0,0,0,0,COVERED_OR_PATCHED
2026朝阳一模,2026,一模,9,0,4,0,0,0,0,0,0,1,0,0,0,0,COVERED_OR_PATCHED
2026海淀一模,2026,一模,6,0,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026石景山一模,2026,一模,8,0,4,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026西城一模,2026,一模,12,0,6,0,0,0,0,0,0,0,2,0,0,0,COVERED_OR_PATCHED
2026通州一模,2026,一模,2,2,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026门头沟一模,2026,一模,9,0,4,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026顺义一模,2026,一模,11,0,3,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026东城二模,2026,二模,6,6,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026丰台二模,2026,二模,5,5,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026房山二模,2026,二模,3,3,0,0,0,0,0,0,0,1,0,0,0,0,COVERED_OR_PATCHED
2026朝阳二模,2026,二模,6,6,0,0,0,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026海淀二模,2026,二模,2,2,0,2,4,0,0,0,0,0,1,0,0,0,COVERED_OR_PATCHED
2026石景山二模,2026,二模,3,3,0,3,3,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026西城二模,2026,二模,2,2,0,2,3,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
2026顺义二模,2026,二模,5,5,0,3,5,0,0,0,0,0,0,0,0,0,COVERED_OR_PATCHED
