source_id,year,district,stage,suite_name,file_role,file_path,file_type,cache_path,status,notes,run_use_policy,current_run_policy
SRC0001,2024,东城,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0002,2024,东城,一模,2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0003,2024,东城,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0004,2024,丰台,一模,2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0005,2024,丰台,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0006,2024,丰台,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0007,2024,朝阳,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0008,2024,朝阳,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0009,2024,朝阳,一模,2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0010,2024,朝阳,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0011,2024,海淀,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0012,2024,海淀,一模,2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0013,2024,海淀,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0014,2024,石景山,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0015,2024,石景山,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0016,2024,西城,一模,2024各区一模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0017,2024,西城,一模,2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0018,2024,西城,一模,2024各区一模,paper,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0019,2024,东城,二模,2024各区二模,support,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,pdf,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0020,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0021,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0022,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0023,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0024,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0025,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0026,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0027,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0028,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0029,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx,docx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
SRC0030,2024,东城,二模,2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx,pptx,,raw_indexed,,source_inventory_index_only,reference_index_only_until_row_reopened
