question_id,year,district,stage,suite_name,question_no,book_part,question_type,evidence_level,source_packet,status,decision_reason,run_route,body_policy,v98_use_policy,current_run_body_status,current_run_note
Q0001,2026,顺义,一模,2026顺义一模,19(2),thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0001-2026顺义一模-q192,source_locked,正式细则锁定科学思维客观性/预见性/可检验性三层,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0002,2025,海淀,二模,2025海淀二模,20,thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0002-2025海淀二模-q20,source_locked,正式细则锁定辩证思维复合角度，讲评与评标实录补充确认,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0003,2026,朝阳,期中,2026朝阳期中(2025-11),21(2),thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0003-2026朝阳期中-q212,source_locked,细则锁定超前/联想/逆向/发散聚合/三新,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0004,2026,通州,期末,2026通州期末,11,choice_trap,choice_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0004-2026通州期末-q11,source_locked,教师版题干与官方答案键锁定思维抽象到思维具体选择题陷阱,excluded_or_boundary,audit_boundary_not_student_body_user_scope_thinking_main_only,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice_confirmed_20260526,derived_from_previous_source_index_not_new_source_evidence
Q0005,2026,东城,期末,2026东城期末,17(2),reasoning,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0005-2026东城期末-q172,source_locked,细则锁定矛盾律/充分条件假言推理/三段论三类形式逻辑规则,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0006,2024,朝阳,一模,2024朝阳一模,20(1),reasoning,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0006-2024朝阳一模-q201,source_locked,充分条件假言推理否定后件式,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0007,2024,朝阳,一模,2024朝阳一模,20(2),reasoning,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0007-2024朝阳一模-q202,source_locked,必要条件假言推理肯定后件式补全前提,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0008,2025,西城,二模,2025西城二模,16(2),reasoning,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0008-2025西城二模-q162,source_locked,充分条件假言推理肯定后件不能肯定前件,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0009,2026,通州,期末,2026通州期末,19(2),reasoning,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0009-2026通州期末-q192,source_locked,充分条件肯前肯后正确与必要条件肯前肯后错误,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0010,2026,丰台,一模,2026丰台一模,18(2),reasoning,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0010-2026丰台一模-q182,source_locked,必要条件肯后肯前正确与三段论大项不当扩大,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
