queue_order,queue_kind,target_id_or_node,target_file,task,priority,blocks_visible_audit,blocks_final_clean_build,owner_lane,note
1,index_label_polish,reasoning_NEEDS_TYPE_CONFIRMATION_node,09_student_draft/phase12_reasoning_typology_index_REBUILT.md,将12条reasoning辅助挂载从NEEDS_TYPE_CONFIRMATION转成学生可读的非正例标签_例如教师补充确认或推理形式辅助参考,P1,no,yes,opus47_adaptive_or_codex_local,涉及QID_Q-2024西城一模-19-5_Q-2025东城期末-18-2_Q-2024朝阳期中-19_Q-2026顺义一模-19-2_Q-2025西城二模-6_Q-2024西城一模-13_Q-2026东城一模-6_Q-2024朝阳一模-6_Q-2026丰台一模-8_Q-2026通州期末-10_Q-2026顺义一模-5_Q-2026通州期末-11
2,index_label_polish,thinking_NEEDS_METHOD_CONFIRMATION_node,09_student_draft/phase12_thinking_method_index_REBUILT.md,将18条thinking辅助挂载从NEEDS_METHOD_CONFIRMATION转成学生可读的非正例标签_例如思维方法辅助参考或非正例提示,P1,no,yes,opus47_adaptive_or_codex_local,涉及QID_Q-2025西城二模-16-3_Q-2026顺义一模-19-1_Q-2025海淀期末-2_Q-2026东城一模-6_Q-2025东城期末-5_Q-2026朝阳期中-13_Q-2024朝阳一模-9_Q-2024朝阳二模-7_Q-2024朝阳期中-9_Q-2026丰台一模-4_Q-2026丰台一模-7_Q-2025丰台期末-8_Q-2025丰台期末-10_Q-2026顺义一模-3_Q-2026顺义一模-5_Q-2026顺义一模-6_Q-2026通州期末-5_Q-2026通州期末-8
3,review_only_strip,html_qid_anchors,09_student_draft/phase12_expanded_body_FROM_362_REVIEW_ONLY.md,删除全部77条HTML注释_question_id_phase12_decision_source_pool,P0_for_final,no,yes,final_clean_build_lane,review-only HTML qid锚点保留是为了外审追溯_final clean build前必须剥离
4,review_only_strip,review_only_status_headers,multi_files,删除body和index顶部REVIEW_ONLY_NO_WORD_NO_FINAL状态行,P0_for_final,no,yes,final_clean_build_lane,涉及body_reasoning_index_thinking_index三个文件
5,fallback_flag_clear,Q-2025海淀二模-20,09_student_draft/phase12_expanded_body_FROM_362_REVIEW_ONLY.md_line_15,清除phase11B_fallback_for_missing_body_now标记并在final前由教师确认fallback内容仍准确,P1,no,yes,final_clean_build_lane,内容spot_check_pass_只是流程flag需清除
6,fallback_flag_clear,Q-2026丰台一模-18-2,09_student_draft/phase12_expanded_body_FROM_362_REVIEW_ONLY.md,清除phase11B_fallback_for_missing_body_now标记并在final前由教师确认fallback内容仍准确,P1,no,yes,final_clean_build_lane,内容spot_check_pass_只是流程flag需清除
7,review_only_flag_clear,three_362_new_candidates,09_student_draft/phase12_expanded_body_FROM_362_REVIEW_ONLY.md,清除body_after_362_repair_review_only_flag_仅在Adaptive和Governor通过后,P1,no,yes,final_clean_build_lane,涉及Q-2025西城二模-6_Q-2024朝阳一模-6_Q-2026通州期末-10_内容已源支持
8,external_review_pending,Adaptive_teaching_review,n/a,触发Claude_Opus_4_7_Adaptive教学复核_输入77body和重建后双索引,P1,no,yes,opus47_adaptive_lane,visible audit pass之后的标准下一步
9,external_review_optional,post_patch_GPT_review_optional,n/a,如用户需要可补一次外审_作为对Codex本地补丁的外部确认,P2_optional,no,no,user_discretion,用户可酌情触发
10,governor_gate,governor_post_external_boundary_gate,governor_confucius/,Governor在Adaptive完成后做边界检查_不得越权写终稿,P1,no,yes,governor_confucius_lane,
11,confucius_gate,confucius_post_external_learning_gate,governor_confucius/,Confucius在Adaptive完成后做学习价值审核,P1,no,yes,governor_confucius_lane,
12,non_blocker_record,P1_wording_already_applied,n/a,记录Codex已修订的P1措辞_朝阳一模20-1_P_Q表达_海淀二模20_共富+共建+共享_东城期末17-2_主张123编号_西城二模7_前提真实提示,n/a,no,no,already_done,仅作记录_无后续动作
