question_id,visible_title,visible_heading_match,visible_heading_line_numbers,raw_qid_in_student_body,raw_qid_line_numbers,traceability_status
Q-2024朝阳一模-7,2024 朝阳一模第7题（选择题）,yes,15,no,,PASS
Q-2024朝阳一模-9,2024 朝阳一模第9题（选择题）,yes,25,no,,PASS
Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问（主观题）,yes,35,no,,PASS
Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问（主观题）,yes,45,no,,PASS
Q-2025丰台期末-8,2025 丰台期末第8题（选择题）(现代诗解读),yes,55,no,,PASS
Q-2025海淀二模-20,2025 海淀二模第20题（主观题）(辩证思维复合题),yes,65,no,,PASS
Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问（主观题）,yes,75,no,,PASS
Q-2025海淀期末-18,2025 海淀期末第18题（主观题）,yes,85,no,,PASS
Q-2025西城二模-16-3,2025 西城二模第16题第(3)问（主观题）,yes,95,no,,PASS
Q-2026东城一模-19-4,2026 东城一模第19题第(4)问（主观题）,yes,105,no,,PASS
Q-2026朝阳期中-20,2026 朝阳期中第20题（主观题）,yes,115,no,,PASS
Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问（主观题）,yes,125,no,,PASS
Q-2025丰台期末-7,2025 丰台期末第7题（选择题）(漫画启示),yes,138,no,,PASS
Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问（主观题）,yes,151,no,,PASS
Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问（主观题）,yes,162,no,,PASS
Q-2024朝阳期中-7,2024 朝阳期中第7题（选择题）,yes,173,no,,PASS
Q-2024西城一模-19-2,2024 西城一模第19题第(2)问（主观题）(下定义),yes,184,no,,PASS
Q-2024西城一模-19-3,2024 西城一模第19题第(3)问（主观题）(概念外延关系),yes,195,no,,PASS
Q-2024西城一模-19-5,2024 西城一模第19题第(5)问（主观题）,yes,206,no,,PASS
Q-2025东城期末-13,2025 东城期末第13题（选择题）,yes,217,no,,PASS
Q-2025西城二模-16-2,2025 西城二模第16题第(2)问（主观题）,yes,228,no,,PASS
Q-2025顺义一模-7,2025 顺义一模第7题（选择题）,yes,239,no,,PASS
Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问（主观题）,yes,250,no,,PASS
Q-2026通州期末-19-2,2026 通州期末第19题第(2)问（主观题）,yes,261,no,,PASS
Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问（主观题）,yes,277,no,,PASS
Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问（主观题）,yes,295,no,,PASS
Q-2024朝阳期中-9,2024 朝阳期中第9题（选择题）,yes,312,no,,PASS
Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问（主观题）,yes,330,no,,PASS
Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问（主观题）,yes,347,no,,PASS
Q-2024西城一模-11,2024 西城一模第11题,no,,no,,PASS
Q-2025海淀二模-12,2025 海淀二模第12题,no,,no,,PASS
Q-2025海淀二模-13,2025 海淀二模第13题,no,,no,,PASS
Q-2026顺义一模-3,2026 顺义一模第3题,no,,no,,PASS
