question_id,visible_title,question_type_group,district,year,exam_stage,question_no,subquestion_no,sort_key,phase12_decision
Q-2025海淀二模-20,2025 海淀二模第20题,主观题,海淀,2025,二模,20,0,01-01-02-02-020-00,body_now
Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,主观题,海淀,2025,期末,17,1,01-01-02-04-017-01,body_now
Q-2025海淀期末-18,2025 海淀期末第18题,主观题,海淀,2025,期末,18,0,01-01-02-04-018-00,body_now
Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,主观题,海淀,2024,二模,17,1,01-01-03-02-017-01,body_after_repair
Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,主观题,海淀,2024,二模,17,2,01-01-03-02-017-02,body_now
Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,主观题,西城,2025,二模,16,2,01-02-02-02-016-02,body_now
Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,主观题,西城,2025,二模,16,3,01-02-02-02-016-03,body_now
Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,主观题,西城,2024,一模,19,2,01-02-03-01-019-02,body_now
Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,主观题,西城,2024,一模,19,3,01-02-03-01-019-03,body_now
Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,主观题,西城,2024,一模,19,5,01-02-03-01-019-05,body_now
Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,主观题,东城,2026,一模,19,4,01-03-01-01-019-04,body_now
Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,东城,2026,期末,17,2,01-03-01-04-017-02,body_after_repair
Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,东城,2025,期末,18,2,01-03-02-04-018-02,body_after_repair
Q-2026朝阳期中-20,2026 朝阳期中第20题,主观题,朝阳,2026,期中,20,0,01-04-01-03-020-00,body_now
Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,主观题,朝阳,2026,期中,21,2,01-04-01-03-021-02,body_now
Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,主观题,朝阳,2024,一模,20,1,01-04-03-01-020-01,body_now
Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,主观题,朝阳,2024,一模,20,2,01-04-03-01-020-02,body_now
Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,主观题,朝阳,2024,二模,19,1,01-04-03-02-019-01,body_now
Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,主观题,朝阳,2024,二模,19,2,01-04-03-02-019-02,body_now
Q-2024朝阳期中-18,2024 朝阳期中第18题,主观题,朝阳,2024,期中,18,0,01-04-03-03-018-00,body_after_repair
Q-2024朝阳期中-19,2024 朝阳期中第19题,主观题,朝阳,2024,期中,19,0,01-04-03-03-019-00,body_after_repair
Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,主观题,丰台,2026,一模,18,2,01-05-01-01-018-02,body_now
Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,主观题,丰台,2025,期末,18,1,01-05-02-04-018-01,body_after_repair
Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,主观题,顺义,2026,一模,19,1,01-99-01-01-019-01,body_now
Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,主观题,顺义,2026,一模,19,2,01-99-01-01-019-02,body_now
Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,主观题,通州,2026,期末,19,2,01-99-01-04-019-02,body_now
Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,主观题,顺义,2025,一模,17,1,01-99-02-01-017-01,body_after_repair
Q-2025海淀二模-12,2025 海淀二模第12题,选择题,海淀,2025,二模,12,0,02-01-02-02-012-00,body_after_repair
Q-2025海淀二模-13,2025 海淀二模第13题,选择题,海淀,2025,二模,13,0,02-01-02-02-013-00,body_after_repair
Q-2025海淀期末-2,2025 海淀期末第2题,选择题,海淀,2025,期末,2,0,02-01-02-04-002-00,body_after_repair
Q-2025海淀期末-8,2025 海淀期末第8题,选择题,海淀,2025,期末,8,0,02-01-02-04-008-00,body_after_repair
Q-2024海淀二模-6,2024 海淀二模第6题,选择题,海淀,2024,二模,6,0,02-01-03-02-006-00,body_after_repair
Q-2025西城二模-6,2025 西城二模第6题,选择题,西城,2025,二模,6,0,02-02-02-02-006-00,body_after_362_repair
Q-2025西城二模-7,2025 西城二模第7题,选择题,西城,2025,二模,7,0,02-02-02-02-007-00,body_after_repair
Q-2024西城一模-11,2024 西城一模第11题,选择题,西城,2024,一模,11,0,02-02-03-01-011-00,body_after_repair
Q-2024西城一模-13,2024 西城一模第13题,选择题,西城,2024,一模,13,0,02-02-03-01-013-00,body_after_repair
Q-2026东城一模-6,2026 东城一模第6题,选择题,东城,2026,一模,6,0,02-03-01-01-006-00,body_after_repair
Q-2026东城期末-6,2026 东城期末第6题,选择题,东城,2026,期末,6,0,02-03-01-04-006-00,body_after_repair
Q-2026东城期末-7,2026 东城期末第7题,选择题,东城,2026,期末,7,0,02-03-01-04-007-00,body_after_repair
Q-2025东城期末-5,2025 东城期末第5题,选择题,东城,2025,期末,5,0,02-03-02-04-005-00,body_after_repair
Q-2025东城期末-13,2025 东城期末第13题,选择题,东城,2025,期末,13,0,02-03-02-04-013-00,body_now
Q-2025东城期末-14,2025 东城期末第14题,选择题,东城,2025,期末,14,0,02-03-02-04-014-00,body_after_repair
Q-2025东城期末-15,2025 东城期末第15题,选择题,东城,2025,期末,15,0,02-03-02-04-015-00,body_after_repair
Q-2026朝阳期中-11,2026 朝阳期中第11题,选择题,朝阳,2026,期中,11,0,02-04-01-03-011-00,body_after_repair
Q-2026朝阳期中-12,2026 朝阳期中第12题,选择题,朝阳,2026,期中,12,0,02-04-01-03-012-00,body_after_repair
Q-2026朝阳期中-13,2026 朝阳期中第13题,选择题,朝阳,2026,期中,13,0,02-04-01-03-013-00,body_after_repair
Q-2026朝阳期中-14,2026 朝阳期中第14题,选择题,朝阳,2026,期中,14,0,02-04-01-03-014-00,body_after_repair
Q-2026朝阳期中-15,2026 朝阳期中第15题,选择题,朝阳,2026,期中,15,0,02-04-01-03-015-00,body_after_repair
Q-2024朝阳一模-6,2024 朝阳一模第6题,选择题,朝阳,2024,一模,6,0,02-04-03-01-006-00,body_after_362_repair
Q-2024朝阳一模-7,2024 朝阳一模第7题,选择题,朝阳,2024,一模,7,0,02-04-03-01-007-00,body_now
Q-2024朝阳一模-9,2024 朝阳一模第9题,选择题,朝阳,2024,一模,9,0,02-04-03-01-009-00,body_now
Q-2024朝阳二模-6,2024 朝阳二模第6题,选择题,朝阳,2024,二模,6,0,02-04-03-02-006-00,body_after_repair
Q-2024朝阳二模-7,2024 朝阳二模第7题,选择题,朝阳,2024,二模,7,0,02-04-03-02-007-00,body_after_repair
Q-2024朝阳期中-7,2024 朝阳期中第7题,选择题,朝阳,2024,期中,7,0,02-04-03-03-007-00,body_now
Q-2024朝阳期中-8,2024 朝阳期中第8题,选择题,朝阳,2024,期中,8,0,02-04-03-03-008-00,body_after_repair
Q-2024朝阳期中-9,2024 朝阳期中第9题,选择题,朝阳,2024,期中,9,0,02-04-03-03-009-00,body_now
Q-2024朝阳期中-11,2024 朝阳期中第11题,选择题,朝阳,2024,期中,11,0,02-04-03-03-011-00,body_after_repair
Q-2026丰台一模-4,2026 丰台一模第4题,选择题,丰台,2026,一模,4,0,02-05-01-01-004-00,body_after_repair
Q-2026丰台一模-7,2026 丰台一模第7题,选择题,丰台,2026,一模,7,0,02-05-01-01-007-00,body_after_repair
Q-2026丰台一模-8,2026 丰台一模第8题,选择题,丰台,2026,一模,8,0,02-05-01-01-008-00,body_after_repair
Q-2026丰台一模-9,2026 丰台一模第9题,选择题,丰台,2026,一模,9,0,02-05-01-01-009-00,body_after_repair
Q-2025丰台期末-7,2025 丰台期末第7题,选择题,丰台,2025,期末,7,0,02-05-02-04-007-00,body_now
Q-2025丰台期末-8,2025 丰台期末第8题,选择题,丰台,2025,期末,8,0,02-05-02-04-008-00,body_now
Q-2025丰台期末-9,2025 丰台期末第9题,选择题,丰台,2025,期末,9,0,02-05-02-04-009-00,body_after_repair
