entry_no,question_id,visible_title,module,draft_section,question_type,source_entry_status,input_permission,primary_mount,secondary_mount,same_type_ids,gpt_named_risk_status,student_body_origin,no_expansion_policy,phase10_title_strategy,phase10_same_type_style,same_type_visible,phase10_scope_lock
1,Q-2024朝阳一模-7,2024 朝阳一模第7题（选择题）,思维,思维,选择题,L3_candidate,include_as_packet_candidate,思维,,Q-2025东城期末-18-2；Q-2025海淀期末-18；Q-2025西城二模-16-3；Q-2026东城一模-19-4；Q-2026朝阳期中-21-2；Q-2026通州期末-9,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2025 东城期末第18题第(2)问；2025 海淀期末第18题；2025 西城二模第16题第(3)问；2026 东城一模第19题第(4)问；2026 朝阳期中第21题第(2)问；2026 通州期末第9题,same_29_rows_no_expansion
2,Q-2024朝阳一模-9,2024 朝阳一模第9题（选择题）,思维,思维,选择题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳二模-19-1；Q-2024朝阳二模-19-2；Q-2025东城期末-5；Q-2025海淀二模-20；Q-2025海淀期末-2；Q-2026朝阳期中-20；Q-2026通州期末-11；Q-2026通州期末-5；Q-2026通州期末-8；Q-2026顺义一模-3,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第19题第(1)问；2024 朝阳二模第19题第(2)问；2025 东城期末第5题；2025 海淀二模第20题；2025 海淀期末第2题；2026 朝阳期中第20题；2026 通州期末第11题；2026 通州期末第5题；2026 通州期末第8题；2026 顺义一模第3题,same_29_rows_no_expansion
3,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳二模-7；Q-2024朝阳期中-19；Q-2024海淀二模-17-2；Q-2025海淀期末-17-1；Q-2026顺义一模-19-1；Q-2026顺义一模-19-2,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第7题；2024 朝阳期中第19题；2024 海淀二模第17题第(2)问；2025 海淀期末第17题第(1)问；2026 顺义一模第19题第(1)问；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
4,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳二模-7；Q-2024朝阳期中-19；Q-2024海淀二模-17-1；Q-2025海淀期末-17-1；Q-2026顺义一模-19-1；Q-2026顺义一模-19-2,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第7题；2024 朝阳期中第19题；2024 海淀二模第17题第(1)问；2025 海淀期末第17题第(1)问；2026 顺义一模第19题第(1)问；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
5,Q-2025丰台期末-8,2025 丰台期末第8题（选择题）(现代诗解读),思维,思维,选择题,L3_candidate,include_as_packet_candidate,思维,,Q-2026顺义一模-5,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2026 顺义一模第5题,same_29_rows_no_expansion
6,Q-2025海淀二模-20,2025 海淀二模第20题（主观题）(辩证思维复合题),思维,思维,主观题,L4,include,思维,,Q-2024朝阳一模-9；Q-2024朝阳二模-19-1；Q-2024朝阳二模-19-2；Q-2025东城期末-5；Q-2025海淀期末-2；Q-2026朝阳期中-20；Q-2026通州期末-11；Q-2026通州期末-5；Q-2026通州期末-8；Q-2026顺义一模-3,resolved_angle_pool_preserved,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第9题；2024 朝阳二模第19题第(1)问；2024 朝阳二模第19题第(2)问；2025 东城期末第5题；2025 海淀期末第2题；2026 朝阳期中第20题；2026 通州期末第11题；2026 通州期末第5题；2026 通州期末第8题；2026 顺义一模第3题,same_29_rows_no_expansion
7,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳二模-7；Q-2026顺义一模-19-1；Q-2026顺义一模-19-2,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第7题；2026 顺义一模第19题第(1)问；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
8,Q-2025海淀期末-18,2025 海淀期末第18题（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳一模-7；Q-2025东城期末-18-2；Q-2025西城二模-16-3；Q-2026东城一模-19-4；Q-2026朝阳期中-21-2；Q-2026通州期末-9,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第7题；2025 东城期末第18题第(2)问；2025 西城二模第16题第(3)问；2026 东城一模第19题第(4)问；2026 朝阳期中第21题第(2)问；2026 通州期末第9题,same_29_rows_no_expansion
9,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问（主观题）,思维,思维,主观题,L4,include,思维,,Q-2024朝阳一模-7；Q-2025东城期末-18-2；Q-2025海淀期末-18；Q-2026东城一模-19-4；Q-2026朝阳期中-21-2；Q-2026通州期末-9,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第7题；2025 东城期末第18题第(2)问；2025 海淀期末第18题；2026 东城一模第19题第(4)问；2026 朝阳期中第21题第(2)问；2026 通州期末第9题,same_29_rows_no_expansion
10,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳一模-7；Q-2025东城期末-18-2；Q-2025海淀期末-18；Q-2025西城二模-16-3；Q-2026朝阳期中-21-2；Q-2026通州期末-9,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第7题；2025 东城期末第18题第(2)问；2025 海淀期末第18题；2025 西城二模第16题第(3)问；2026 朝阳期中第21题第(2)问；2026 通州期末第9题,same_29_rows_no_expansion
