question_id,change_type,changed_by,from_file,to_file,notes
Q-2024朝阳一模-7,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024朝阳一模-9,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024海淀二模-17-1,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024海淀二模-17-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025丰台期末-8,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025海淀二模-20,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_angle_pool_preserved
Q-2025海淀期末-17-1,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025海淀期末-18,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025西城二模-16-3,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2026东城一模-19-4,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2026朝阳期中-20,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2026朝阳期中-21-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025丰台期末-7,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_boundary_trap_not_thinking_mainline
Q-2024朝阳一模-20-1,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_sufficient_conditional_valid_form
Q-2024朝阳一模-20-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_necessary_conditional_valid_form
Q-2024朝阳期中-7,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024西城一模-19-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024西城一模-19-3,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2024西城一模-19-5,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025东城期末-13,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025西城二模-16-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,standardized_from_phase08
Q-2025顺义一模-7,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_answer_expression_rechecked_against_source
Q-2026丰台一模-18-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_L4_reasoning_chain_preserved
Q-2026通州期末-19-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_sufficient_vs_necessary_split
Q-2024朝阳二模-19-1,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_no_audit_expression_reflux
Q-2024朝阳二模-19-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_no_audit_expression_reflux
Q-2024朝阳期中-9,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,cross_double_mount_preserved
Q-2026顺义一模-19-1,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,cross_double_mount_preserved
Q-2026顺义一模-19-2,student_facing_rewrite,Codex_A,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv,09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md,resolved_scientific_thinking_primary_reasoning_auxiliary
