question_id,visible_title,expected_decision,body_found,coverage_bucket,repair_or_blocker
Q-2025海淀二模-20,2025 海淀二模第20题,body_now,yes,body,fallback_body_now_block_used; must be rechecked before final
Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,body_now,yes,body,existing_phase11D_block_used
Q-2025海淀期末-18,2025 海淀期末第18题,body_now,yes,body,existing_phase11D_block_used
Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,body_after_repair,yes,body,existing_phase11D_block_used
Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,body_now,yes,body,existing_phase11D_block_used
Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,body_now,yes,body,existing_phase11D_block_used
Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,body_now,yes,body,existing_phase11D_block_used
Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,body_now,yes,body,existing_phase11D_block_used
Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026朝阳期中-20,2026 朝阳期中第20题,body_now,yes,body,existing_phase11D_block_used
Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳期中-18,2024 朝阳期中第18题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024朝阳期中-19,2024 朝阳期中第19题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,body_now,yes,body,fallback_body_now_block_used; must be rechecked before final
Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,body_now,yes,body,existing_phase11D_block_used
Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,body_now,yes,body,existing_phase11D_block_used
Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025海淀二模-12,2025 海淀二模第12题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025海淀二模-13,2025 海淀二模第13题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025海淀期末-2,2025 海淀期末第2题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025海淀期末-8,2025 海淀期末第8题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024海淀二模-6,2024 海淀二模第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025西城二模-7,2025 西城二模第7题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024西城一模-11,2024 西城一模第11题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024西城一模-13,2024 西城一模第13题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026东城一模-6,2026 东城一模第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026东城期末-6,2026 东城期末第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026东城期末-7,2026 东城期末第7题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025东城期末-5,2025 东城期末第5题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025东城期末-13,2025 东城期末第13题,body_now,yes,body,existing_phase11D_block_used
Q-2025东城期末-14,2025 东城期末第14题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025东城期末-15,2025 东城期末第15题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026朝阳期中-11,2026 朝阳期中第11题,body_after_repair,yes,body,repaired_review_only_block_used
