entry_no,question_id,visible_title_control,visible_title_found,module,question_type,primary_mount,secondary_mount,expected_fields,missing_fields,choice_style,subjective_answer,cross_mount,raw_qid_in_section,review_status,notes
1,Q-2024朝阳一模-7,2024 朝阳一模第7题（选择题）,2024 朝阳一模第7题（选择题）,思维,选择题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
2,Q-2024朝阳一模-9,2024 朝阳一模第9题（选择题）,2024 朝阳一模第9题（选择题）,思维,选择题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
3,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问（主观题）,2024 海淀二模第17题第(1)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
4,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问（主观题）,2024 海淀二模第17题第(2)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
5,Q-2025丰台期末-8,2025 丰台期末第8题（选择题）(现代诗解读),2025 丰台期末第8题（选择题）(现代诗解读),思维,选择题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
6,Q-2025海淀二模-20,2025 海淀二模第20题（主观题）(辩证思维复合题),2025 海淀二模第20题（主观题）(辩证思维复合题),思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
7,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问（主观题）,2025 海淀期末第17题第(1)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
8,Q-2025海淀期末-18,2025 海淀期末第18题（主观题）,2025 海淀期末第18题（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
9,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问（主观题）,2025 西城二模第16题第(3)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
10,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问（主观题）,2026 东城一模第19题第(4)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
