question_id,role,in_phase08_freeze,appears_in_student_md,line_numbers,visible_title_match,visible_title_line_numbers,hard_excluded_reference_check
Q-2024朝阳一模-20-1,entry_control_row,yes,yes,170;269,yes,150,PASS
Q-2024朝阳一模-20-2,entry_control_row,yes,yes,159;258;269,yes,161,PASS
Q-2024朝阳一模-7,entry_control_row,yes,yes,94;104;114;134,yes,16,PASS
Q-2024朝阳一模-9,entry_control_row,yes,yes,74,yes,26,PASS
Q-2024朝阳二模-19-1,entry_control_row,yes,yes,34;74;308,yes,275,PASS
Q-2024朝阳二模-19-2,entry_control_row,yes,yes,34;74;291,yes,293,PASS
Q-2024朝阳二模-7,reference_only_same_type,no,yes,44;54;84,no,,PASS
Q-2024朝阳期中-19,reference_only_same_type,no,yes,44;54,no,,PASS
Q-2024朝阳期中-7,entry_control_row,yes,yes,258;343;358,yes,172,PASS
Q-2024朝阳期中-9,entry_control_row,yes,no,,yes,310,PASS
Q-2024海淀二模-17-1,entry_control_row,yes,yes,54,yes,36,PASS
Q-2024海淀二模-17-2,entry_control_row,yes,yes,44,yes,46,PASS
Q-2024西城一模-11,hard_excluded_reference_only,no,yes,326,no,,PASS
Q-2024西城一模-19-2,entry_control_row,yes,yes,203;214,yes,183,PASS
Q-2024西城一模-19-3,entry_control_row,yes,yes,192;214,yes,194,PASS
Q-2024西城一模-19-5,entry_control_row,yes,yes,192;203,yes,205,PASS
Q-2025东城期末-13,entry_control_row,yes,yes,247;258,yes,216,PASS
Q-2025东城期末-18-2,reference_only_same_type,no,yes,24;94;104;114;134,no,,PASS
Q-2025东城期末-5,reference_only_same_type,no,yes,34;74,no,,PASS
Q-2025丰台期末-7,entry_control_row,yes,no,,yes,138,PASS
Q-2025丰台期末-8,entry_control_row,yes,no,,yes,56,PASS
Q-2025海淀二模-12,hard_excluded_reference_only,no,yes,146,no,,PASS
Q-2025海淀二模-20,entry_control_row,yes,yes,34,yes,66,PASS
Q-2025海淀期末-17-1,entry_control_row,yes,yes,44;54,yes,76,PASS
Q-2025海淀期末-18,entry_control_row,yes,yes,24;104;114;134,yes,86,PASS
Q-2025海淀期末-2,reference_only_same_type,no,yes,34;74,no,,PASS
Q-2025西城二模-16-2,entry_control_row,yes,no,,yes,227,PASS
Q-2025西城二模-16-3,entry_control_row,yes,yes,24;94;114;134,yes,96,PASS
Q-2025顺义一模-7,entry_control_row,yes,yes,225;258,yes,238,PASS
Q-2026东城一模-19-4,entry_control_row,yes,yes,24;94;104;134,yes,106,PASS
Q-2026丰台一模-18-2,entry_control_row,yes,no,,yes,249,PASS
Q-2026丰台一模-8,reference_only_same_type,no,yes,236,no,,PASS
Q-2026朝阳期中-11,reference_only_same_type,no,yes,258,no,,PASS
Q-2026朝阳期中-14,reference_only_same_type,no,yes,326,no,,PASS
Q-2026朝阳期中-20,entry_control_row,yes,yes,34;74,yes,116,PASS
Q-2026朝阳期中-21-2,entry_control_row,yes,yes,24;94;104;114,yes,126,PASS
Q-2026通州期末-11,reference_only_same_type,no,yes,34;74,no,,PASS
Q-2026通州期末-19-2,entry_control_row,yes,yes,159;170,yes,260,PASS
Q-2026通州期末-5,reference_only_same_type,no,yes,34;74,no,,PASS
Q-2026通州期末-8,reference_only_same_type,no,yes,34;74,no,,PASS
Q-2026通州期末-9,reference_only_same_type,no,yes,24;94;104;114;134,no,,PASS
Q-2026顺义一模-19-1,entry_control_row,yes,yes,44;54;84;181;258;358,yes,328,PASS
Q-2026顺义一模-19-2,entry_control_row,yes,yes,44;54;84;181;258;343,yes,345,PASS
Q-2026顺义一模-3,hard_excluded_reference_only,no,yes,34;74;124,no,,PASS
Q-2026顺义一模-5,reference_only_same_type,no,yes,64,no,,PASS
