suite,question_no,evidence_level,terms,source_kinds,note
2026东城二模,1,rubric_term_hit,发展,paper | rubric_or_marking,的经济 职能、高质量发展、辩 证思维等角度作答 [page 2] 逻辑结构 1 分 不分点不分段扣1 分 是为怎，三个角度 / 分总结合，有总结 / 微观精准→中观结构→宏观目 标 必答点2 分 围绕“金融体系/ 金融举 措”展开分析 经济角度： 政府的经济职能/ 金融政策——融资支持——科技/ 绿色/ 民生——高 质量发展 阐述4 分 任意两点，每点2 分。 要求：知识1 分+ 阐述1 分 阐述要有对“中特金融体系 、中特金融发展之路、金融 强国”等关键词的回应。 阐述不充分扣1 分 1. 党的角度：坚持党的领导/ 党统筹全局协调各方——中特金融发展之 路/ 金融强国——根本保证/ 方向指引/ 制度优势 2. 人民角度：群众观/ 以人民为中心/ 人民立场——普惠金融/ 养老金 融——保障民生 3. 思维方法：辩证思维整体性/ 系统优化/ 综合思维/ 联系观——中特 金融体系——金融强国/ 中国式现代化 4. 文化角度：发挥中华优秀传统文化的当代价值/ 中华优秀传统文化的 核心思想理念——破解金融难题提供文化滋养 21. 结合材料，综合运用所学，谈谈你对做好这“五篇大文章”的理解。7 分 答案：可从党的领导、人民立场、政府的经济职能、高质量发展、辩证思维等角度作答 [page 3] 思路1 ：是
2026东城二模,2,term_hit_needs_review,发展 | 实践 | 认识,other | paper,top\2026各区模拟题\2026各区二模\2026东城二模\细则\16.pdf status: pdf-text chars: 1506 ```text [page 1] 2025-2026B 东城高三政治综合练习（二 ） 主观题细则 2026.5 [page 3] 等级 等级描述 区间 评分细则 水平 4 观点鲜明，能明确表达自己 的见解；紧扣问题，综合运 用所学展开论述，逻辑严密 ，条理清晰 6-7 分 1. 明确指出观点。京彩课堂的精彩之处（本质：价值深远 国家、民族 时代新人）1 分必须有 2. 挑出准确运用 3 个核心知识充分论证（实践与认识辩证关系角度看 、文化创新角度看、文化育人功能角度看） 3. 紧密结合材料中 “京彩” 与 “思政课堂” 的融合分析； 4. 有结论，观点逻辑闭环 水平 3 观点比较明确，能表达自己 的见解；能扣住问题展开论 述，知识运用比较准确，逻 辑性较强，条理较清晰 4-5 分 1. 能指出观点京彩课堂的精彩但不够深入； 2. 能挑出准确运用 2 个核心知识点，知识无明显错误； 3. 能结合材料，但结合不够紧密； 4. 有结论，逻辑较通顺，条理较清晰 水平 2 观点不明确；论述不能集中 指向问题，罗列知识；知识 运用不正确；论述缺乏逻辑 ，条理性差 1
2026东城二模,3,rubric_term_hit,价值观 | 发展 | 哲学 | 守正创新 | 实践 | 意识 | 改革 | 整体 | 物质 | 真理 | 矛盾 | 系统 | 联系 | 规律 | 认识,other | paper | rubric_or_marking,水平 3 观点比较明确，能表达自己 的见解；能扣住问题展开论 述，知识运用比较准确，逻 辑性较强，条理较清晰 4-5 分 1. 能指出观点京彩课堂的精彩但不够深入； 2. 能挑出准确运用 2 个核心知识点，知识无明显错误； 3. 能结合材料，但结合不够紧密； 4. 有结论，逻辑较通顺，条理较清晰 水平 2 观点不明确；论述不能集中 指向问题，罗列知识；知识 运用不正确；论述缺乏逻辑 ，条理性差 1-3 分 1. 观点模糊，京彩课堂的精彩几乎未出现 2. 知识运用有错误，或仅罗列知识点（2 分）未结合问题； 3. 逻辑混乱，条理不清，未结合材料 只有哲学最高3 分，只有文化最高4 分。 可从文化的作用、实践与认识的辩证关系、理想信念、文化创新等角度作答。 水平 1 应答与试题无关；或重复试 题内容，或没有应答 0 分 [page 4] 标准 知识 材料 紧扣问题论证有效： 材料要落在“京彩课堂的价值” 精彩角度选择： 内容充实、形式新颖、数字赋能 、价值深远 （或者做法+ 意义角度） 3 个角度水平4 2 个角度水平3 实践决定认识、物质决定意识（规律） 联系（系统）、发展（辩否）、矛
2026东城二模,4,term_hit_needs_review,认识,paper,游一次；特展的票根变为城市通兑券，观众凭此享受购物、餐饮、停车等优惠……“让利”的逻辑是 ①把握消费心理，挖掘市场潜力激发城市发展动能 ②巧用逆向思维，克服市场调节自发性实现收益增长 ③善用底线思维，推动文旅产业供需走向动态平衡 ④坚持辩证思维，建立联系以实现由“舍”到“得”的转化 A．①② B．①④ C．②③ D．③④ 4．能否让人工智能辅助识别田间害虫？某科研团队用传统“灯诱法”捕捉害虫样本、用先进技术完善数据，从“肉眼辨虫”升级为“智能识虫”，破解害虫防治的“脸盲”难题。这表明 A．数据要素支撑先进技术是实现科学研究目的的关键 B．对害虫及其习性的认识是破解害虫防治难题的前提和基础 C．摒弃传统方法的不足，以聚合思维识别虫害的稳定本质 D．在把握灯诱法和先进技术的对立统一中实现识虫效果的飞跃 5．人们处理皮肤伤口多依赖“保持干燥、酒精消毒”方法。据现代循证医学相关报道，“湿性愈合”更利于伤口恢复。科研人员通过多项随机对照试验证实，伤口愈合48小时后淋浴不会增加感染风险，总结出“清洁、湿润、观察”的科学护理方式，打破传统误区。下列说法正确的是 A．打破“伤口需保持干燥”的认知，体现科学思维追求认识的客观性 B．“湿性愈合”与“干燥愈合”属于交叉关系，要基于不同伤口情况进行选择 C．科研人员运用求同求
2026东城二模,5,term_hit_needs_review,认识,paper,，破解害虫防治的“脸盲”难题。这表明 A．数据要素支撑先进技术是实现科学研究目的的关键 B．对害虫及其习性的认识是破解害虫防治难题的前提和基础 C．摒弃传统方法的不足，以聚合思维识别虫害的稳定本质 D．在把握灯诱法和先进技术的对立统一中实现识虫效果的飞跃 5．人们处理皮肤伤口多依赖“保持干燥、酒精消毒”方法。据现代循证医学相关报道，“湿性愈合”更利于伤口恢复。科研人员通过多项随机对照试验证实，伤口愈合48小时后淋浴不会增加感染风险，总结出“清洁、湿润、观察”的科学护理方式，打破传统误区。下列说法正确的是 A．打破“伤口需保持干燥”的认知，体现科学思维追求认识的客观性 B．“湿性愈合”与“干燥愈合”属于交叉关系，要基于不同伤口情况进行选择 C．科研人员运用求同求异并用法把握淋浴与伤口感染之间的因果关系 D．理性认识比感性认识更可靠，对伤口护理本质的认识需要不断深化 6．算力是数字时代核心竞争力。我国依托全国统一大电网与“东数西算”，将西部低价绿电转化为词元等算力服务出口，以“电转算力、算力生词元”模式参与全球数字竞争。 对此分析正确的是 A．词元出口大幅提升电力附加值，通过价格优势主导国际能源市场 B．发展电算协同有利于优化资源配置，培育新质生产力与外贸增长点 C．算力产业替代传统高耗能产业，助力碳达峰碳
2026东城二模,6,term_hit_needs_review,发展,paper,观察”的科学护理方式，打破传统误区。下列说法正确的是 A．打破“伤口需保持干燥”的认知，体现科学思维追求认识的客观性 B．“湿性愈合”与“干燥愈合”属于交叉关系，要基于不同伤口情况进行选择 C．科研人员运用求同求异并用法把握淋浴与伤口感染之间的因果关系 D．理性认识比感性认识更可靠，对伤口护理本质的认识需要不断深化 6．算力是数字时代核心竞争力。我国依托全国统一大电网与“东数西算”，将西部低价绿电转化为词元等算力服务出口，以“电转算力、算力生词元”模式参与全球数字竞争。 对此分析正确的是 A．词元出口大幅提升电力附加值，通过价格优势主导国际能源市场 B．发展电算协同有利于优化资源配置，培育新质生产力与外贸增长点 C．算力产业替代传统高耗能产业，助力碳达峰碳中和目标实现 D．我国算力竞争优势源于AI技术迭代，词元出口带动电力“走出去” 7．我国加快建立长期护理保险制度，推动解决失能人员长期护理基本保障需求。参保对象涵盖各类人群，实行分类筹资：单位职工费率约0.3%，未就业城乡居民由个人和政府合理分担，基金单独建账监管。待遇保障标准：单位职工基金支付比例约70%，未就业城乡居民约50%。长期护理保险 A．体现初次分配注重效率，有利于减轻失能人群照护负担 B．通过对未就业城乡居民的政府补助，发挥宏观调控稳就业
2026东城二模,8,term_hit_needs_review,发展 | 改革,paper,基金支付比例约70%，未就业城乡居民约50%。长期护理保险 A．体现初次分配注重效率，有利于减轻失能人群照护负担 B．通过对未就业城乡居民的政府补助，发挥宏观调控稳就业的作用 C．实行差别化待遇保障政策与规范基金管理，完善社会保障体系 D．体现社会保障的强制性，有利于确保基金收支平衡 8．《促进长三角政务服务“一网通办”规定》由上海、江苏、浙江、安徽三省一市人大常委会通过并实施。该规定明确长三角政务服务“一网通办”事项实行清单管理，推进标准统一与业务衔接，明确依托政务服务“好差评”等制度建立意见收集机制。 此举意在 ①以人大常委会行使决定权，为四地高质量发展提供制度保障 ②推进政府职能、权限、程序、责任法定化，实现善政 ③通过上下级政府协同优化公共服务，推进共治共享 ④以法治形式固化改革成果，把改革举措化为群众可感可及的便利 A．①② B．①③ C．②④ D．③④ 9．杭州“星辰守护号”为中转旅客提供休憩服务，深圳“食物银行”为困难群众提供食品，上海站“风雨连廊”保障旅客安全出行……这些举措共同指向 A．夯实社会治理的群众基础，公民政治权利不断扩大 B．城市治理越来越聚焦于“人”，提升群众幸福感 C．以柔性执法和因事制宜的创新举措，彰显制度优势 D．推动公共政策优化完善，提升行政效率与水平 10．张三夫
2026东城二模,14,term_hit_needs_review,发展,paper,3．幽邃深海，蕴藏生命万象。有些水母具有内含毒液的刺细胞，在受到攻击时会发光，由中胶层提供浮力，没有气腔。礁环冠水母具有上述所有特征，以下情形一定正确的是 A．①③ B．①④ C．②③ D．②④ 14．数据资源是智能经济核心生产要素。当前，各国数据跨境流动标准不一、数据安全保护冲突频发、数字鸿沟持续扩大。2026年3月，世界数据组织（WDO）在北京正式成立，开启全球数据治理新篇章。下列对于世界数据组织将发挥作用的传导路径正确的是 A．推动企业制度性成本降低→企业利润水平提升→数字国际竞争力提升 B．促进各国数据政策兼容互认→推动数据有序流动→促进数字贸易发展 C．加强数字基础设施共建→弥补数字鸿沟→实现平等有序的世界多极化 D．搭建统一对话平台→扩大数据国际合作→保障各国数据安全 15．当前外空治理面临规则滞后、发展中国家参与不足等挑战。中国主张维护以联合国为核心的外空国际法原则，推动太空资源开发，并发起多项航天合作。完善外空治理需要 ①依托联合国框架健全治理规则，保障各国平等探索外空的权利 ②以对话协商解决争端，推动传统安全领域国际合作 ③推动共商共建共享，提升发展中国家的代表性 ④以维护各国共同利益为目标，各国同等地承担国际责任 A．①③ B．①④ C．②③ D．②④ 第二部分非选择题 本部分共6题
2026东城二模,15,term_hit_needs_review,发展 | 部分,paper,数据有序流动→促进数字贸易发展 C．加强数字基础设施共建→弥补数字鸿沟→实现平等有序的世界多极化 D．搭建统一对话平台→扩大数据国际合作→保障各国数据安全 15．当前外空治理面临规则滞后、发展中国家参与不足等挑战。中国主张维护以联合国为核心的外空国际法原则，推动太空资源开发，并发起多项航天合作。完善外空治理需要 ①依托联合国框架健全治理规则，保障各国平等探索外空的权利 ②以对话协商解决争端，推动传统安全领域国际合作 ③推动共商共建共享，提升发展中国家的代表性 ④以维护各国共同利益为目标，各国同等地承担国际责任 A．①③ B．①④ C．②③ D．②④ 第二部分非选择题 本部分共6题，共55分。 16．（7分）北京市统筹推进思政课学习场景创新，让思政教育活起来、实起来。 全市各校积极探索创新教学形式，采用探究式、项目式、议题式等多种方法，让理论知识通俗易懂。 东城区依托中轴线、故宫等文化资源，打造“课本里的东城”品牌；海淀区组织科创基地探访；大兴区结合临空经济传递国家战略理念……“实景+任务+探究”模式让学生收获沉浸式学习体验。 思政教育数字化转型不断推进。思政数字地图、云研学、虚拟展馆等平台，让学生更加便捷灵活地获取个性化学习资源。 “京彩课堂”精彩纷呈，为教育强国首善之区建设注入青春动能。 结合材料，运
2026东城二模,16,question_explicit,哲学 | 哲学与文化 | 实践 | 认识,paper,非选择题 本部分共6题，共55分。 16．（7分）北京市统筹推进思政课学习场景创新，让思政教育活起来、实起来。 全市各校积极探索创新教学形式，采用探究式、项目式、议题式等多种方法，让理论知识通俗易懂。 东城区依托中轴线、故宫等文化资源，打造“课本里的东城”品牌；海淀区组织科创基地探访；大兴区结合临空经济传递国家战略理念……“实景+任务+探究”模式让学生收获沉浸式学习体验。 思政教育数字化转型不断推进。思政数字地图、云研学、虚拟展馆等平台，让学生更加便捷灵活地获取个性化学习资源。 “京彩课堂”精彩纷呈，为教育强国首善之区建设注入青春动能。 结合材料，运用《哲学与文化》知识，谈谈“京彩课堂”的精彩所在。 17．（9分）“儿童友好”是一颗种子，孕育着国家美好的明天。 某小区公共空间紧张，不少孩子只能在车道、便道上玩耍。居委会经过前期调研，计划将小区一处闲置的公共边角地，改造为“儿童共享花园”，配套安装照明路灯等设施。对这一计划，居民展开讨论。 ✧家长代表：支持改造，但活动安全需要考虑。 ✧退休居民：希望也有适老化设施，建成全龄友好空间。 ✧上班族：公告栏没有标识，不了解改造方案。 ✧一楼住户：如果加装的路灯距离窗户太近，会影响休息。 为推动“儿童共享花园”改造，居委会组织筹备专题议事协商会。运用《政治与法治》
