suite,year,phase,question_no,module_judgment,evidence_level,base_status,proposed_framework_node,decision,terms,source_kinds,patch_term_hit,note
2024丰台一模,2024,一模,16,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,人民群众 | 价值观 | 发展 | 哲学 | 哲学角度 | 实践 | 改革 | 矛盾 | 联系 | 规律 | 认识,answer | rubric_or_marking,no,面，采用1+2+2的评分细则。其中“法院判决应以事实为依据，以法律为准绳”为必踩点，1分；双方形成好意同乘，在这一过程中要明确权利、义务，做到行使权力、履行义务，否则涉及侵权，需对照侵权责任的一般规定解释说明，此点2分；结合好意同乘中发生事故减轻赔偿责任的条件和案件实际进行解释说明，此点2分。 在现实意义方面，为提高学生辩证思考问题的能力，可从对个人、对国家司法、对社会发展三个角度作答，涉及维护双方合法权益、保障公正司法、弘扬社会主义核心价值观等方面，每点1分，共3分。 18（1）新质生产力丰富发展了马克思主义生产力理论，深化了对生产力发展规律的认识。从哲学角度，谈谈你对新质生产力的理解。（7分） 参考答案： 可以从联系、发展、矛盾、唯物史观等角度作答。 拓展答案： 实践与认识、唯物论等 评分标准说明： 等级赋分，标准如下： 水平1（0—1分）：空白卷或者作答与试题无关，0分；直接抄材料1分。 水平2（2—3分）：一个角度作答，知识正确且分析合理3分，知识正确但分析不到位2分； 单纯罗列知识且正确2分。 水平3（4—5分）：两个角度作答，知识正确且分析合理5分，知识正确但分析不到位4分。 水平4（6—7分）：三个及以上角度作答，知识正确且分析合理7分，知识正确但分析不到位
2024朝阳一模,2024,一模,unknown,philosophy_candidate,question_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,发展 | 哲学 | 哲学与文化 | 守正创新 | 实践 | 改革 | 系统 | 联系 | 规律 | 认识 | 部分,answer | paper,no,path: C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx status: docx-text chars: 2007 ```text 北京市朝阳区高三年级第二学期质量检测一 思想政治 参考答案 2024.4 第一部分（选择题 共45分） 第二部分（非选择题 共55分） 16.（7分） 可从中国特色政治制度、全面从严治党等角度，全面、辩证地阐释两者的关系。 17.（7分） 可以从市场调节和宏观调控的角度，也可以从国家、企业、社会、个人等不同主体的角度提出建议。 18.（16分） （1）8分 一是有关部门积极开展条例的宣传解读，增进理解，营造“知法尊法”良好氛围。 二是政府依照条例积极履职，完善科技创新中心建设政策，提供优良的科技创新公共服务。 三是企业、个人等创新主体，充分利用条例对科技创新的保障性规定，积极开展自主创新。 四是市人大及常委会加强条例实施监督、
2025海淀一模,2025,一模,3,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,发展 | 意识 | 改革 | 整体 | 物质 | 系统 | 辩证法,paper | rubric_or_marking,no,了“前提”，也给 2分） 学生问题：1.无法抓住材料的核心要义，没有落脚到外贸取得成就的原因 （投资自由化便利化、产业结构优化调整） 2. 学科观点堆砌（政治多极化、独立自主的和平外交政策、比较 优势等） 3. 缺乏分段意识，通篇逻辑混乱 全面依法治国是一个系统工程。 建设法治中国是系统性工程。法治国家是法治建设的目标，法治政府是法治 建设的主体，法治社会是法治建设的基础。全面推进依法治国，要坚持依法 治国、依法执政、依法行政共同推进，坚持法治国家、法治政府、法治社会 一体建设。 完整、准确、全面贯彻新发展理念，必须坚持系统观念。 新发展理念的提出，是对辩证法的运用；新发展理念的实施，离不开辩证法 的指导。要坚持系统的观点，依照新发展理念的整体性和关联性进行系统设 计，做到相互促进、齐头并进，不能单打独斗、顾此失彼，不能偏执一方、 畸轻畸重。 建议：落实基础知识：党执政、政府执法；三统一；中国式现代化；改革；创新相 关主体有谁…… 关注审题。不是阐释“系统观念”，也不是阐释“全面依法治国/新发展理 念/中国式现代化……”，而是要结合其中一个领域，阐释“系统观念是具 有基础性的思想和工作方法”。 如何运用所学知识来理解一个题目中新给出的“概念”。 选择恰当的知识回应问题。所选领域中哪些知识能回应“系统工程
2025海淀一模,2025,一模,21,philosophy_candidate,question_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要矛盾 | 发展 | 实践 | 改革 | 整体 | 次要矛盾 | 矛盾 | 系统 | 联系 | 规律 | 辩证法 | 部分,other | paper,yes,是法治建设的目标，法治政府是法治建设的主体，法治 社会是法治建设的基础。全面推进依法治国，要坚持依法治国、依法执政、依法行政共同推进，坚 持法治国家、法治政府、法治社会一体建设。 [page 8] 8 推进中国式现代化是一个系统工程 推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理顶层设计 与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列 重大关系。 [page 9] 9 完整、准确、全面坚持新发展理念，必须坚持系统观念 新发展理念的提出，是对辩证法的运用；新发展理念的实施，离不开辩证法的指导。要坚持系 统的观点，依照新发展理念的整体性和关联性进行系统设计，做到相互促进、齐头并进，不能单打 独斗、顾此失彼，不能偏执一方、畸轻畸重。 [page 10] 10 ```
2025海淀一模,2025,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,发展 | 哲学 | 哲学知识 | 意识 | 认识 | 部分,paper | rubric_or_marking,no,path: C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx status: docx-text chars: 1008 ```text 审题：设问---对“测试”认识≠对人“性格”认识； -------“哲学知识”≠“逻辑与思维”； 材料----- 材料意识淡薄，解读不全、解读错误 学生问题：审题有问题，没用《政治与法治》知识，纯经济角 度答题，例如有效市场有为政府，宏观调控，创新 发展理念，企业自主创新，非公有制经济…… 漏掉主体：党 混淆主体：“市委”---写成“政府……”，或“人大……” 表述错误：政府依法执政科学执政；党科学立法 选言推理 外贸进出口要么影响国内大循环，要么是拉动经济增长的重要引擎。 外贸进出口不影响国内大循环。 外贸进出口不影响国内大循环 所以，外贸进出口是拉动经济增长的重要引擎。 换质推理 外贸进出
2026丰台一模,2026,一模,3,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,发展 | 哲学 | 唯物辩证法 | 实践 | 意识 | 改革 | 整体 | 矛盾 | 系统 | 规律 | 辩证法,other | rubric_or_marking,no,。 等级水平 | 等 级 描 述 水平4 （7-9） | 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 （4-6） | 观点比较明确，能表达自己的见解；能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 （1-3） | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 （0分） | 应答与试题无关；或重复试题内容；或没有应答 [slide 62] 典型示例： “积极识变应变求变”蕴含着马克思主义的基本原理，深深根植于中华优秀传统文化的哲学智慧，立足实际，充分彰显了中国共产党人的历史主动精神。 中国共产党领导是中国特色社会主义的本质特征，是中国特色社会主义制度的最大优势。精准识变，保持战略定力，在国内外复杂的形势中把握经济社会规律。科学应变，坚持系统思维、辩证思维，在实践中把握“危”与“机”的辩证统一。主动求变，发扬斗争精神，坚持改革开放，坚持高质量发展，通过顽强斗争凝聚全社会投身中国式现代化的磅礴力量。 中国共产党是最高政治领导力量，我们要始终坚持党的全面领导，坚持以人民为中心的发展思想，积极识变应变求变，发挥集中力量办大事的制度优势，奋力开创中国式现代化建设的新篇章
2026丰台一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,两点论 | 主流 | 主观能动性 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 支流 | 整体 | 矛盾 | 联系 | 规律 | 辩证否定 | 部分 | 重点论,other | rubric_or_marking,yes,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx status: pptx-text chars: 9910 ```text [slide 1] 丰台区2025-2026学年度 第二学期第一次练习 ——主观题阅卷说明 [slide 2] 一、试题分析 知识板块：哲学与文化 能力板块：解释与论证 [slide 3] 二、评分细则 哲学： （1）坚持矛盾的观点，用全面、辩证的眼光看问题。矛盾具有普遍性，人工智能既作为新科技革命的成果，为人类文明进步注入强劲动能，同时也带来了风险与隐忧。这要求我们坚持一分为二的观点，既要看到AI的积极作用，又要正视其带来的挑战。 或者进一步阐述：坚持两点论与重点论的统一。AI的积极作用是主流，风险与隐忧是支流。我们要抓住主流，充分利用AI技术促进发展，同时不能忽视支流，需加强规范引导。 （2）坚持联系的观点，立足整体，统筹部分。人工智能的发展与社会生活、文化传承、民生福
2026房山一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主观能动性 | 发展 | 改革 | 整体 | 物质 | 矛盾 | 系统 | 联系 | 规律 | 辩证法,rubric_or_marking,no,中高端供给粮食安全→维护国家粮食安全提供有力支撑 ♣2分 【消费】培育文化新业态新模式，以新供给创造新需求，激发消费潜力/推动文化产业供给侧结构性改革→满足人民美好生活需要/实现共享发展 16（2） 评分细则 可从矛盾普遍性和特殊性的统一、一切从实际出发、联系的观点等角度作答。 细则 等级赋分 矛盾普遍性和特殊性的统一、一切从实际出发、尊重客观规律、发挥主观能动性、联系等 ♣1-2分 单纯知识，无论述 ♣3-4分 一点深入论述，或2点论述一般 ♣5-6分 矛盾普遍性和特殊性的统一、一切从实际出发/开展调查研究的关系/尊重规律/主观能动性深入论述（唯物论与辩证法的有机统一论述深入） ♣7分 融入大局中找定位/系统/整体，逻辑清晰、知识运用准确 联系观（在大局中找准定位）——调查研究/一切从实际出发/尊重物质运动的客观规律，从客观存在的事物出发，经过调查研究，找出事物本身的规律性——矛盾普遍性与特殊性具体的历史统一（比如产业发展-清洁能源产业）/在普遍性的指导下具体问题具体分析（发挥主观能动性） 17.（1）（3分）答案示例 AI幻觉造成的损失不由A公司买单。民事法律关系的主体包括自然人、法人和非法人组织。AI不具备民事主体资格，AI的赔偿承诺不具法律效力，A公司已履行提示义务，主观上不存在过错，因
2026朝阳一模,2026,一模,17,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,人民群众 | 发展 | 哲学 | 哲学知识 | 实践 | 改革,paper | rubric_or_marking,no,太阳运行周期为依据，一年约365 天；阴历以月相变化周期为依据，一年约354 天。 中国农历属于阴阳合历，阴阳合历将阴历与阳历有机结合。以太阳运行的回归年定年，以月亮运行的 朔望月定月，通过“十九年七闰”协调年月长度差异，兼顾日月运行规律。中国农历独创二十四节气，将 天文的精确性与物候的生命性完美结合，以指导农业生产，用数九、三伏反映寒暑变化，对人们的社会生 活产生重要影响，至今在我国沿用两千多年。 结合材料，运用《哲学与文化》知识，分析中国农历所蕴含的独特智慧。 17. 博物馆作为城市的文化名片，承载着历史记忆与文明薪火。 《北京博物馆之城建设发展规划（2024-2035）》提出，支持朝阳区等地建设博物馆之城示范区。某校 同学聚焦“朝阳区全力打造馆城相融的博物馆之城”话题，开展学习实践活动。 【学习理论】 馆城融合发展是指推动博物馆与城市空间、历史文化、公共服务、产业经济深度融合，将博物馆嵌入 社区、公园、交通场站、商圈及历史街区，让博物馆成为城市功能、市民生活与城市风貌的有机组成部 分，实现以文兴城、以城载馆、馆城共生。 【参与实践】 在馆城融合发展政策引领下，中国铁路博物馆开展“快闪博物馆”进校园活动，并向同学们征集博物 馆文创产品设计方案，以增强文创产品的市场竞争力。某小组同学拟
2026朝阳一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,哲学 | 哲学与文化 | 部分,paper | rubric_or_marking,no,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\2026北京朝阳高三一模政治（教师版）.pdf status: pdf-text chars: 14304 ```text [page 1] 第1页/共13页 2026 北京朝阳高三一模 政 治 2026.4 （考试时间90 分钟 满分100 分） 第一部分 本部分共15 题，每题3 分，共45 分。在每题列出的四个选项中，选出最符合题目要求的一 项。2026 北京朝阳高三一模政治 1. 实干，是中国共产党人的鲜明特质，是成就事业的必由之路，是破解难题的根本途径。从延安时期“自 己动手、丰衣足食”到新中国成立后“自力更生、艰苦奋斗”，从改革开放“大胆地试、勇敢地改”到新 时代脱贫攻坚战“不获全胜、决不收兵”，一切伟大的成就都是党和人民一道拼出来、干出来的。下列说 法正确的是（ ） ①“自己动手、丰衣足食”坚持了从边区的实际出发，有利于抗日战争取得胜利 ②“自力更生、艰苦奋斗”反映了对外
