doc_order,entry_id,source_file,extract_path,line_range,exists
166,Q0166,SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_034/SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,341-356,True
166,Q0166,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_034/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,120-131,True
167,Q0167,SRC_EXAM_2024_CHAOYANG_QIZHONG_Q20_3.txt,05_source_backcheck/slice_034/SRC_EXAM_2024_CHAOYANG_QIZHONG_Q20_3.txt,414-447,True
167,Q0167,SRC_RUBRIC_2024_CHAOYANG_QIZHONG_Q20_3.txt,05_source_backcheck/slice_034/SRC_RUBRIC_2024_CHAOYANG_QIZHONG_Q20_3.txt,218-254,True
168,Q0168,SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,05_source_backcheck/slice_034/SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,material/prompt lines; teacher answer context,True
168,Q0168,SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt,05_source_backcheck/slice_034/SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt,83-99,True
169,Q0169,SRC_EXAM_2026_FANGSHAN_YIMO_Q19.txt,05_source_backcheck/slice_034/SRC_EXAM_2026_FANGSHAN_YIMO_Q19.txt,material/prompt lines,True
169,Q0169,SRC_RUBRIC_2026_FANGSHAN_YIMO_Q19.txt,05_source_backcheck/slice_034/SRC_RUBRIC_2026_FANGSHAN_YIMO_Q19.txt,58-64,True
170,Q0170,SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_034/SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,exam Q18(1) lines,True
170,Q0170,SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_034/SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,rubric Q18(1) lines,True
