doc_order,entry_id,source_file,extract_path,line_range,exists
156,Q0156,SRC_EXAM_2026_FANGSHAN_YIMO_Q19.txt,05_source_backcheck/slice_032/SRC_EXAM_2026_FANGSHAN_YIMO_Q19.txt,300-342,True
156,Q0156,SRC_RUBRIC_2026_FANGSHAN_YIMO_Q19.txt,05_source_backcheck/slice_032/SRC_RUBRIC_2026_FANGSHAN_YIMO_Q19.txt,58-64,True
157,Q0157,SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_032/SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,341-356,True
157,Q0157,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_032/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,120-131,True
158,Q0158,SRC_EXAM_2026_TONGZHOU_QIMO_Q21.txt,05_source_backcheck/slice_032/SRC_EXAM_2026_TONGZHOU_QIMO_Q21.txt,283-302,True
158,Q0158,SRC_RUBRIC_2026_TONGZHOU_QIMO_Q21.txt,05_source_backcheck/slice_032/SRC_RUBRIC_2026_TONGZHOU_QIMO_Q21.txt,159-186,True
159,Q0159,SRC_EXAM_2025_CHAOYANG_QIMO_Q21.txt,05_source_backcheck/slice_032/SRC_EXAM_2025_CHAOYANG_QIMO_Q21.txt,229-237,True
159,Q0159,SRC_OTHER_2025_CHAOYANG_QIMO_PPTX.txt,05_source_backcheck/slice_032/SRC_OTHER_2025_CHAOYANG_QIMO_PPTX.txt,1314-1490,True
160,Q0160,SRC_EXAM_2024_DONGCHENG_YIMO_Q20.txt,05_source_backcheck/slice_032/SRC_EXAM_2024_DONGCHENG_YIMO_Q20.txt,1-15,True
160,Q0160,SRC_RUBRIC_2024_DONGCHENG_YIMO_Q20.txt,05_source_backcheck/slice_032/SRC_RUBRIC_2024_DONGCHENG_YIMO_Q20.txt,1-7,True
