module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组
时代背景,机遇,和平与发展仍是时代主题,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,（本题6分）
理论,合作,国家间共同利益是国家合作的基础,10,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,相互尊重、公平正义、合作共赢的新型国际关系,10,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,共商共建共享的全球治理观,15,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序,4,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,推动构建人类命运共同体,16,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
政治多极化,新国关：新型国际关系,推动国际关系民主化,7,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,5,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
联合国,多边主义/多极化场所,维护《联合国宪章》宗旨和原则,5,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,
