question_id,source_label,evidence_level,student_category,reliability,minimum_sentence_1,minimum_sentence_2,minimum_sentence_3,do_not_write,memorization_status,audit_category,title_with_id,visual_guard,duplicate_or_crossref
CC0011_2024_丰台_二模_17,2024 丰台 二模 第17题,formal,低频规则题,可训练,民法典绿色原则为生态环境保护提供基本遵循。,保护知识产权能够鼓励环保技术创新，为生态保护提供技术支撑。,污染破坏环境的主体应承担侵权责任，法律通过确定权利义务、惩罚违法行为来平衡个人利益与公共利益。,不要只写环保意识；必须写绿色原则、技术创新、环境侵权责任。,可作低频保分卡，不作高频母题。,low_frequency_container,2024 丰台 二模 第17题（CC0011_2024_丰台_二模_17）,【提示｜LOW-FREQUENCY】低频规则题，可训练，但不抬为高频满分母题；进 PDF 时必须用浅色角标/边框保留，防止学生把它当成高频核心模板。,
CC0019_2024_朝阳_一模_19,2024 朝阳 一模 第19题,formal,设问或题面需要教师再核对的题,设问需核对,诚信原则要求合同当事人按约全面履行义务，规范民事主体行为。,司法机关可依据诚信原则定分止争，维护公平正义和诚信健康的市场秩序。,经营者依法诚信经营，有利于保护消费者合法权益，平衡经营者与消费者关系，增进社会整体福祉。,不要写成必修三市场监管大作文；这题要落在民法诚信原则。,只背三层意思，不背成固定模板。,source_check_pending,2024 朝阳 一模 第19题（CC0019_2024_朝阳_一模_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0040_2024_海淀_一模_19,2024 海淀 一模 第19题,reference_only,普通答案练习题,普通答案练习,甲公司创作虚拟数字人相关形象和视频，对相应作品享有著作权。,乙公司未经许可使用相关视频、替换标识并添加营销信息，构成著作权侵权。,乙公司作虚假或引人误解的商业宣传，属于不正当竞争；判赔有利于激发创新活力、维护市场秩序。,不要把虚拟数字人本身写成民事主体；本题保护的是作品和经营秩序。,练思路，不作正式细则模板。,reference_only_locked,2024 海淀 一模 第19题（CC0040_2024_海淀_一模_19）,【醒目红线｜REFERENCE-ONLY】只有普通参考答案，不得支撑核心框架节点，不得当正式细则满分题。,
CC0061_2024_西城_一模_18,2024 西城 一模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,书记员与当事人有利害关系或其他可能影响公正审理的关系时，当事人可以申请回避。,民事诉讼中应称诉讼代理人，不能把代理人写成刑事诉讼中的辩护人。,成年子女对父母有赡养义务，赡养包括经济供养、生活照料和精神慰藉；告知书保护老人权益，也引导孝老敬亲。,不要只写赡养费；本题还可能考回避和诉讼代理人这两个小点。,可作多小问保分清单。,source_check_pending,2024 西城 一模 第18题（CC0061_2024_西城_一模_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0077_2025_东城_一模_19,2025 东城 一模 第19题,formal,设问或题面需要教师再核对的题,设问需核对,家庭装修纠纷进入诉讼后由法官促成和解，可写调解、诉讼调解或诉讼解决机制。,劳动者接受培训后服务期未满离职又要求返还违约金，答案要写权利义务相统一、履行义务、维护用人单位合法权益和劳动关系。,照料孤寡老人并处理遗产的案例，要写遗产管理制度，也要写友善、尊老敬老、守望相助和社会示范。,不要把三个案例合成一句法治有温度；表格题一格一答。,背每格最低词，不背长段。,source_check_pending,2025 东城 一模 第19题（CC0077_2025_东城_一模_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0084_2025_东城_二模_19,2025 东城 二模 第19题,formal,设问或题面需要教师再核对的题,设问需核对,给十三周岁未成年人文身，可从限制民事行为能力人合同效力或身体权、健康权侵权切入。,自媒体无事实依据辱骂公司，造成社会评价降低，构成名誉权侵权。,酒店到店支付却提前扣款的服务条款，要抓公平原则或诚信原则，并写维护消费者权益、规范格式条款使用。,不要只写保护未成年人；三案分别考不同权利边界。,表格题最低词可背。,source_check_pending,2025 东城 二模 第19题（CC0084_2025_东城_二模_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0092_2025_东城_期末_19_1,2025 东城 期末 第19题,formal,设问或题面需要教师再核对的题,设问需核对,先看充电柜设置是否符合消防等规定，是否依法依规。,再看改变共有部分用途是否经过相应程序，是否影响业主对共有部分的权利。,还要看是否损害相邻关系，是否可能侵害居民人身安全和财产安全。,不要只写便民；要从合规、共有部分、相邻和安全四个方向挑点。,背审查方向，不背具体结论。,source_check_pending,2025 东城 期末 第19题（CC0092_2025_东城_期末_19_1）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0119_2025_丰台_期末_19,2025 丰台 期末 第19题,formal,设问或题面需要教师再核对的题,设问需核对,劳动者应完成劳动任务，遵守劳动纪律和职业道德。,尹某未履行劳动者义务，购物中心依法解除劳动合同，法院驳回其请求。,裁判保护用人单位合理用工自主权，引导劳动者坚持权利义务相统一，构建合理健康劳动关系。,不要只写劳动者权益；这题重点是劳动者义务和用人单位合法解除。,可作劳动义务保分卡。,source_check_pending,2025 丰台 期末 第19题（CC0119_2025_丰台_期末_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0131_2025_房山_一模_19,2025 房山 一模 第19题,formal,设问或题面需要教师再核对的题,设问需核对,挖走核心技术人员并窃取技术秘密，属于不正当竞争，应受法律制裁。,高额赔偿和惩罚性赔偿提高侵权成本，强化知识产权保护，激发研发投入和创新活力。,劳动者也有保守秘密义务，要做到权利义务相统一，严守职业道德。,不要只写创新意义；必须写技术秘密和不正当竞争的定性。,可作知识产权意义题补充卡。,source_check_pending,2025 房山 一模 第19题（CC0131_2025_房山_一模_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0137_2025_昌平_二模_20,2025 昌平 二模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,著作权主体限于自然人、法人或非法人组织，AI 不能成为著作权主体。,人使用 AI 制作的图片若具备智力成果和独创性，可以受著作权法保护；未经许可使用并抹去水印，侵害信息网络传播权和署名权。,信用卡手续真实合法有效，透支后经催缴仍不还款构成违约，违背诚信和全面履行原则。,不要写 AI 自动享有权利；也不要把信用卡纠纷写成刑事诈骗。,表格题最低词可背。,source_check_pending,2025 昌平 二模 第20题（CC0137_2025_昌平_二模_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
