node_id,node_class,node_name,ask_trigger,material_trigger,minimum_judgment,supporting_question_ids,supporting_rubric_atom_ids
FWV1_2_GATE,boundary_gate,边界先判,运用法治知识谈国家如何建设、国家治理意义、涉外法治建设。,设问主语是中国/国家/最高法典型案例；答案锚词是涉外法治建设、国家治理能力现代化、依法行政。,先判断是否离开选必二私法/程序机制，进入必修三或综合法治。,CC0276_2026_房山_二模_17|RECOVER_2026_西城_二模_18_3,R_CC0276_2026_房山_二模_17_01|RECOVER_2026_西城_二模_18_3_R01|RECOVER_2026_西城_二模_18_3_R02|RECOVER_2026_西城_二模_18_3_R03
FWV1_2_N01,core_node,表格一格一答,完成下表/补充裁判理由/示例行,"题干已给的""示例""行就是评分基线",每个表格空对应哪个具体小问（解决机制？以案说法？典型意义？裁判理由？举证责任分配？），按列要求落句,CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0325_2026_石景山_一模_18|RECOVER_2026_通州_一模_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0137_2025_昌平_二模_20|RECOVER_2025_海淀_二模_18,R_CC0077_2025_东城_一模_19_02|R_CC0180_2025_海淀_期末_20_M17_06|R_CC0189_2025_石景山_一模_20_02|R_CC0189_2025_石景山_一模_20_03|R_CC0189_2025_石景山_一模_20_04|R_CC0213_2025_门头沟_一模_20_M17_03|R_CC0213_2025_门头沟_一模_20_M17_04|R_CC0213_2025_门头沟_一模_20_M17_07|R_CC0213_2025_门头沟_一模_20_M17_08|R_CC0214_2025_门头沟_一模_20_2_02|R_CC0214_2025_门头沟_一模_20_2_03|R_CC0214_2025_门头沟_一模_20_2_04|R_CC0137_2025_昌平_二模_20_05|R_CC0137_2025_昌平_二模_20_06|R_CC0137_2025_昌平_二模_20_07|R_RECOVER_2025_海淀_二模_18_02|R_RECOVER_2025_海淀_二模_18_03|R_RECOVER_2025_海淀_二模_18_08|R_CC0077_2025_东城_一模_19_03|R_CC0077_2025_东城_一模_19_04|R_CC0084_2025_东城_二模_19_02|R_CC0084_2025_东城_二模_19_03|R_CC0084_2025_东城_二模_19_04|R_CC0084_2025_东城_二模_19_05
FWV1_2_N02,core_node,裁判锚句起手,法院判决/裁判理由/调解结论,"材料中出现""法院判决/判令/裁定/支持/驳回""等司法机关结论性表述","设问对象是不是法院/仲裁/法官的""裁决/判决/调解结论""；若是，必须先写出""以事实为依据，以法律为准绳""或等价表达""根据《民法典》/相关法律规定""",CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19|CC0251_2026_丰台_一模_20,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01|PATCH_CC0251_R01A_COURT_ANCHOR
FWV1_2_N03,core_node,评析先表态,是否支持/是否有效/是否构成/能否得到法院支持,材料中存在两方诉求或两方行为对立，且题目要求选边,"立场是否明确——CC0373_P01""对闫某请求先表态支持""、CC0373_P04""对张某请求先表态不支持""、CC0305_P01""先作出支持原告诉讼请求的结论""、CC0317_01""该合同条款无效""为答案首句、RECOVER_2026_房山_一模_17_1_R01""奖励结论判断""",CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,R_CC0305_2026_海淀_一模_18_3_P01|R_CC0373_2026_顺义_一模_18_P01|R_CC0373_2026_顺义_一模_18_P04
FWV1_2_N04,core_node,私法案例四链,分析案例/判决理由；材料是合同、侵权、相邻、消费欺诈、责任承担,材料具体行为细节（拍摄角度、商品瑕疵、商品被损、用户协议条款）需要被援引到要件位,第一步选定权利或行为类型（侵权？违约？不正当竞争？）；第二步把材料事实拆为规则要件；CC0244_08 把这条逻辑写成口令：合同成立+合同有效+违约行为→违约责任；权利受保护+侵权要件齐备→侵权责任；存在竞争关系+不正当竞争行为→构成不正当竞争,CC0150_2025_朝阳_二模_20|CC0244_2026_东城_期末_18|RECOVER_2026_西城_二模_18_1|CC0238_2026_东城_二模_19|CC0364_2026_通州_期末_19_1|CC0143_2025_朝阳_一模_19|CC0317_2026_海淀_期末_18|RECOVER_2026_朝阳_期末_18_1,R_CC0150_2025_朝阳_二模_20_05|R_CC0150_2025_朝阳_二模_20_06|R_CC0150_2025_朝阳_二模_20_07|R_CC0150_2025_朝阳_二模_20_08|RECOVER_2026_西城_二模_18_1_R01|RECOVER_2026_西城_二模_18_1_R02|RECOVER_2026_西城_二模_18_1_R03|R_CC0238_2026_东城_二模_19_M17_01|R_CC0238_2026_东城_二模_19_M17_02|R_CC0238_2026_东城_二模_19_M17_03|R_CC0238_2026_东城_二模_19_M17_04|PATCH_CC0364_R01|PATCH_CC0364_R02|PATCH_CC0364_R03|PATCH_CC0364_R04|PATCH_CC0364_R05|PATCH_CC0364_R06|PATCH_CC0364_R07|PATCH_CC0143_CONTRACT_CHAIN_R01|PATCH_CC0143_CONSUMER_TRIPLE_COMP_R02|R_CC0143_2025_朝阳_一模_19_02|R_CC0143_2025_朝阳_一模_19_03|R_CC0143_2025_朝阳_一模_19_04|R_CC0143_2025_朝阳_一模_19_05|R_CC0143_2025_朝阳_一模_19_07|R_CC0143_2025_朝阳_一模_19_08|R_CC0143_2025_朝阳_一模_19_09|R_CC0150_2025_朝阳_二模_20_09|R_CC0150_2025_朝阳_二模_20_10|R_CC0150_2025_朝阳_二模_20_11|PATCH_CC0251_R01B_PUBLIC_PLACE_RULE|PATCH_CC0251_R01C_FACT_NO_FAULT|R_RECOVER_2026_朝阳_期末_18_1_01|R_CC0244_2026_东城_期末_18_03|R_CC0244_2026_东城_期末_18_05
FWV1_2_N05,core_node,知识产权竞争保护链,知识产权、不正当竞争、恶意诉讼、惩罚性赔偿、司法保护创新,技术秘密、植物新品种权、专利权归属、抢注混淆、抢票软件、恶意知识产权诉讼、惩罚性赔偿、调解、驳回,判断行为属于知识产权侵权、不正当竞争、商业诋毁、恶意诉讼或权利滥用，并识别法院司法手段,CC0131_2025_房山_一模_19|CC0206_2025_西城_期末_19|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期末_19|CC0103_2025_丰台_一模_19,R_CC0131_2025_房山_一模_19_02|R_CC0131_2025_房山_一模_19_03|R_CC0131_2025_房山_一模_19_05|R_CC0131_2025_房山_一模_19_06|R_CC0206_2025_西城_期末_19_01|R_CC0229_2026_东城_一模_18_03|R_CC0229_2026_东城_一模_18_05|R_CC0229_2026_东城_一模_18_07|R_CC0283_2026_朝阳_一模_18_02|R_CC0283_2026_朝阳_一模_18_03|R_CC0283_2026_朝阳_一模_18_04|R_CC0283_2026_朝阳_一模_18_05|R_CC0319_2026_海淀_期末_19_01|R_CC0103_2025_丰台_一模_19_01
FWV1_2_N06A,core_node,法律边界识别与合规措施,法律问题、法律边界、应对措施、合规建议。,充电桩/公共区域/消防规定/业主共有权；数字员工生成虚假数据、上传核心代码、商业使用图案。,先判断风险类型：是否违反规定、是否侵害共有权/名誉权/商业秘密/著作权，再对应写审核、保密、授权或依法经营措施。,CC0092_2025_东城_期末_19_1|CC0277_2026_房山_二模_18,R_CC0092_2025_东城_期末_19_1_01|R_CC0277_2026_房山_二模_18_04|R_CC0277_2026_房山_二模_18_05|R_CC0277_2026_房山_二模_18_06
FWV1_2_N06B,core_node,维权准备与诉讼请求,如何维权、需要做好哪些工作、诉讼请求、承担何种责任。,协商未果、拟起诉、律师函、侵权后果、证据材料、诉讼请求。,先看材料程序节点：协商未果则不再把协商作为主路径；再写证据与实体请求。,CC0245_2026_东城_期末_18_2|CC0289_2026_朝阳_二模_18|RECOVER_2024_东城_二模_19_1|RECOVER_2026_延庆_一模_18_1,PATCH_CC0245_R01A_REMEDY_PATH|PATCH_CC0245_R01B_EVIDENCE_PREP|PATCH_CC0245_R01C_REASONABLE_REQUEST|R_CC0289_2026_朝阳_二模_18_04|R_CC0289_2026_朝阳_二模_18_06|R_CC0289_2026_朝阳_二模_18_08|RECOVER_2024_东城_二模_19_1_R01|RECOVER_2024_东城_二模_19_1_R02|RECOVER_2024_东城_二模_19_1_R03|RECOVER_2026_延庆_一模_18_1_R01|RECOVER_2026_延庆_一模_18_1_R02|RECOVER_2026_延庆_一模_18_1_R03
FWV1_2_N06C,core_node,调解方案与合同诚信理由,调解方案、调解理由。,标的较小、退款、合同解除、商品已丢弃、证据缺失。,先判断调解目的与双方权利义务，再给可接受的理由。,CC0125_2025_延庆_一模_19,R_CC0125_2025_延庆_一模_19_M17_01|R_CC0125_2025_延庆_一模_19_M17_02|R_CC0125_2025_延庆_一模_19_M17_03|R_CC0125_2025_延庆_一模_19_M17_04|R_CC0125_2025_延庆_一模_19_M17_05
FWV1_2_N06D,core_node,公益诉讼与司法确认,公益诉讼、多元纠纷解决、司法确认意义。,公益、公众利益、和解/调解、司法确认、强制执行力。,先判断主体与利益是否公益，再写解纷方式和司法确认效力。,RECOVER_2026_门头沟_一模_18_1,RECOVER_2026_门头沟_一模_18_1_R01|RECOVER_2026_门头沟_一模_18_1_R02|RECOVER_2026_门头沟_一模_18_1_R03
