micro_scene,material_trigger_words,first_judgment,must_keywords
劳动关系三从属性,人格从属性、经济从属性、组织从属性、事实上的劳动关系,先判断是否存在劳动关系；三从属性每项必须带材料事实。,人格从属性、经济从属性、组织从属性、劳动关系、经济补偿
格式条款,格式条款、预先拟定、未与对方协商,先判断是否是格式条款，再判断是否限制对方主要权利或免除己方责任。,格式条款、公平原则、提示说明义务、条款无效
消费者欺诈,消费者、欺诈、三倍、知情权、自主选择权、公平交易,先判断经营者是否有欺诈或侵害消费者权利，再落退款/赔偿。,消费者权益保护法、欺诈、知情权、自主选择权、三倍赔偿
无过错侵权,无过错侵权、无过错责任、危险动物、产品责任,先判断责任形态是不是无过错，不要写成过错推定。,无过错侵权责任、产品责任、危险动物、免责事由
安全保障义务,安全保障义务、公共场所、合理限度、自身未尽安全注意义务,先判断管理人有没有过错、义务边界是否合理。,安全保障义务、合理限度、过错、自我负责
知识产权/竞争,知识产权、著作权、商标、专利、商业秘密、不正当竞争、混淆、商业诋毁,先定行为类型，再写责任与创新/秩序价值。,著作权、商标权、商业秘密、不正当竞争、停止侵害、赔偿
调解仲裁诉讼,调解、仲裁、诉讼、司法确认、强制执行、起诉状,先选路径，再写证据、请求和法律效力。,调解、仲裁、诉讼、证据、诉讼请求、司法确认
起诉状三件套,起诉状、诉讼请求、事实经过、法律理由,起诉状题先写诉讼请求，再写事实经过，最后写法律理由。,诉讼请求、事实经过、法律理由、合同履行、违约责任
举证责任,举证责任、谁主张、谁举证、举证责任倒置、行政诉讼、刑事诉讼,先判断案件类型，再分配谁举证及其理由。,行政诉讼、民事诉讼、刑事诉讼、谁主张谁举证、举证责任倒置
相邻关系,相邻、有利生产、方便生活、团结互助、公平合理、加装电梯,先判断不动产相邻关系，再写便利与不侵害的平衡。,相邻关系、有利生产、方便生活、团结互助、公平合理
AI/数据边界,人工智能、AI、数字员工、开源智能体、个人信息、算法、数据、核心代码,先拆风险，再把每项风险对到权利边界和措施。,民事主体资格、个人信息、隐私权、名誉权、商业秘密、审核义务
AI主体资格/幻觉责任,AI幻觉、赔偿承诺、民事主体资格、意思表示、提示义务、因果关系,先判 AI 不能作民事主体，再看人或公司有没有过错、提示义务、损害和因果关系。,AI不具备民事主体资格、意思表示、提示义务、注意义务、实际损害、因果关系
绿色/生态/公益,生态环境、绿色原则、绿色发展、公益诉讼、环境,先判断是否是绿色原则/公益保护，再写规则和社会公共利益。,绿色原则、生态环境、公益诉讼、公共利益
诉讼时效,诉讼时效、不适用诉讼时效、赡养,先说明诉讼时效的一般功能，再说明例外保护特定权益。,诉讼时效、督促权利、赡养义务、公序良俗
