trigger_id,question_id,year,district,exam_stage,question_no,pass_status,material_trigger,material_layering,legal_knowledge_triggered,framework_entry_node,use_condition,risk
MT_001,CC0001_2024_丰台_一模_16,2024,丰台,一模,16,FAIL,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,16.结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动力。 | 参考答案： 中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群众的重要抓手，能为社会主义现代化建设注入强进动力。 | 通过宣传，使党的路线、方针、政策直达基层，落地生根；,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_002,CC0002_2024_丰台_一模_17,2024,丰台,一模,17,PASS,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减 | 资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。 | 甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,法理依据与现实意义分层,F6 价值收束必须从法律规则推出,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_003,CC0011_2024_丰台_二模_17,2024,丰台,二模,17,PASS,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,17. （8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。 | 在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。 | 依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,相邻关系与民法原则锚句,F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_004,CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,PASS,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,19.（7分） 社会主义市场经济本质上是法治经济。 | 民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 | 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,相邻关系与民法原则锚句,F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_005,CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,PASS,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,"17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 | 【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 | 认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;",平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 材料事实转译为法律语言,F3 定准法律入口：从六类候选中选 + F2 把材料事实翻译成法律事实,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_006,CC0026_2024_朝阳_二模_18,2024,朝阳,二模,18,FAIL,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,"18. 5% 比上年增长 7. 1% 6. 0% 4. 2% 5. 4% 下列说法正确的是 ①提高经营净收入和财产净收入占比有助于缩小居民收入差距 ②转移净收入快速增长说明我国 | 2023 年7 月,我国民 营商业航天企业自主研制的全球首枚液氧甲烷火箭成功发射,标志着我国运载火箭在 新型低成本液体推进剂应用方面取得突破,走过了从“0”到“1”的“拓荒”阶 | 对此,下列选项正确的是 ①“商业航天”与“航天”两个概念是属种关系 ②我国商业航天的发展体现了事物发展过程中的渐进性与飞跃性 ③我国商业航天的发展应以航天“国家队”为主,坚持底",劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_007,CC0040_2024_海淀_一模_19,2024,海淀,一模,19,PARTIAL,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,19．（8 分）首例涉“虚拟数字人”侵权案宣判。 | 甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。 | 甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,只有 reference_only 或普通答案，不能宣称满分闭环，只能作弱验证。
MT_008,CC0045_2024_海淀_二模_19,2024,海淀,二模,19,PARTIAL,合同/责任事实；意义/价值收束任务,19．（6 分）遗赠扶养协议纠纷案宣判。 | 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至 | 曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,合同/责任事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。
MT_009,CC0047_2024_海淀_二模_21,2024,海淀,二模,21,FAIL,劳动/用工事实；程序/证据事实；意义/价值收束任务,21．（8分）循“新”出发，向“新”而行。 | 习近平总书记强调：“我们的目标很宏伟，也很朴素，归根到底就是让老百姓过上更好的日子。 | 孩子的抚养教育，年轻人的就业成才，老年人的就医养老，是家事也是国事，大家要共同努力，把这些事办好。,劳动/用工事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_010,CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,FAIL,相邻/民法原则事实；意义/价值收束任务,"21（1）75 年，大国自信而坚定的脚步。 | 1950年5月1日,《中华人民共和国婚姻法》开始施行。 | 这是新中国成立后颁布的第一部具有基本法律性质 的法律，彻底废除了封建主义家庭制度，确立了以婚姻自由、一夫一妻、保护妇女儿童权益为原则的社会主 义婚姻家庭制度。",相邻/民法原则事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
