check_id,scope,question_id,check_item,result,severity,evidence_seen,source_locator_checked,action_required,notes
C01,evidence_pool,,row_count_equals_74,PASS,P0,phase05_evidence_pool_74.csv has 74 data rows after dictreader,05_coverage/phase05_evidence_pool_74.csv,none,Verified by csv.DictReader and line count
C02,evidence_pool,,required_fields_present_no_blanks,PASS,P0,question_id+suite_id+source_locator+answer_locator nonempty across 74 rows,05_coverage/phase05_evidence_pool_74.csv,none,No missing fields detected
C03,evidence_pool,,duplicate_question_ids_zero,PASS,P0,Counter check yields 0 duplicates,05_coverage/phase05_evidence_pool_74.csv,none,Unique 74 question_ids
C04,evidence_pool,,student_permission_no_authorize,PASS,P0,All 74 rows = NO_STUDENT_DRAFT or NO_STUDENT_DRAFT_YET_GPT_BLOCKED,05_coverage/phase05_evidence_pool_74.csv,none,57 NO_STUDENT_DRAFT + 17 NO_STUDENT_DRAFT_YET_GPT_BLOCKED
C05,evidence_pool,,module_distribution_38_23_13,PASS,P0,推理=38 思维=23 交叉=13 sum=74,05_coverage/phase05_evidence_pool_74.csv,none,Matches Codex A digest
C06,evidence_pool,,L4_count_equals_4,PASS,P0,4 rows with L4_LOCKED_FOR_FUSION status,05_coverage/phase05_evidence_pool_74.csv,none,Rest are L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE
C07,evidence_pool_md,,row_count_74_in_md,PASS,P0,Lines 14-87 = 74 question rows in MD table,05_coverage/phase05_evidence_pool_74.md,none,MD table mirrors CSV
C08,thinking_archive,,row_count_equals_36,PASS,P0,Thinking archive CSV has 36 data rows,05_coverage/phase05_thinking_signal_archive.csv,none,Validated via csv.DictReader
C09,thinking_archive,,modules_23_thinking_plus_13_cross,PASS,P0,Pool-mapped split: 思维=23 交叉=13,05_coverage/phase05_thinking_signal_archive.csv,none,Matches GPT advice
C10,thinking_archive,,L4_routed_correctly,PASS,P0,Q-2025海淀二模-20 + Q-2025西城二模-16-3 carry L4_LOCKED_FOR_FUSION,05_coverage/phase05_thinking_signal_archive.csv,none,Both thinking-module L4 rows present
C11,thinking_archive,,no_L3_marked_locked_or_final,PASS,P1,Only L4 rows carry LOCKED status; L3 rows carry L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,05_coverage/phase05_thinking_signal_archive.csv,none,L3/L4 separation preserved
C12,reasoning_archive,,row_count_equals_51,PASS,P0,Reasoning archive CSV has 51 data rows,05_coverage/phase05_reasoning_typology_archive.csv,none,Validated via csv.DictReader
C13,reasoning_archive,,modules_38_reasoning_plus_13_cross,PASS,P0,Pool-mapped split: 推理=38 交叉=13,05_coverage/phase05_reasoning_typology_archive.csv,none,Matches GPT advice
C14,reasoning_archive,,L4_routed_correctly,PASS,P0,Q-2025西城二模-16-2 + Q-2026丰台一模-18-2 carry L4_LOCKED_FOR_FUSION,05_coverage/phase05_reasoning_typology_archive.csv,none,Both reasoning-module L4 rows present
C15,reasoning_archive,,no_L3_marked_locked_or_final,PASS,P1,Only L4 rows carry LOCKED status; L3 rows carry L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,05_coverage/phase05_reasoning_typology_archive.csv,none,L3/L4 separation preserved
C16,cross_matrix,,cross_row_count_equals_13,PASS,P0,Cross matrix CSV has 13 data rows,05_coverage/phase05_cross_question_split_matrix.csv,none,All 13 cross IDs present
C17,cross_matrix,,double_mount_yes_for_all_13,PASS,P0,All 13 rows have 是否双挂载=yes and primary=thinking_archive_and_reasoning_archive,05_coverage/phase05_cross_question_split_matrix.csv,none,No cross row is single-archive only
C18,cross_matrix,,exact_match_with_pool_cross,PASS,P0,Set-equal pool-cross-IDs vs cross-matrix-IDs,05_coverage/phase05_cross_question_split_matrix.csv + 05_coverage/phase05_evidence_pool_74.csv,none,Both archives carry the same 13 cross rows
C19,reasoning_same_type_index,,index_only_lists_reasoning_archive_ids,WARN,P3,Q-2026顺义一模-3 appears in index under heading 判断；推理 but is a 思维-module row that is not in reasoning archive,05_coverage/phase05_reasoning_same_type_index.md line 115,Codex A typo patch,Likely intended Q-2026顺义一模-5 or should be removed; does not affect archive routing or counts
C20,L0_summary,,total_rows_equal_288,PASS,P0,Sum of L0 category counts = 288 (201+31+22+6+5+3+3+2+2+2+11x1) ; matches control base 288 blocked rows,05_coverage/phase05_L0_blocker_reason_summary.md + 05_coverage/phase04_control_base_status_after_batch03_cleaned.csv,none,21 reason buckets reconciled with control base
C21,control_freeze,,total_rows_362,PASS,P0,Control base CSV has 362 rows,05_coverage/phase04_control_base_status_after_batch03_cleaned.csv,none,Matches Codex A freeze MD
C22,control_freeze,,L4_4_L3_70_L0_288_L1_0,PASS,P0,Counts: locked_for_fusion=4 confirmed_for_evidence_fusion*=70 (2+11+57) blocked*=288 L1=0,05_coverage/phase04_control_base_status_after_batch03_cleaned.csv,none,Computed from fusion_status field
C23,Q11_lock,Q-2024西城一模-11,answer_B_pairing_one_three_only,PASS,P0,reasoning archive logical_form/rule_slogan/valid_or_invalid_pattern/answer_action all carry B=①③; CONFLICT history note explicitly says ①④ deprecated,05_coverage/phase05_reasoning_typology_archive.csv + claudecode_lane/phase04_batch02_xicheng_q11_recheck.md,none,B=①③ confirmed via DOCX XML textbox extraction and rubric 025+026
C24,Q11_lock,Q-2024西城一模-11,no_B_one_four_trace_for_this_row,PASS,P0,Targeted regex search across all phase05 files; only ①④ trace is for Q-2026丰台一模-7 (legitimate),05_coverage/phase05_*.csv + 05_coverage/phase05_*.md,none,Q-2026丰台一模-7 ①④ is its actual correct pairing for that question; not Q11 contamination
C25,Q12_lock,Q-2025海淀二模-12,answer_D_with_supp_and_render_locator,PASS,P0,supplemental_source page9 12.D matched and render_008_page_04 visually showed Q12 stem,02_extraction/supplemental_answer_sources/2025北京海淀高三二模政治试题及答案.txt L34 + 02_extraction/priority_queue_sources/renders/008_*/page_04.png,none,Pool answer_locator answer_confirmed_D_from_supplemental_key
C26,Q13_lock,Q-2025海淀二模-13,answer_C_with_supp_and_render_locator,PASS,P0,supplemental_source page9 13.C matched and render_008_page_04 visually showed Q13 stem,02_extraction/supplemental_answer_sources/2025北京海淀高三二模政治试题及答案.txt L35 + 02_extraction/priority_queue_sources/renders/008_*/page_04.png,none,Pool answer_locator answer_confirmed_C_from_supplemental_key
C27,L4_lock,Q-2025海淀二模-20,evidence_multi_source_rubric_locator_intact,PASS,P0,009 TABLE3 (角度池1+2赋分) + 010评标实录 (20题考了辩证思维) verified inline,02_extraction/priority_queue_sources/text/009_*.txt + 010_*.txt,none,L4 routing thinking_archive only
C28,L4_lock,Q-2025西城二模-16-2,paper_037_L186-191_rubric_038_L18-19,PASS,P0,Read paper 037 lines 186-191 (Q16(2) 岩松鼠 prompt) and rubric 038 lines 18-19 (无法确定 + 充分条件假言判断+后件真不能确定前件),02_extraction/priority_queue_sources/text/037_*.txt + 038_*.txt,none,L4 routing reasoning_archive only
C29,L4_lock,Q-2025西城二模-16-3,paper_037_L192-193_rubric_038_L22,PASS,P0,Read paper 037 lines 192-193 (Q16(3) 拆水池诉求) and rubric 038 line 22 (创新思维改变创造条件建立新的具体联系),02_extraction/priority_queue_sources/text/037_*.txt + 038_*.txt,none,L4 routing thinking_archive only
C30,L4_lock,Q-2026丰台一模-18-2,rubric_043_SLIDE35-36_甲乙_必要条件假言推理_三段论,PASS,P0,Read 043 SLIDE 35-36: 甲=必要条件假言推理(肯定后件式)正确; 乙=三段论(大项不当扩大)错误,02_extraction/priority_queue_sources/text/043_*.txt,none,L4 routing reasoning_archive only
C31,marginal_row,Q-2024朝阳二模-6,locator_and_answer_C_preserved,PASS,P1,023 TABLE1 答案: Q6=C; classified 推理 with 概念外延+哲学渐进性飞跃性 trap context preserved,02_extraction/priority_queue_sources/text/023_*.txt + pool/archives,none,No student draft permitted
C32,marginal_row,Q-2025丰台期末-7,locator_and_answer_C_preserved,PASS,P1,040 paper inline 故本题选C at idx 9223 confirms Q7=C; classified 思维 with 漫画哲学题_选必三超前思维作干扰 risk note preserved,02_extraction/priority_queue_sources/text/040_*.txt + pool/archives,none,Marginal哲学题 cross risk note preserved; no student draft
C33,marginal_row,Q-2026通州期末-9,locator_and_answer_D_preserved,PASS,P1,006 参考答案表 Q9=D verified; classified 思维 with risk note 创新思维优先构建过窄 etc.,02_extraction/priority_queue_sources/text/006_*.txt + pool/archives,none,Marginal cross risk note preserved; no student draft
C34,spot_audit_thinking,Q-2024朝阳一模-7,answer_C_pptx_slide15,PASS,P2,031 SLIDE 15 visible answer C; Slide 15 textual content matches Q7,02_extraction/priority_queue_sources/text/031_*.txt,none,
C35,spot_audit_thinking,Q-2025海淀期末-17-1,paper_015_L103-106_永动机,PASS,P2,Paper 015 lines 103-106 contains 永动机 prompt; rubric 015 inline L143-144 verified,02_extraction/priority_queue_sources/text/015_*.txt,none,
C36,spot_audit_thinking,Q-2026朝阳期中-21-2,paper_003_L286-287_rubric_003_L352-353,PASS,P2,Paper L286-287 = 创新思维 prompt for 21(2); rubric L352-353 = 联想/发散/聚合/逆向 path,02_extraction/priority_queue_sources/text/003_*.txt,none,
C37,spot_audit_thinking,Q-2026丰台一模-4,supplemental_answer_table_Q4_A,PASS,P2,Supplemental key line 418 shows 4.A,02_extraction/supplemental_answer_sources/2026北京丰台高三一模政治试题有答案_北京高考在线.txt,none,
C38,spot_audit_reasoning,Q-2024朝阳一模-20-1,paper_030_L266-280_rubric_031,PASS,P2,Paper 030 L266-280 contains Q20 推理一/推理二 prompt about A区域古代气候; rubric 031 covers 20题,02_extraction/priority_queue_sources/text/030_*.txt + 031_*.txt,none,
C39,spot_audit_reasoning,Q-2024朝阳一模-20-2,paper_030_L278-280_rubric_031,PASS,P2,Paper 030 L278-280 contains 推理二 (材料二) prompt; rubric 031 (slide range) covers Q20(2),02_extraction/priority_queue_sources/text/030_*.txt + 031_*.txt,none,
C40,spot_audit_reasoning,Q-2024朝阳期中-18,paper_017_L224-232_楚王晏子,PASS,P2,Paper 017 L224-232 confirms 楚王/晏子 推理材料; rubric 020 has full Q18 grading at L43-50+,02_extraction/priority_queue_sources/text/017_*.txt + 020_*.txt,none,
C41,spot_audit_reasoning,Q-2025东城期末-13,paper_012_inline_故选B,PASS,P2,Paper 012 idx 15486 inline 故选：B confirms Q13=B,02_extraction/priority_queue_sources/text/012_*.txt,none,
C42,spot_audit_reasoning,Q-2025顺义一模-17-1,rubric_034_L24-29,PASS,P2,Rubric 034 L24-29 confirms 充分条件假言判断+必要条件假言判断+相容选言判断 grading triplet,02_extraction/priority_queue_sources/text/034_*.txt,none,
C43,spot_audit_cross,Q-2024朝阳二模-19-1,paper_021_L353-367_rubric_022_L126-134,PASS,P2,Paper L353-367 contains 中华文明 19(1) prompt; rubric 022 L126-134 confirms 动态性+类比 双挂,02_extraction/priority_queue_sources/text/021_*.txt + 022_*.txt,none,
