source_id,path,exists,suffix,status,method,char_count,hit_count,text_path,hits_path,render_dir,error
001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,True,.pdf,extracted,pymupdf_text_plus_render,9110,13,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf.hits.json,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,
002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,True,.pptx,extracted,python_pptx,3958,12,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx.hits.json,,
003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,True,.pdf,extracted,pymupdf_text_plus_render,8354,11,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.hits.json,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,
004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,True,.docx,extracted,python_docx,4763,16,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx.hits.json,,
005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,True,.docx,extracted,python_docx,4763,16,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx.hits.json,,
006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,True,.pdf,extracted,pymupdf_text_plus_render,8702,13,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf.hits.json,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,
007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,True,.pptx,extracted,python_pptx,6172,12,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx.hits.json,,
008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,True,.pdf,extracted,pymupdf_text_plus_render,167,0,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf.hits.json,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,
009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,True,.docx,extracted,python_docx,2777,4,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx.hits.json,,
010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,True,.docx,extracted,python_docx,2083,5,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx.hits.json,,
