source_question_id,year,district,exam_stage,old_question_no,old_action_bucket,old_final_count_bucket,same_suite_kept_in_53,recheck_verdict,should_recover_or_reopen,recovery_or_replacement_id,recheck_note,old_reason,evidence_pointer
CC0001_2024_丰台_一模_16,2024,丰台,一模,16,exclude_duplicate_mismatch,excluded,CC0002_2024_丰台_一模_17,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0002；本行 Q16 是《政治与法治》四下基层，ask 串入 CC0002。,剔除：Q16 正文/细则是《政治与法治》四下基层，ask_text 串入 CC0002 法律题。,
CC0026_2024_朝阳_二模_18,2024,朝阳,二模,18,exclude_nonlaw,excluded,CC0025_2024_朝阳_二模_17,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0025；本行主干是全过程人民民主/政治与法治。,剔除：细则主干为《政治与法治》全过程人民民主，另有选择题/OCR 串页。,
CC0047_2024_海淀_二模_21,2024,海淀,二模,21,exclude_nonlaw,excluded,CC0045_2024_海淀_二模_19,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0045；本行是新质/民生综合题，不是法律采分。,剔除：新质/民生综合题，采分来自党、制度、经济、治理、文化等模块。,
CC0070_2024_顺义_二模_19,2024,顺义,二模,19,exclude_nonlaw,excluded,,recover_needed_missed_same_suite_law,yes,RECOVER_2024_顺义_二模_17,原剔除的 Q19 是国际/经济综合题，剔除本身成立；但同套卷漏掉 Q17 财产制度助力经济社会发展，答案细则涉及财产制度规范民事主体财产关系、物权平等保护、财产权保护。,剔除：经济/国际/马克思主义中国化综合题，非法律规则采分。,题面 F0069 lines 112-113；答案/细则 F0068 lines 17-20。
CC0091_2025_东城_期末_19,2025,东城,期末,19,split_or_deduplicate_parent,not_counted_parent_unit,CC0092_2025_东城_期末_19_1,confirmed_parent_not_counted,no,,父题不应整题计数；同套法律小问 CC0092 已保留，CC0094 另列 pending。,父题含法律小问、利益主体、民主协商小问；整题不计入法律题，法律小问由拆分项承载。,
CC0094_2025_东城_期末_19_3,2025,东城,期末,19,split_or_deduplicate,pending_split_not_open,CC0092_2025_东城_期末_19_1,pending_split_recheck,pending,CC0094_2025_东城_期末_19_3_LAW_PENDING,仍需拆出可能的相邻关系法律层；当前 rubric atoms 串题，不能闭合。,GPT 修正：不能整题 keep_reference_open。小问法律+政治混合，且当前 rubric atoms 串到新能源/欧盟/贸易保护；须拆出法律 2 分相邻关系后再决定。,
CC0118_2025_丰台_期末_18_2,2025,丰台,期末,18,duplicate_or_reextract_pending;reextract_needed,duplicate_or_reextract_pending,CC0119_2025_丰台_期末_19,pending_dedup_reextract,pending,CC0118_2025_丰台_期末_18_2_LAW,当前行绑定经济题；尹某劳动合同给分口径可能与 CC0119 重复，不能新增计数。,当前行绑定经济题；后续 PPT 才出现尹某劳动合同裁判反馈，可能与 CC0119 去重，需定向重抽。 / 跟踪待核：尹某劳动合同小问可能是 CC0119 学生问题页，不宜新增计数。,
CC0132_2025_房山_一模_20,2025,房山,一模,20,exclude_nonlaw,excluded,CC0131_2025_房山_一模_19,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0131；本行奋斗主题综合论述，不是法律规则采分。,剔除：奋斗主题综合论述，非法律规则采分。,
CC0168_2025_海淀_二模_20,2025,海淀,二模,20,exclude_nonlaw,excluded,,recover_needed_missed_same_suite_law,yes,RECOVER_2025_海淀_二模_18,原剔除的 Q20 共享/粮食安全题剔除成立；但同套卷漏掉 Q18 模拟法庭/恶意抢注/商标权/程序法/证据题。,剔除：共享发展/国际组织/粮食安全等非选必二法律采分。,"题面 rendered_pages/F0123/page_006.png；细则 F0121 lines 4-16；讲评 F0120 lines 309-335, 381-386。"
CC0182_2025_海淀_期末_22,2025,海淀,期末,22,exclude_nonlaw,excluded,CC0180_2025_海淀_期末_20;CC0181_2025_海淀_期末_21,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0180、CC0181；本行愚公精神综合论述，法律片段为串页/干扰。,剔除：愚公精神综合论述，法律片段为串页或干扰。,
CC0218_2025_顺义_一模_16,2025,顺义,一模,16,exclude_nonlaw,excluded,CC0223_2025_顺义_一模_19,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0223；本行哪吒/哲学文化题，不是法律题。,剔除：哪吒、哲学与文化、联系发展矛盾等采分，非法律题。,
CC0240_2026_东城_二模_21,2026,东城,二模,21,exclude_nonlaw,excluded,CC0238_2026_东城_二模_19,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0238；本行金融五篇大文章/经济/辩证思维。,剔除：金融五篇大文章/党和政府经济职能/辩证思维。,
CC0250_2026_丰台_一模_19,2026,丰台,一模,19,exclude_nonlaw,excluded,CC0251_2026_丰台_一模_20,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0251；本行人类命运共同体/2030议程，不应作为法律开放容器。,GPT 明确要求从 v2 开放容器删除：本题为人类命运共同体/2030 议程/可持续发展，复练页法律提示不能带动恢复。,
CC0259_2026_丰台_期中_19,2026,丰台,期中,19,pending_reextract_missing_legal_rubric;reextract_needed,pending_missing_legal_rubric,,confirmed_mislocated_duplicate_not_2026_fengtai_midterm,no,,该材料在 F0207/F0388 中标注为“2024海淀二模”样例，非 2026丰台期中/期末本卷题；对应遗赠扶养协议已由 2024海淀二模 CC0045/相关恢复样本承载，不能按 2026丰台新增计数。,题面显示遗赠扶养协议，但 rubric atoms 严重串入经济/逻辑/全球倡议；补到正式法律细则前不得进入归纳或满分闭环。 / 跟踪待补：遗赠扶养协议题面明确，但正式法律细则未匹配，暂不入框架归纳或宝典闭环。,
CC0294_2026_朝阳_二模_20_2,2026,朝阳,二模,20,exclude_nonlaw,excluded,CC0289_2026_朝阳_二模_18,confirmed_exclude_row_only,no,,同套法律题已保留为 CC0289；本行当代国际政治与经济/人类命运共同体/系统思维。,剔除：当代国际政治与经济/人类命运共同体/系统思维串页，非法律主观题。,
CC0305_2026_海淀_一模_18,2026,海淀,一模,18,split_parent,not_counted_parent_unit,CC0305_2026_海淀_一模_18_3,confirmed_parent_replaced_by_split,no,CC0305_2026_海淀_一模_18_3,父题不计；法律小问已拆入 CC0305_2026_海淀_一模_18_3。,父题前两问为消费数据/经济意义；只拆 Q18(3) 法律小问，父题不计入法律题。,
CC0358_2026_通州_一模_17,2026,通州,一模,17,exclude_nonlaw,excluded,,recover_needed_missed_same_suite_law,yes,RECOVER_2026_通州_一模_20,原剔除的 Q17(2) 是《逻辑与思维》AI 辩证思维，剔除成立；但同套卷漏掉 Q20 民法典自甘风险/安全保障义务/侵权责任题。,剔除：实际为《逻辑与思维》辩证思维看 AI，隐私/法律治理只是材料风险词。,题面 rendered_pages/F0173/page_008.png；细则 F0172 lines 215-228。
CC0363_2026_通州_期中_19,2026,通州,期中,19,split_or_deduplicate_parent,not_counted_parent_unit,CC0364_2026_通州_期中_19_1,confirmed_parent_duplicate,no,CC0364_2026_通州_期中_19_1,父题不计；同套法律小问已由 CC0364 承载。,父题含法律相邻加装电梯与逻辑推理；法律小问已由 CC0364 PASS 承载，父题不重复计数。,
CC0373_2026_顺义_一模_17,2026,顺义,一模,17,split_parent,not_counted_parent_unit,CC0373_2026_顺义_一模_18,confirmed_parent_replaced_by_split,no,CC0373_2026_顺义_一模_18,旧行首是 Q17 政治题；法律题已重抽为 CC0373_2026_顺义_一模_18。,原行首为 Q17 政治题，后续 slide 有 Q18 劳动就业歧视/竞业限制法律细则；父题不计。,
CC0380_2026_顺义_二模_18,2026,顺义,二模,18,reextract_needed,not_counted_parent_unit,CC0380_2026_顺义_二模_18_2,confirmed_parent_replaced_by_split,no,CC0380_2026_顺义_二模_18_2,父题含逻辑与法律小问；法律小问已拆入 CC0380_2026_顺义_二模_18_2。,整题含逻辑与开源智能体法律小问，当前 atoms 只抽逻辑；需重抽 Q18(2)。,
