question_id,year,district,exam_stage,question_no,current_status,preliminary_decision,reason,evidence_files_or_text_ids,next_action
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,pending_evidence,upgrade_formal,"真主观题；评标细则已找到，含8分结构、1+2+2法理依据、3分现实意义。","F0268 丰台一模评标细则汇总.docx; F0044 细则.docx","回填rubric_file/rubric_text/evidence_level=formal并拆细则原子"
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,pending_evidence,upgrade_formal,"真主观题；细则/讲评PPT与教师版均给出合同成立3分、司法判决意义5分。","F0055 细则.pptx; F0277 2024年石景山一模.pptx; F0056 试卷.docx","回填rubric_file/rubric_text/evidence_level=formal并拆细则原子"
CC0091_2025_东城_期末_19,2025,东城,期末,19,pending_evidence,upgrade_formal_with_boundary_note,"真主观题但属法律与政治法治综合题；东城期末讲评/细则给出19(1)(2)(3)明确评分口径。","F0128 细则.pdf; F0129 东城期末.pptx; F0338 2025.1东城讲评 修改.pdf; F0340 东城期末.pptx","回填formal；module_boundary_risk标综合，不作为纯法律核心节点单独支撑"
CC0096_2025_东城_期末_21,2025,东城,期末,21,pending_evidence,delete_false_positive,"误抓；ask_text为选择题选项辨析排除，不是主观题。","F0130/F0339 选择题解析片段","从merged主观题与reasoner包剔除"
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,pending_evidence,upgrade_formal,"真主观题；丰台期末细则PPT给出劳动者义务、用人单位胜诉原因、现实意义7分细则。","F0131 细则.pptx; F0342 丰台期末细则.pptx","回填formal并拆细则原子"
CC0121_2025_丰台_期末_21,2025,丰台,期末,21,pending_evidence,delete_false_positive,"误抓；内容是首发经济选择题解析，非法律主观题。","F0132/F0341 选择题解析片段","从merged主观题与reasoner包剔除"
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,pending_evidence,upgrade_formal,"真主观题；延庆答案/细则给出调解结果、诚信原则、合同解除、证据意识等7分细则。","F0077 细则.docx; F0296 2025延庆区一模政治答案.docx; F0295 教师版","回填formal并拆细则原子"
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,pending_evidence,upgrade_formal,"真主观题；朝阳期末PPT/评标给出拟写裁判要点及不正当竞争、侵权责任、赔偿等给分口径。","F0133 朝阳高三期末2025.pptx; F0345 朝阳高三期末2025.pptx; F0344 朝阳期末评标.pdf","回填formal；必要时保留OCR风险"
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,pending_evidence,upgrade_reference_only,"真主观题；教师版/补充材料有参考答案，但F0088/F0307未定位到该题明确评分细则，不能冒充formal。","F0089/F0305/F0306 教师版或补充答案文本","回填reference_only；若后续找到正式细则再升级"
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,pending_evidence,upgrade_formal,"真主观题；民法典侵权责任编解释表格题，讲评PPT给出无过错侵权责任、消费者权利、意义等评分口径。","F0138 细则.pptx; F0349 2025届期末考试0118(2).pptx; F0139/F0348教师版","回填formal并拆细则原子"
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,pending_evidence,upgrade_formal,"真主观题；竞业限制题，讲评PPT给出意义6分、案例分析2分及替代答案口径。","F0138 细则.pptx; F0349 2025届期末考试0118(2).pptx; F0139/F0348教师版","回填formal并拆细则原子"
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,pending_evidence,upgrade_formal,"真主观题；门头沟细则给出裁判结果、裁判理由、现实意义，含劳动合同诚实信用原则等给分点。","F0095 细则.doc; F0313 门头沟一模细则.doc; F0096 试卷.pdf","用textutil补抽旧Word后回填formal并拆细则原子"
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,pending_evidence,upgrade_formal_with_boundary_note,"真主观题；顺义一模评分细则给出相邻关系、诉讼调解、多元纠纷解决等口径；但有法治价值综合边界。","F0097 细则.docx; F0315 顺义区2025届高三第一次模拟考试参考答案—评分细则.docx; F0098/F0314教师版","回填formal；module_boundary_risk标综合"
CC0226_2025_顺义_一模_21,2025,顺义,一模,21,pending_evidence,delete_false_positive,"误抓；内容是心理健康服务热线选择题解析，不是主观题。","F0098/F0314 选择题解析片段","从merged主观题与reasoner包剔除"
CC0238_2026_东城_二模_19,2026,东城,二模,19,pending_evidence,upgrade_formal,"真主观题；东城二模19题阅卷细则明确商业诋毁、不正当竞争、违约、劳动纪律与职业道德等给分。","F0184 东城二模 19题阅卷细则.pdf; F0186 教师版","回填formal并拆细则原子"
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,pending_evidence,upgrade_reference_only,"真主观题；教师版有知识产权助力企业创新与发展的8分参考答案，但当前未找到明确细则，讲评PDF文本层基本只有水印。","F0197 2026北京海淀高三二模政治（教师版）.docx; F0196 讲评PDF OCR风险","回填reference_only；若能OCR讲评再尝试升formal"
CC0314_2026_海淀_二模_21,2026,海淀,二模,21,pending_evidence,delete_false_positive,"误抓；实际为综合论述等级描述/非法律主观题，不应进入选必二法律主观题库。","F0197 教师版Q21等级描述","从merged主观题与reasoner包剔除"
