sheet	row	序号	题目定位	题目定位/模块	维度	原严重度	严重程度	严重度	v33状态	问题原文（摘录）	问题说明	复核说明（含仍需修改建议）	修改建议	备注
①汇编v33复核	2	1	2024·石景山·一模·第18题第2问		答案与评分逻辑	中			未改			（2）（6分）下天灾≠不可抗力/不可抗力定义/不能免责/违约责任/非诉优先/司法确认强制执行等要点仍未逐点标注分值。仍需：明确各踩分点分值(如不可抗力2分+违约责任2分+解纷机制2分)使加总=6分。		
①汇编v33复核	3	2	2024·顺义思政·二模·第17题		答案与评分逻辑	中			未改			"【细则】仍为""17．（7分）①……②……③……""，三层未标各自分值，7分如何分配无法核验。仍需：明确①②③三层各自分值，加总=7分。"		
①汇编v33复核	4	3	2025·东城·二模·第19题		法律准确性	中			未改			"【细则】与【答案落点】案件三仍以""公平原则""为首选、""诚信原则""为可替换(""③体现的民法原则：公平原则，可替换：诚信原则"")。v32建议格式条款提示说明义务以诚信原则为主；惟此为软性意见且公平原则亦可成立，可维持，但宜在细则注明诚信原则同为格式条款规制核心。"		
①汇编v33复核	5	4	2025·东城·期末·第19题第1问		法律准确性	中			未改			"设问资料卡仍引《高层民用建筑消防安全管理规定》第三十七条""充满自动断电功能""，条号未经核实标注。属待核实项，内容与现行规章大体相符，建议联网终核或加注""条号以原规章为准""。"		
①汇编v33复核	6	5	2025·东城·期末·第19题第1问		答案与评分逻辑	中			未改			"设问""（1）遇到的法律问题： 、 。""及细则""1个问题1分""处仍无本问总分(2分)标注。仍需：明确本问总分2分(每个法律问题1分)。"		
①汇编v33复核	7	6	2025·丰台·一模·第19题		答案与评分逻辑	中			未改			"【细则】仍仅""19题 评分标准说明：""，未标本题总分及封顶规则；企业1+1+科创2+司法2=6分，加变通(彰显权威1、法治信仰1点1分)仍无总分上限说明。仍需：补注本题总分(应为8分)及""总分不超过8分""封顶。"		
①汇编v33复核	8	7	2025·丰台·二模·第19题第2问		答案与评分逻辑	中			未改			"""评分标准说明""中""标准""(2+2+2+2=8)与""说明""(1+1+1+2+1+2式细分)两套不同切分仍并存，踩分点切分方式不一致。仍需：统一为一套八分制踩分点，删除或合并重复的另一套。"		
①汇编v33复核	9	8	2025·丰台·期末·第19题		错别字与表述	中			未改			"材料法条节选仍严重串栏：劳动法第三条与劳动合同法第三十九条文字交叉穿插(""选择职业 《中华人民共和国劳动合同法》的权利……和福利的权利……（二）严重违反"")，无法正常阅读。仍需：将两法条分列、各自文字连贯，去除双栏抽取串行。"		
①汇编v33复核	10	9	2025·延庆·一模·第19题		法律准确性	中			未改			"【细则】与【答案落点】仍为""杨某与贾某之间的买卖合同相应解除，杨某负有返还货物的义务""，未交代解除依据(约定/法定/协商)，""相应解除""定性仍略武断。仍需：补解除/终止依据，或改为""杨某已获退款，合同相应解除(终止)，负返还义务(构成不当得利的应返还)""。"		
①汇编v33复核	11	10	2025·延庆·一模·第19题		答案与评分逻辑	中			未改			"括号内分值(1+2+2+2=7)与文末""细则""按要点+材料的切分(以和为贵1+诚信1+材料1+合同解除1+材料1+证据1+材料1=7)两套并存，对应关系不清。仍需：统一为一套7分制踩分点，明确每点""要点分+材料分析分""归属。"		
①汇编v33复核	12	11	2025·房山·一模·第19题		答案与评分逻辑	中			未改			"【细则】仍列①不正当竞争(4)②惩罚性赔偿(3)③道德(1)④劳动者(2)⑤民法原则(1)⑥必修三(2)，可得点达13分远超8分；④劳动者""保守秘密义务""在""谈法治价值""设问下仍未标可选/拓展。仍需：精简核心踩分点至贴近8分，并将④标注为可选角度。"		
①汇编v33复核	13	12	2025·海淀·二模·第18题		法律准确性	中			未改			"判决书材料仍引""《中华人民共和国民事诉讼法》第十三条、第一百四十二条的规定，判决如下：驳回原告的诉讼请求""，第142条作判决依据仍可能不当(现行宜为第145条)，且未加注。仍需：改引第一百四十五条，或保留原题并加注""条号以原题为准""。"		
①汇编v33复核	14	13	2025·海淀·期末·第21题		法律准确性	中			未改			"细则与落点案例二仍为""刘某作为普通劳动者/普通员工，并非负有保密义务的人员……协议无效""，仍以""普通员工=非保密义务""一刀切(普通员工亦可能接触秘方而负保密义务)。仍需：改为""刘某从事拌黄瓜等大众菜冷菜制作，不属于掌握核心商业秘密、依法可约定竞业限制的人员，故协议对其不具约束力(无效)""。"		
①汇编v33复核	15	14	2025·石景山·一模·第20题		法律准确性	中			未改			"细则与落点案例二仍为""构成不正当竞争，应当承担停止侵害、赔偿损失的侵权责任""，反法混淆行为责任仍直接称""侵权责任""。仍需：改为""构成混淆型不正当竞争，应承担停止侵害、赔偿损失等民事责任""，或加注请求权基础为反不正当竞争法第6条。"		
①汇编v33复核	16	15	2025·西城·一模·第20题		法律准确性	中			未改			"细则与落点仍为""劳动法的首要原则是保护劳动者权益""，""首要原则""提法教材未明确。仍需：改为""保护劳动者合法权益是劳动法的重要立法宗旨(基本原则)""。"		
①汇编v33复核	17	16	2025·西城·二模·第18题		法律准确性	中			未改			"资料卡引民法典第一百五十七条仍止于""各方都有过错的，应当各自承担相应的责任。""，既无省略号也未补末句""法律另有规定的，依照其规定。""，作完整引用仍不完整。仍需：加省略号标节选，或补末句。"		
①汇编v33复核	18	17	2025·西城·二模·第18题		答案与评分逻辑	中			未改			"细则与落点仍称""法院判定平台和小刘父母都应承担相应责任""，但材料判决仅为""被告平台退还充值款24万元""，并无小刘父母被判担责，易误导学生认为父母被判赔。仍需：改为""综合各方过错，法院按比例判平台返还部分款项(未全额返还)，体现各自承担相应责任与公平原则""，删去父母被判担责表述。"		
①汇编v33复核	19	18	2025·顺义·一模·第19题第2问		答案与评分逻辑	中			未改			"细则仍""1个角度2分，2个角度4分，3个角度5分，满分不超过5分""，三角度各2分(共6分)压缩到5分封顶的口径张力仍在，设问处未显著标注本问满分5分。仍需：在设问/细则显著位置标注本问满分5分，并说明""三角度满分各2分但合计封顶5分""。"		
①汇编v33复核	20	19	2026·东城·二模·第19题		答案与评分逻辑	中			未改			"v33细则仍为""以商业诋毁获取竞争优势（2分）；可替代为构成不正当竞争，或违背诚信原则（1分）""，与v32逐字相同，同一采分点2分/1分并存的歧义未消除。仍需改为""商业诋毁/不正当竞争定性计2分（仅笼统答违背诚信原则得1分）""，删去并列的两个独立分值。"		
①汇编v33复核	21	20	2026·海淀·期末·第19题		题源与同题组	中			未改			"v33第19题设问行""运用《法律与生活》知识，谈谈对本案判决的认识。""与细则均仍未标注本问总分，无法核对踩分点加总。仍需补标本问分值（同类材料分析题通常6—8分）并按踩分点分配。"		
①汇编v33复核	22	21	2026·石景山·一模·第18题		题源与同题组	中			未改			"v33材料正文仍用""案件一/二/三""（第1068-1070行），而表格表头与设问仍用""案例一/二/三""（第1071-1073行），标签不统一未改。仍需全题统一为""案例""或""案件""。"		
①汇编v33复核	23	22	2026·石景山·二模·第19题		法律准确性	中			未改			"v33细则与答案落点仍写""民法典规定父母有对未成年子女的行为进行必要的约束和引导以及批评教育、合理惩戒的义务""，法条归属不准确未改（约束、管教、合理惩戒出自未成年人保护法第16条，非民法典第26条）。仍需改为援引未成年人保护法第16条，或表述为""民法典第26条规定抚养、教育和保护义务""。"		
①汇编v33复核	24	23	2026·西城·二模·第18题第2问		答案与评分逻辑	中			未改			"v33细则正文仍按三个角度各（2分）列出（释放产业创新活力2分/统一裁判标准2分/助力长期健康发展2分），结尾又写""以上任意两个角度…一个3分，两个6分""，2+2+2与3+3两套赋分仍并存矛盾。仍需统一为""任选两个角度，每个3分，共6分""，并将正文三点改为（3分，任选两点）。"		
①汇编v33复核	25	24	2026·顺义·一模·第18题		答案与评分逻辑	中			未改			"v33第18题设问与细则均仍未标注总分值（""闫某和张某的诉求能否得到法院支持，并说明理由。""无分值），细则亦未给踩分点分值分配。仍需补全本题总分（如12/14分）及闫某部分、张某部分、共同价值各几分。"		
①汇编v33复核	26	25	2024·东城·二模·19题第1问		答案与评分逻辑	低			未改			"【细则】仍为""阅卷细则：原告被告不给分""，未补充""原被告身份须在诉讼请求里正确体现""的说明。仍需：在""原告被告不给分""后加注""原被告身份不单列分，须在诉讼请求中正确体现""。"		
①汇编v33复核	27	26	2024·石景山·一模·第17题		答案与评分逻辑	低			未改			"【答案落点】第4点仍保留""甲公司应按承诺承担相应责任""，该句既非合同成立理由也非判决意义，仍游离于两个设问之外。仍需：删除该句，或并入合同成立理由处说明违约责任，使落点严格对应""合同成立理由+判决意义""两问。"		
①汇编v33复核	28	27	2024·西城·一模·第18题第3问		错别字与表述	低			未改			"【细则】仍为""敬老义务（责任）保护郭某的合法权益，替换：满足老人的需求中华传统美德，变通：中华优秀传统文化发挥法律对道德建设的促进作用""，多个细则/变通/替换条目连排无分隔，易读成一句。仍需：在各条目间加分号或换行。"		
①汇编v33复核	29	28	2025·丰台·一模·第19题		法律准确性	低			未改			"变通说明仍未补充""惩罚性赔偿亦可结合民法典第1185条作答""，仍唯一指向反不正当竞争法。仍需：在变通说明补民法典第1185条路径。"		
①汇编v33复核	30	29	2025·房山·一模·第19题		题源与同题组	低			未改			"来源行同题组仍为""本题组仅本分问""，未标注与2025·丰台·一模·第19题同源(同一近40人离职、12件实用新型专利、2倍惩罚性赔偿、6.4亿余元案例)。仍需：在同题组/备注标注两题同源。"		
①汇编v33复核	31	30	2025·朝阳·二模·第20题第1问		答案与评分逻辑	低			未改			细则踩分点仍为隐私权2+承担侵权责任1+确权1+隐私事实1+过错1+相邻关系1=7分，与设问标注的(8分)差1分。仍需：补足缺失的1分踩分点(如具体侵权责任承担方式或相邻关系处理原则细化)，使加总=8分。		
①汇编v33复核	32	31	2025·海淀·一模·第18题		错别字与表述	低			未改			"材料仍为""要求解封年卡，恢复相关权益，并要求主题乐园赔偿其禁卡期间的损失""，生造词""禁卡""仍在。仍需：将""禁卡期间""改为""封卡期间""或""年卡被停用期间""。"		
①汇编v33复核	33	32	2025·海淀·二模·第18题		答案与评分逻辑	低			未改			"设问及细则头(18题1.回避，1分…)仍未标本题总分；①—⑧各1分+⑨(4/3/2分)结构在，但缺总分(应为12分)标注。仍需：题头补""（12分）""并明确⑨满分4分、①—⑧各1分加总关系。"		
①汇编v33复核	34	33	2025·海淀·期中·第21题第1问		法律准确性	低			未改			"婚姻法(1950)第二十四条与民法典第一千零八十九条仍图文混排串栏(""共同共同生活时所得财产或共同生活时所得财产不足 财产不足清偿…由男方清偿 的，由双方协议清偿"")，版面字序错位未修。条文内容正确，惟排版不可读。仍需：将两法条分列、各自文字连贯。"		
①汇编v33复核	35	34	2025·海淀·期末·第20题		答案与评分逻辑	低			未改			"题头(本题为示例+①②两空)仍未标本题总分；①②各3分=6分在，但缺""（6分）""标注，""无过错出现一次即可满分""""无过错不重复扣分""等口语化口径仍未规范。仍需：题头补""（6分）""并规范口语化评分口径。"		
①汇编v33复核	36	35	2025·西城·一模·第20题		错别字与表述	低			未改			"细则仍为""保护苦脏险累且工资水平不高的劳动者""，""苦脏险累""口语化。仍需：改为""保护从事艰苦、繁重、危险岗位且工资水平不高的劳动者""。"		
①汇编v33复核	37	36	2025·西城·二模·第18题		法律准确性	低			未改			"细则正文仍多处用""民法典157条""简写，与落点""第一百五十七条""体例不一致。仍需：统一为""《民法典》第一百五十七条""。"		
①汇编v33复核	38	37	2025·西城·期末·第19题		法律准确性	低			未改			"细则仍为""构成混淆及虚假宣传""，""虚假宣传""为口语简称。仍需：写为""构成混淆行为和虚假或引人误解的商业宣传""。"		
①汇编v33复核	39	38	2025·门头沟·一模·第20题		答案与评分逻辑	低			未改			"裁判理由①""法律规定(诚实信用原则)1分""与②""孙某违反诚实信用原则1分""仍口径接近、未加防重复给分提示。仍需：注明""①侧重法律依据、②侧重行为定性，二者不重复给分""。"		
①汇编v33复核	40	39	2025·顺义·一模·第19题第2问		错别字与表述	低			未改			"细则个人价值仍为""维护(企业）公民的合法权益""，括注""企业""插入个人角度的串行未删。仍需：删去""(企业)""，改为""维护公民合法权益""。"		
