relative_path,text_path,snippet_no,start,end,snippet
其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修2 .docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3965bc306d35c89f_2024届各区一模试题分类汇编必修2.txt,1,1,41,"2024届各区一模试题分类   必修2 《经济与社会》

第一课   我国的生产资料所有制
1.（2024丰台一模12）围绕促进民营经济发展壮大,一系列重磅政策出台落地,破除壁垒、要素支持、保护权益，民营经济恢复向好发展因素持续累积,展现出强大的经济韧性和活力。关于发展民营经济,下列理解正确的是
①民营企业要制定正确的经营战略,持续提质增效,追求高质量发展
②政府深化要素市场化配置改革，有利于民营企业公平参与市场竞争
③民营企业加大科技研发投入，有利于增强其在国民经济中的控制力
④政府实施知识产权侵权惩罚性赔偿制度,提高企业专利成果转化能力
A.①②	B.①③	C. ②④	D.③④

第二课   我国的社会主义市场经济体制
1.（2024东城一模12） 民营经济是推进中国式现代化的生力军,是高质量发展的重要基础。近年来,我国持续优化民营经济发展环境，不断增强民营企业韧性，充分激发民营经济生机活力。若不考虑其他因素,下列推导正确的是
①加强公平执法→平等保护民营企业产权→稳定民营企业良好预期→激励民营企业家创业创新
②下调金融机构存款准备金率→加大信贷投放力度→降低民营企业融资成本→增加民营企业利润
③破除市场准入壁垒→拓宽民营企业投资渠道→降低民营企业投资风险→提高民营企业市场占有率
④实施组合式税费支持政策→加大增值税留抵退税→缓解民营企业资金压力→提振民营企业市场信心
A.①②	B.①④	C.②③	D.③④
2.（2024海淀12）为更好满足旅客群体多样化、个性化的需求，今年春运期间，高铁列车在增加“静音车厢”的基础上开设“遛娃舱”，供带娃家庭使用。家长可以陪伴孩子一起玩游戏，也可以委托乘务员进行代管。高铁“溜娃舱”的设置
①体现铁路企业主动作为，为不同需求的旅客带来良好出行体验
②有利于缓解春运高铁运力的供求矛盾，激发各类市场主体活力
③表明政府更精准地解决群众实际问题，着力实现社会公平正义
④将儿童友好的理念和行动落实落细，满足人民的美好生活需要
A.①②			B.①④			C.②③			D.③④
3.（2024门头沟一模4）C2M是英文Customer-to-Manufacturer的缩写，被称为“短路经济”。C2M模式，用户直连制造商， 消费者直接通过平台下单，工厂接收消费者的个性化需求订单，然后根据需求设计、采购、生产、发货。特点是按需求生产，用户先下"
其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修4.docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,1,264,289,"②融通了各种资源，旨在实现城市现代文明与悠久运河文化的碰撞
③有利于让文化发展成果更好地惠及人民，满足大众精神文化需求
④打造了全面展示中华传统文化、服务京津冀协同发展的文化阵地
A．①③              B．①④            C．②③          D．②④

9．（2024石景山一模）（6 分）
思想凝聚力量，旗帜昭示方向。习近平文化思想，植根广袤中国大地和悠久中华民 族历史，把马克思主义的思想精髓与中华优秀传统文化的精神特质融会贯通起来，对文 化建设各个领域提出了许多标志性引领性的新思想新观点新论断，具有强大的历史穿透 力、文化感染力、精神感召力，为建设中华民族现代文明举旗定向。
运用《哲学与文化》知识，说明习近平文化思想为什么能为建设中华民族现代文明 举旗定向。
（6分）可从文化的继承与发展，文化自信，认识的作用，联系，发展等角度回答。
等级水平
等  级  描  述
等级赋分
水平4
观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰
5-6分
水平3
观点比较明确，能表达自己的见解；能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理
3-4分
水平2
观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差
1-2分
水平1
应答与试题无关；或重复试题内容；或没有应答
0分

10.（2024门头沟一模）（8分）"
其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt,1,1,69,"2024届高三政治一模选必2《法律与生活》试题汇编
第一单元 民事权利与义务
1.（2024西城一模6）王某向赵某借了50万元，并将自己唯一的机动车交予赵某作为质押。王某又向钱某借了20万元，承诺半年后还款。结果，半年后王某并没有还款。钱某不满，在得知王某名下有机动车后，将王某诉至人民法院，要求将王某名下的机动车折价赔偿给他。以下认识正确的是
①本案涉及债权关系，客体是王某名下的机动车
②本案涉及担保物权，对应的是机动车的交换价值
③王某将机动车交予赵某，赵某则拥有了该机动车的所有权
④赵某实际占有王某作为担保物的机动车，享有质权，可依法优先受偿
A.①②			B.①③			C.②④			D.③④

2.（2024石景山一模10）13岁的小浩被网上的一款部落游戏吸引，并偷偷用母亲的支付宝向该款游戏充值虚拟游戏币“宝石”，金额高达4万余元。依据上述事实和相关法律，可以推断出
A.小浩是限制民事行为能力人，其交易行为可能无效
B.小浩实施的行为并非真实意思表示，其交易行为无效
C.小浩的行为与其年龄、智力不相适应，其交易行为无效
D.小浩尚不具备完全的民事权利能力，其交易行为可能无效

3.（2024门头沟一模12）李某使用AI（人工智能）通过输入提示词生成图片，并利用AI反复修改、调整后发布于社交媒体。刘某在其内容创作平台上发布的文章配图中使用了该图片。后李某以刘某侵犯其著作权为由提起诉讼。关于AI生成图片的著作权问题，下列说法正确的是
A.AI生成图片是人工智能能动地改造世界的成果，李某享有图片的著作权
B.刘某未经李某同意使用其用AI生成的图片，侵犯了李某的发表权和网络信息传播权
C.李某利用AI工具进行“文生图”后又反复修改调整是其创作的过程，享有图片著作权
D.利用AI进行创作的作品，如果不去知识产权局进行作品登记，著作权不受法律保护

4.（2024东城一模9 ）张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋归张某所有 。下列说法正确的是
A.张某应尽快办理房产登记 ，以免影响物权变动
B.该案所涉的他物权对应着物的使用价值
C.涉案房产与占地 ，二者法律关系的内容 一致
D.张某对于房屋的物权自 一 审判决宣告时生效


5.（2024房山一模12）小马和小刘是同班同学，即将年满十八周岁。课间休息时，他俩玩掰手腕游戏，结果造成小马"
其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt,2,74,268,"一审法院经审理，认为甲乙两公司就涉案碳排放配额采购事项成立合同关系，且该合同合法有效。判决甲公司向乙公司支付碳排放配额采购差价款289万余元及相应利息。一审后，甲公司不服判决，向北京三中院提起上诉。北京三中院经审理后作出终审判决：驳回上诉，维持原判。
运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角度阐述该司法判决的意义。
答案：甲公司参与比选并向乙公司进行报价，内容具体确定，属于要约。乙公司确认甲公司中标，向其送达了中标通知，属于承诺。中标通知书送达甲公司，故双方合同成立。（3分）
法院判决引导碳排放配额交易的民事主体遵循诚信原则、公平原则、绿色原则。有利于推动企业转型升级，兼顾经济效益和社会效益；有利于维护我国碳排放权交易市场的正常秩序，推动要素市场化改革，落实“碳达峰、碳中和”国家重大决策。（5分）


11.(2024海淀一模19）（8 分）首例涉“虚拟数字人”侵权案宣判。
甲公司系一家以计算机图形学和 AI 技术为核心的科技公司，Ada 系甲公司在发展其产品业务过程中打造的超写实虚拟数字人。甲公司自称于 2018 年 12 月创作完成了虚拟数字人 Ada 的正面形象，为进一步宣传和推广旗下虚拟数字人，又制作完成了虚拟数字人的两段相关视频，并于 2019 年 10 月、11 月通过某平台发布。其中一段用以介绍虚拟数字人 Ada 的场景应用，另一段记录真人演员与虚拟数字人 Ada 的动作捕捉画面，对虚拟数字人 Ada 进行商业化使用。
2022 年 7 月，乙公司通过某社交软件发布上述两段视频，视频的居中位置使用甲公司发布的相关视频内容，并在片头片尾替换有关标识，以及在整体视频上添加虚拟数字人课程的营销信息，其中一段视频还添加乙公司的注册商标，并将其他虚拟数字人名称作为标题一部分。甲公司向法院提起诉讼，法院判决乙公司消除影响并赔偿经济损失。
    运用《法律与生活》知识，谈谈对本案判决的认识。
答案：民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。

12.（2024丰台一模17）
甲某搭乙某"
2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fee5258a9b7359d5_2024海淀期中细则.txt,1,41,75,"（1）两个角度：供给和需求（共2分，各1分）
（2）说理论证：切合自己的选择，从供给和需求两个角度，结合所选倾向，
展开说理论证，且有学科专业术语（共2分，各1分）
（3）形式表现：给整体的表达或逻辑分（书写上，形式上标序号或者分段，
文字递进，没有就扣1分）
评分细则：

①需求侧：消费牵引供给
现磨咖啡最大程度保留了咖啡的香气和风味，能够更好地满足消费者对高品质咖
啡的消费需求。
替代：速溶咖啡存储和运输非常便利，相比现磨咖啡具备价格优势，能够更好地
满足消费者的日常需求，因此占比逐年上升。
②供给侧：供给创造需求
现磨咖啡店利用互联网技术、快速配送服务和大力度优惠促销活动，降低了消费
者购买现磨咖啡的时间成本和消费门槛，提高了现磨咖啡的竞争优势，有利于现
磨咖啡占领消费市场。
替代：速溶咖啡企业开发出“喷雾干燥咖啡”、低糖低脂等产品，通过技术改良，
更好地满足消费者的高品质需求和多元化偏好。
参考答案：

第一：学科知识掌握不准确（微观、宏观角度），不是“词语丛林”，要真正理解
比如：产业升级，产业结构调整； 数字经济；
 经济的高质量发展；新发展格局；扩大内需，促进就业；
 市场的盲目、自发、滞后性；非公经济，促进民营经济发展等
第二：逻辑表达，不是“堆砌”，要说理
纸笔考试、展示思维品质：针对新的情境【把握情境特殊性】，在学科任务【路径分
析；原因意义影响分析；应如何做】的指导下，调用结构化、综合性的学科核心知识，并用
学科专业术语 有逻辑的【角度；有秩序的思考；如何说理】表达输出【关注形式】
 本质：经济模块的思考方式，如何思考这样的经济现象
学生的问题+改进建议：

相关试题：【23年海淀期中】

相关试题：【22年海淀一模】"
2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fee5258a9b7359d5_2024海淀期中细则.txt,2,435,477,"人才、技术服务等协作方式（1分），实现乡村振兴/促进经济高质
量发展。（1分）

21(1)评分细则

一、试题分析
知识：法治相关知识
能力：辨析与评价
立意：本题以婚姻法、民法典中有关离婚后债务清偿责任的不同为情境，
通过观点辨析，考查学生调动和运用知识进行反思与评价的能力，引导学
生在理性思考的基础上形成正确的价值判断。

21（1）75 年，大国自信而坚定的脚步。
1950年5月1日,《中华人民共和国婚姻法》开始施行。这是新中国成立后颁布的第一部具有基本法律性质
的法律，彻底废除了封建主义家庭制度，确立了以婚姻自由、一夫一妻、保护妇女儿童权益为原则的社会主
义婚姻家庭制度。2021年1月1日,《中华人民共和国民法典》正式实施。民法典专门设置了“婚姻家庭编”，
包括婚姻法在内的多部法律同时废止。
    思政课上，大家围绕老师出示的两则法条展开了讨论。小海认为，1950年婚姻法中“由男方清偿”的规
定并不合理，民法典的规定才符合良法的要求。
(1)运用法治知识，对小海的观点进行评析。（6分）
中华人民共和国婚姻法(1950)
第二十四条 离婚时，原为夫妻共同生活所负担的
债务，以共同生活时所得财产偿还，如无共同生活
时所得财产或共同生活时所得财产不足清偿时，由
男方清偿男女一方单独所负的债务，由本人偿还。
中华人民共和国民法典
第一千零八十九条 离婚时，夫妻共同债务应当共
同偿还。共同财产不足清偿或者财产归各自所有的，
由双方协议清偿；协议不成的，由人民法院判决。
一、试题分析

观点
（1分）
分析（5分）
片面
错误
正确
（ 认同 /
同意）
角度 知识 材料分析
时代背景
从中国实际出发/科学立法符合国情和实际（2分）
变通："
2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fee5258a9b7359d5_2024海淀期中细则.txt,3,482,518,"（1分）
对比男女的经济地位
（1950）
（1分）
男女个体
合理设定权利与义务/法律面前人人平等/
公平 /尊重保障人权
（1分）
小海认为，1950年婚姻法中“由男方清偿”的规定并不合理，民法典的规定
才符合良法的要求。

小海认为，1950年婚姻法中“由男方清偿”的规定并不合理，民法典的规定
才符合良法的要求。
小海的观点片面。
• 新中国成立初期尚未完全建立夫妻共同财产制度，在家庭生活中男方经济地位
更强，根据权利与义务相对应原则，由男方清偿具有合理性，有利于保护当事
各方的利益。
• 随着时代的发展，夫妻双方的经济状况发生变化，具备了“共同偿还”“协议
清偿”的条件。良法应当符合国情和实际，符合社会发展的需求。
• 婚姻法与民法典的规定都符合良法的要求

观点
（1分）
分析（5分）
片面
错误
正确
（ 认同 /
同意）
角度 知识 材料分析
时代背景
从中国实际出发/科学立法符合国情和实际（2分）
变通：
科学立法/由社会实际情况决定/立足国情/符合实际
（1分）
分析1950年和2021年具
体社会情况"
2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0a50f76fd1e1c50f_202411朝阳高三政治_期中1试题_1.txt,1,184,223,"也,坐盗。” 王视晏子曰:“ 齐人固善盗乎?” 晏子避席对曰:“ 婴闻之,橘生淮南则为橘,生于
淮北则为枳,叶徒相似,其实味不同。 所以然者何? 水土异也。 今民生长于齐不盗,入楚
则盗,得无楚之水土使民善盗耶?” 王笑曰:“ 圣人非所与熙也,寡人反取病焉。”
阅读材料,运用《 逻辑与思维》 相关知识,分别评析楚王和晏子的推理。
19. (8 分)
首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经
济活动的总称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首
次设立研发中心,再到设立企业总部的链式发展全过程。
消费者需求不断升级,首发经济如何赋能经济增长? 朝外大街这条曾经辉煌的北京
第三商业街,经过城市更新改造再度“ 翻红” ,成为“95 后” 的潮流新地标。 某校高三同学
组成的学习小组考察了“ 首发经济” 的北京朝外样本。
前期
搜集
资料
*业态规划上,提前布局智能产品等新兴消费领域,打造特色主题首发街区。
*品牌引进中,主动邀请国际前沿品牌设首店,扶持本土创新品牌首发。
*服务配套时,建设智能商业设施,完善交通物流网络,保障首发经济。
现场
走访
调研
*有别于传统购物中心,商场主打“策展型零售”,空间布局与设计独具匠心,中
庭被打造成如“城市森林” 般的艺术主题场景,通过绿色植物、艺术雕塑和多媒
体展示,让消费者仿佛走进艺术展览,感受自然与艺术融合。
*商家表示,“ 首店” “ 首发” “ 首展” “ 首秀” 能够满足年轻人对新鲜事物的追
求和社交分享的需求,经过社交媒体的二次传播,又会吸引更多年轻人前来。
这就是“ 策展型零售” 的新思路:先做流量,再做生意。
后期
得出
结论
*商圈与首店品牌在双向选择过程中,应充分考虑商圈定位、客群消费水平、
品牌能否融入该商圈“ 生态” 等因素,让二者实现价值耦合。
　 　 结合材料,分析“ 首发经济” 的北京朝外样本的打造是如何体现创新思维的。

高三思想政治试卷　 第 7　　　　 页( 共 8 页)
20. (23 分)
数字经济是以数据资源为关键要素,以现代信息网络为主要载体,以信息通信技术融合应
用、全要素数字化转型为重要推动力,促进公平与效率更加统一的新经济形态。
材料一　 党的十八大以来,我国数字经济进入加速发展周期。
50% 25%
20%"
2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0a50f76fd1e1c50f_202411朝阳高三政治_期中1试题.txt,1,184,223,"也,坐盗。” 王视晏子曰:“ 齐人固善盗乎?” 晏子避席对曰:“ 婴闻之,橘生淮南则为橘,生于
淮北则为枳,叶徒相似,其实味不同。 所以然者何? 水土异也。 今民生长于齐不盗,入楚
则盗,得无楚之水土使民善盗耶?” 王笑曰:“ 圣人非所与熙也,寡人反取病焉。”
阅读材料,运用《 逻辑与思维》 相关知识,分别评析楚王和晏子的推理。
19. (8 分)
首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经
济活动的总称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首
次设立研发中心,再到设立企业总部的链式发展全过程。
消费者需求不断升级,首发经济如何赋能经济增长? 朝外大街这条曾经辉煌的北京
第三商业街,经过城市更新改造再度“ 翻红” ,成为“95 后” 的潮流新地标。 某校高三同学
组成的学习小组考察了“ 首发经济” 的北京朝外样本。
前期
搜集
资料
*业态规划上,提前布局智能产品等新兴消费领域,打造特色主题首发街区。
*品牌引进中,主动邀请国际前沿品牌设首店,扶持本土创新品牌首发。
*服务配套时,建设智能商业设施,完善交通物流网络,保障首发经济。
现场
走访
调研
*有别于传统购物中心,商场主打“策展型零售”,空间布局与设计独具匠心,中
庭被打造成如“城市森林” 般的艺术主题场景,通过绿色植物、艺术雕塑和多媒
体展示,让消费者仿佛走进艺术展览,感受自然与艺术融合。
*商家表示,“ 首店” “ 首发” “ 首展” “ 首秀” 能够满足年轻人对新鲜事物的追
求和社交分享的需求,经过社交媒体的二次传播,又会吸引更多年轻人前来。
这就是“ 策展型零售” 的新思路:先做流量,再做生意。
后期
得出
结论
*商圈与首店品牌在双向选择过程中,应充分考虑商圈定位、客群消费水平、
品牌能否融入该商圈“ 生态” 等因素,让二者实现价值耦合。
　 　 结合材料,分析“ 首发经济” 的北京朝外样本的打造是如何体现创新思维的。

高三思想政治试卷　 第 7　　　　 页( 共 8 页)
20. (23 分)
数字经济是以数据资源为关键要素,以现代信息网络为主要载体,以信息通信技术融合应
用、全要素数字化转型为重要推动力,促进公平与效率更加统一的新经济形态。
材料一　 党的十八大以来,我国数字经济进入加速发展周期。
50% 25%
20%"
2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\33010f3bed39e275_20240318顺义思政二模试题_定.txt,1,33,118,"B.对塑造城市形象的价值在于其作为客体所具有的属性对主体的积极意义
C.创作者从不同的角度、不同的方向进行散点式叙事是聚合思维的体现
D.内容源于创作者对生活的感悟和体验并决定着城市形象的维度和容量
在生活和工作中，有些听起来似乎有道理，但仔细想起来，又疑窦丛生，这就需要学习形式逻辑，提升逻辑思维能力。下列观点和逻辑分析正确的是
 
观点
逻辑分析
A
法定继承第一顺位继承人中的子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。
对概念外延的划分犯了“多出子项”的逻辑错误
B
若a=b，则ac=bc
该判断中，a=b是ac=bc的充分必要条件
C
刑法第二十条规定：“为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。”
该判断属于复合判断
D
“服务员同志，请当心，你的手指浸到我的汤里去了。”
“没有关系，汤不烫，我不痛。”
该回答违反了排中律
7.随着科技进步和数字化转型的加速，数字经济成为了我国经济发展的重要动力。数字劳动是数字经济发展的重要因素，是依托于互联网、大数据、云计算、人工智能等新型技术载体，以智力、创造力为主导，创造数字化产品的非物质劳动。只有不断加深对于数字劳动的认识，把握数字劳动的基本特征，并以此为基础构建起相关法律法规，才能确保数字劳动受到监管和保护，保证我国数字经济稳定和快速发展。如果上述结论皆为真，下列逻辑分析正确的是
A.“数字劳动是数字经济发展的重要因素”是运用“种差加属概念”的方法下的定义
B.数字劳动和非物质劳动是交叉关系
C.构建起相关法律法规是保证我国数字经济稳定和快速发展的必要条件
D.材料中假言判断的真假取决于前后件本身的真假
8. 公益诉讼助力文物保护，百年米仓重焕生机。
基本案情
调查和督促履职
“禄米仓”为北京市级文物保护单位，是研究古代仓储制度和仓房建筑的宝贵实物资料。因年久失修，文物外观严重破损，存在危害文物安全和损坏文物历史风貌的问题，损害国家利益和社会公共利益。
北京市东城区人民检察院接到北京市人民检察院交办的军队营区不可移动文物保护公益诉讼案件线索，与中国人民解放军北京军事检察院联合开展调查工作。经北京市人民检察院同意，以行政公益诉讼立案调查，向相关行政部门发出诉前检察建议后，相关部门落实一"
