score,relative_path,status,chars,text_path,source_path,hits
221,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,text-extracted,12578,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,诉讼:32?专利:23?合同:22?民法:19?侵权:15?赡养:13?调解:12?消费者:9?劳动合同:9?著作权:8
153,2026各区期末和期中\2026东城期末\细则\2026东城期末细则.pptx,text-extracted,17693,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e4d67789c91d1b92_2026东城期末细则.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\细则\2026东城期末细则.pptx,法治:32?侵权:28?合同:23?违约:16?专利:8?诉讼:7?调解:7?消费者:5?无过错:5?民法:4
125,2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx,text-extracted,12421,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b22b6c78aaddb3e_2025海淀期末细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx,消费者:20?商标:15?不正当竞争:15?侵权:12?无过错:11?专利:9?劳动者:8?知识产权:8?著作权:7?惩罚性赔偿:4
92,2025各区期末\2025海淀期末\试卷\2025北京海淀高三（上）期末政治（教师版）.docx,text-extracted,10021,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\试卷\2025北京海淀高三（上）期末政治（教师版）.docx,民法:16?劳动者:14?侵权:10?民法典:9?合同:9?消费者:5?诉讼:4?无过错:4?违约:3?劳动合同:3
84,2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf,text-extracted,21307,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8eda36bd87dba194_2025北京东城高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf,合同:15?法治:11?侵权:10?民法:9?知识产权:9?无过错:7?民法典:5?诉讼:5?不正当竞争:3?法律与生活:2
74,2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf,text-extracted,18486,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9dd43cae443f853c_2025北京顺义高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf,法治:21?侵权:7?合同:7?民法:6?民法典:6?仲裁:4?诉讼:4?调解:4?继承:4?法律与生活:3
72,2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf,text-extracted,17199,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf,法治:19?合同:11?劳动者:8?劳动合同:8?诉讼:8?肖像权:5?侵权:4?法律与生活:3?违约:3?仲裁:1
70,2026各区一模\2026朝阳一模\试卷\2026北京朝阳高三一模政治（教师版）.pdf,text-extracted,13902,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\585b15124610aff7_2026北京朝阳高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\试卷\2026北京朝阳高三一模政治（教师版）.pdf,法治:16?民法:15?诉讼:13?侵权:9?调解:6?知识产权:4?专利:3?惩罚性赔偿:3?法律与生活:1
67,2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,text-extracted,12457,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\935b8ea1e01b3ba5_2024年石景山一模.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,法治:30?违约:14?侵权:12?调解:4?民法:2?合同:2?诉讼:2?司法确认:1
57,2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf,text-extracted,15900,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf,法治:21?调解:7?知识产权:6?侵权:5?诉讼:4?著作权:3?惩罚性赔偿:3?违约:2?不正当竞争:2?消费者:1
54,2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,text-extracted,12633,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\ba64c66630749a52_高三政治一模试卷讲评.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,诉讼:11?合同:9?消费者:8?法治:6?侵权:5?违约:4?不正当竞争:3?民法:2?著作权:2?法律与生活:1
53,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,text-extracted,9254,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,继承:17?法治:7?消费者:6?民法:4?赡养:4?劳动者:3?著作权:3?调解:3?合同:2?诉讼:2
53,2025各区二模\2025昌平二模\试卷\2025北京昌平高三二模政治（教师版）.pdf,text-extracted,9421,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\6e5080fb116ab8fc_2025北京昌平高三二模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\试卷\2025北京昌平高三二模政治（教师版）.pdf,仲裁:11?合同:10?著作权:5?诉讼:5?法治:5?劳动合同:4?侵权:3?违约:3?民法:2?知识产权:2
47,2026各区一模\2026石景山一模\试卷\2026北京石景山高三一模政治（教师版）.pdf,text-extracted,9841,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0d4a5cd29c2e6961_2026北京石景山高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\试卷\2026北京石景山高三一模政治（教师版）.pdf,举证责任:12?诉讼:9?法治:7?继承:5?消费者:3?侵权:2?合同:2?著作权:2?无过错:2?民法:1
46,2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,text-extracted,9185,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\f581620be44a4c2c_2024北京石景山高三一模政治_教师版带答案.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,法治:12?合同:9?调解:6?诉讼:5?违约:4?民法:3?惩罚性赔偿:3?消费者:1?司法确认:1?继承:1
46,2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf,text-extracted,10024,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf,著作权:9?个人信息:8?诉讼:6?侵权:5?合同:4?劳动合同:4?劳动者:3?法治:3?调解:2?仲裁:1
46,2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,text-extracted,9370,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,法治:17?合同:8?著作权:4?消费者:3?法律与生活:2?民法:2?违约:2?民法典:1?侵权:1?劳动者:1
43,2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx,text-extracted,7323,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0dbd7271f7bf108d_高三模拟测试思想政治试卷.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx,食品安全:10?民法:8?诉讼:5?消费者:4?夫妻:4?调解:3?继承:3?惩罚性赔偿:3?法律与生活:1?劳动者:1
43,2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,text-extracted,4549,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3a11db4bade216d1_chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则_1.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,法治:18?诉讼:5?民法:4?侵权:4?知识产权:4?调解:3?惩罚性赔偿:2?法律与生活:1?民法典:1?专利:1
43,2026各区一模\2026朝阳一模\细则\2026朝阳一模细则.docx,text-extracted,4549,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3a11db4bade216d1_2026朝阳一模细则.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\细则\2026朝阳一模细则.docx,法治:18?诉讼:5?民法:4?侵权:4?知识产权:4?调解:3?惩罚性赔偿:2?法律与生活:1?民法典:1?专利:1
40,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,text-extracted,10935,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_202404朝阳高三政治一模试卷讲评.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,法治:10?消费者:7?民法:4?专利:4?民法典:3?侵权:3?违约:3?合同:2?知识产权:2?著作权:1
40,2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,text-extracted,10935,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,法治:10?消费者:7?民法:4?专利:4?民法典:3?侵权:3?违约:3?合同:2?知识产权:2?著作权:1
40,2026各区期末和期中\2026东城期末\试卷\2026北京东城高三（上）期末政治（教师版）.pdf,text-extracted,7681,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\15664381470d8300_2026北京东城高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\试卷\2026北京东城高三（上）期末政治（教师版）.pdf,法治:18?合同:6?民法:3?劳动合同:3?侵权:2?违约:2?法律与生活:1?民法典:1?消费者:1?劳动者:1
39,2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf,text-extracted,8547,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e8823e6dc1a71cac_2025北京丰台高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf,法治:9?民法:5?劳动者:5?合同:4?知识产权:4?诉讼:4?侵权:3?违约:1?专利:1?不正当竞争:1
39,2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx,text-extracted,4809,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89313bd871502cf4_2026门头沟一模细则.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx,诉讼:14?调解:12?法治:6?民法:4?法律与生活:2?司法确认:1
38,2025各区期末\2025朝阳期末\其他材料\朝阳高三期末2025.pptx,text-extracted,12757,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\195324f05d7e2fea_朝阳高三期末2025.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\其他材料\朝阳高三期末2025.pptx,民法:5?侵权:5?消费者:5?不正当竞争:4?违约:3?诉讼:3?法治:3?继承:2?民法典:1?合同:1
37,2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,text-extracted,5623,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c254bbee61da4abd_2025东城一模细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,法治:13?劳动者:9?诉讼:7?调解:3?继承:2?民法:1?民法典:1?仲裁:1
37,2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx,text-extracted,8011,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\73c36c3077dced72_2025朝阳二模细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx,法治:15?劳动者:7?侵权:4?民法:3?民法典:3?相邻关系:3?法律与生活:1?调解:1
37,2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf,text-extracted,11705,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\086cafc0d843cdfd_2025届二模考试讲评0510.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf,法治:14?商标:7?侵权:4?民法:3?诉讼:3?劳动者:2?继承:2?知识产权:1?调解:1
36,2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf,text-extracted,10216,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fb8717be46dabe77_2025北京石景山高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf,合同:9?违约:6?法治:6?劳动合同:4?不正当竞争:3?民法:2?侵权:2?消费者:2?民法典:1?诉讼:1
