ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",意义,法律与生活(默认),yes,yes,uncertain,no,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
A_CC0026_2024_朝阳_二模_18_01,CC0026_2024_朝阳_二模_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3
A_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
A_CC0047_2024_海淀_二模_21_01,CC0047_2024_海淀_二模_21,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,综合,不确定,yes,yes,uncertain,yes,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,F0051:text | F0052:text | F0053:text | F0054:page 8 | F0272:text | F0273:text | F0274:text | F0275:page 8
A_CC0061_2024_西城_一模_18_01,CC0061_2024_西城_一模_18,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,综合,法律与生活(默认),uncertain,uncertain,yes,no,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text
A_CC0063_2024_西城_二模_16_01,CC0063_2024_西城_二模_16,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text
A_CC0070_2024_顺义_二模_19_01,CC0070_2024_顺义_二模_19,结合材料，综合运用所学，谈谈对实现中华民族伟大复兴需要“不断谱写马克思主义中国化时代化新篇章”的认识。,综合,法律与生活(默认),yes,uncertain,yes,no,结合材料，综合运用所学，谈谈对实现中华民族伟大复兴需要“不断谱写马克思主义中国化时代化新篇章”的认识。,F0068:text | F0069:text | F0289:text | F0290:text
A_CC0077_2025_东城_一模_19_01,CC0077_2025_东城_一模_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
A_CC0084_2025_东城_二模_19_01,CC0084_2025_东城_二模_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
A_CC0103_2025_丰台_一模_19_01,CC0103_2025_丰台_一模_19,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,意义,法律与生活(默认),yes,yes,uncertain,no,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
A_CC0131_2025_房山_一模_19_01,CC0131_2025_房山_一模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
A_CC0132_2025_房山_一模_20_01,CC0132_2025_房山_一模_20,结合材料，综合运用所学，谈谈你对“奋斗”的理解。,综合,法律与生活(默认),yes,yes,uncertain,no,结合材料，综合运用所学，谈谈你对“奋斗”的理解。,F0080:page 4 | F0081:page 15 | F0081:page 6 | F0298:page 4
A_CC0137_2025_昌平_二模_20_01,CC0137_2025_昌平_二模_20,运用《法律与生活》知识，完成裁判理由。,原因,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，完成裁判理由。,F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
A_CC0143_2025_朝阳_一模_19_01,CC0143_2025_朝阳_一模_19,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,原因,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
A_CC0150_2025_朝阳_二模_20_01,CC0150_2025_朝阳_二模_20,"结合材料,运用《法律与生活》知识,分析上述案例。",说明,法律与生活,yes,uncertain,uncertain,no,"结合材料,运用《法律与生活》知识,分析上述案例。",F0117:text | F0119:page 6 | F0119:page 9
A_CC0182_2025_海淀_期末_22_01,CC0182_2025_海淀_期末_22,运用所学知识展开论述；逻辑严密，条理清晰。,综合,法律与生活(默认),uncertain,yes,uncertain,no,运用所学知识展开论述；逻辑严密，条理清晰。,F0138:slide 60 | F0138:slide 61 | F0139:text
A_CC0189_2025_石景山_一模_20_01,CC0189_2025_石景山_一模_20,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
A_CC0195_2025_西城_一模_20_01,CC0195_2025_西城_一模_20,,不确定,不确定,uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text
A_CC0200_2025_西城_二模_18_01,CC0200_2025_西城_二模_18,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,说明,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
A_CC0206_2025_西城_期末_19_01,CC0206_2025_西城_期末_19,运用法律知识分析法院的判决。,说明,法律与生活(默认),uncertain,uncertain,uncertain,no,运用法律知识分析法院的判决。,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
A_CC0218_2025_顺义_一模_16_01,CC0218_2025_顺义_一模_16,运用联系是普遍的，要求我们用联系的观点看问题的知识来分析说明措施。,建议,法律与生活(默认),uncertain,yes,uncertain,yes,运用联系是普遍的，要求我们用联系的观点看问题的知识来分析说明措施。,F0097:text | F0098:page 13 | F0098:page 5 | F0315:text
A_CC0229_2026_东城_一模_18_01,CC0229_2026_东城_一模_18,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,综合,法律与生活,yes,uncertain,uncertain,yes,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,F0153:page 7 | F0155:page 6 | F0155:page 9 | F0356:page 7
A_CC0240_2026_东城_二模_21_01,CC0240_2026_东城_二模_21,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0185:page 2 | F0186:text
A_CC0244_2026_东城_期中_18_01,CC0244_2026_东城_期中_18,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,说明,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
A_CC0276_2026_房山_二模_17_01,CC0276_2026_房山_二模_17,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_CC0277_2026_房山_二模_18_01,CC0277_2026_房山_二模_18,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_CC0283_2026_朝阳_一模_18_01,CC0283_2026_朝阳_一模_18,"运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对
创新的干扰。",说明,法律与生活(默认),uncertain,yes,uncertain,no,"运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对
创新的干扰。",F0162:text | F0163:page 11 | F0163:page 6 | F0373:text
A_CC0289_2026_朝阳_二模_18_01,CC0289_2026_朝阳_二模_18,结合材料，《法律与生活》，补充完整。,综合,法律与生活(默认),yes,yes,uncertain,no,结合材料，《法律与生活》，补充完整。,F0193:text | F0194:text
A_CC0294_2026_朝阳_二模_20_2_01,CC0294_2026_朝阳_二模_20_2,"结合材料说和基层治理的关系 | 没提党，只抄材料
2 | 立法完善 | 写出“科学立法/民主立法/完善法律法规（制度）”中任意1个，且和“修订实施办法、健全配套政策、保障有法可依”对应 | 写了“完善制度”，但没提和“两法”或立法的关系 | 只抄了“广泛征求意见”，没提炼考点
3 | 法治宣传 | 写出“法治宣传/提升法治素养（观念、意识）/尊法学法守法用法”中任意1个，且和“培训、宣讲、进基层”对应 | 写了“法治宣传”，但没提和“两法进基层”的关系 | 没提法治宣传的意思，只抄材料
4 | 人民民主 | 写出“全过程人民民主/人民主体地位/群众有序参与基层治理/民主协商/民主管理/共建共治共享”中任意1个，且和“搭建平台、资源下沉、治理效能”对应 | 写到了“人民民主”，但没提如何提升治理效能 | 没提人民，只抄材料。",综合,法律与生活(默认),yes,yes,uncertain,yes,"结合材料说和基层治理的关系 | 没提党，只抄材料
2 | 立法完善 | 写出“科学立法/民主立法/完善法律法规（制度）”中任意1个，且和“修订实施办法、健全配套政策、保障有法可依”对应 | 写了“完善制度”，但没提和“两法”或立法的关系 | 只抄了“广泛征求意见”，没提炼考点
3 | 法治宣传 | 写出“法治宣传/提升法治素养（观念、意识）/尊法学法守法用法”中任意1个，且和“培训、宣讲、进基层”对应 | 写了“法治宣传”，但没提和“两法进基层”的关系 | 没提法治宣传的意思，只抄材料
4 | 人民民主 | 写出“全过程人民民主/人民主体地位/群众有序参与基层治理/民主协商/民主管理/共建共治共享”中任意1个，且和“搭建平台、资源下沉、治理效能”对应 | 写到了“人民民主”，但没提如何提升治理效能 | 没提人民，只抄材料。",F0193:text | F0194:text
A_CC0317_2026_海淀_期中_18_01,CC0317_2026_海淀_期中_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
A_CC0319_2026_海淀_期中_19_01,CC0319_2026_海淀_期中_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
A_CC0325_2026_石景山_一模_18_01,CC0325_2026_石景山_一模_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
A_CC0332_2026_石景山_二模_19_01,CC0332_2026_石景山_二模_19,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,综合,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,F0198:text | F0199:text
A_CC0340_2026_西城_一模_17_01,CC0340_2026_西城_一模_17,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,说明,法律与生活(默认),yes,yes,uncertain,yes,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,F0169:text | F0171:text | F0379:text | F0380:text
A_CC0363_2026_通州_期中_19_01,CC0363_2026_通州_期中_19,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,原因,法律与生活(默认),uncertain,uncertain,yes,no,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,F0223:slide 10 | F0224:page 6 | F0224:page 9 | F0403:slide 10
