material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,"17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。","17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。",,,,yes,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_02,CC0025_2024_朝阳_二模_17,【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【资料包】 中华人民共和国劳动和社会保障部 发布的《关于确立劳动关系有关事项的 通知》指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。,【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【资料包】 中华人民共和国劳动和社会保障部 发布的《关于确立劳动关系有关事项的 通知》指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。,,,,,用人单位,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_03,CC0025_2024_朝阳_二模_17,"认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;","认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_04,CC0025_2024_朝阳_二模_17,劳动者是否须按照平台指令完成工作任 务等。,劳动者是否须按照平台指令完成工作任 务等。,,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_05,CC0025_2024_朝阳_二模_17,"经济从属性:体现为平台企业是否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。","经济从属性:体现为平台企业是否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_06,CC0025_2024_朝阳_二模_17,"组织从属性:体现在劳动者是否被 纳入平台企业的组织体系当中,并以平 台名义对外提供服务等。","组织从属性:体现在劳动者是否被 纳入平台企业的组织体系当中,并以平 台名义对外提供服务等。",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_07,CC0025_2024_朝阳_二模_17,"王某于2022 年6 月14 日与甲公司 订立为期1 年的《车辆管理协议》约定: 王某与甲公司建立合作关系,王某自备 面包车1 辆,通过公司平台接受派单提 供货物运输服务。","王某于2022 年6 月14 日与甲公司 订立为期1 年的《车辆管理协议》约定: 王某与甲公司建立合作关系,王某自备 面包车1 辆,通过公司平台接受派单提 供货物运输服务。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_08,CC0025_2024_朝阳_二模_17,"甲公司与客户结算 运输费,每月向王某支付包月服务费 6000 元及奖励金。","甲公司与客户结算 运输费,每月向王某支付包月服务费 6000 元及奖励金。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_09,CC0025_2024_朝阳_二模_17,"王某每日在公司平台签到并接受 派单,跑单时长均在8 小时以上;","王某每日在公司平台签到并接受 派单,跑单时长均在8 小时以上;",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_10,CC0025_2024_朝阳_二模_17,甲公 司通过平台对王某的订单完成情况进 行全程跟踪;,甲公 司通过平台对王某的订单完成情况进 行全程跟踪;,,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
