rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_Q0001_2024_东城_一模_16_01,Q0001_2024_东城_一模_16,①教育、人才优势提高劳动者素质，为新质生产力提供创新型人才（人才支撑）；,evaluation_standard,formal,①教育、人才优势提高劳动者素质，为新质生产力提供创新型人才（人才支撑）；,M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,①教育、人才优势提高劳动者素质，为新质生产力提供创新型人才（人才支撑）；,判断法律关系/行为性质/责任或程序路径，需回源细化,劳动者,,knowledge+material,no,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_02,Q0001_2024_东城_一模_16,④科技体制改革推动形成与新质生产力相适应的生产关系，以体制机制创新带动科技创新。（6分） [slide 42] [slide 43] 【经典试题回顾】 （23年北京卷）【读数看优势】经过改革开放40多年的发展，我国已拥有14亿多人口，4亿多中等收入群体，全国居民年人均可支配收入近3.7万元。我国有近9亿劳动力，接受高等教育的人口已超过2.4亿，每年新增劳动力超过1500万，新增劳动力平均受教育年限达到14年。,evaluation_standard,formal,④科技体制改革推动形成与新质生产力相适应的生产关系，以体制机制创新带动科技创新。（6分） [slide 42] [slide 43] 【经典试题回顾】 （23年北京卷）【读数看优势】经过改革开放40多年的发展，我国已拥有14亿多人口，4亿多中等收入群体，全国居民年人均可支配收入近3.7万元。我国有近9亿劳动力，接受高等教育的人口已超过2.4亿，每年新增劳动力超过1500万，新增劳动力平均受教育年限达到14年。,M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,④科技体制改革推动形成与新质生产力相适应的生产关系，以体制机制创新带动科技创新。（6分） [slide 42] [slide 43] 【经典试题回顾】 （23年北京卷）【读数看优势】经过改革开放40多年的发展，我国已拥有14亿多人口，4亿多中等收入群体，全国居民年人均可支配收入近3.7万元。我国有近9亿劳动力，接受高等教育的人口已超过2.4亿，每年新增劳动力超过1500万，新增劳动力平均受教育年限达到14年。,判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_03,Q0001_2024_东城_一模_16,1、逻辑思维原理+经济语言分析，学生片面运用逻辑或经济回答。分析不到位，不是围绕二者关系谈。,evaluation_standard,formal,1、逻辑思维原理+经济语言分析，学生片面运用逻辑或经济回答。分析不到位，不是围绕二者关系谈。,M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,1、逻辑思维原理+经济语言分析，学生片面运用逻辑或经济回答。分析不到位，不是围绕二者关系谈。,判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_04,Q0001_2024_东城_一模_16,(1)①任何事物都要经历肯定、否定，再到否定之否定的辩证发展过程(或“辩证否定是联系和发展的环节”或“看待事物不能简单的肯定或否定一切”)。(1分)全面布局末来产业需要贯彻创新发展理念，要破除一些旧的生产方式、旧模式等，(1分)但不是完全抛弃，(1分)而是坚持辩证否定，用扬弃的方式实现传统生产方式、旧式的优化改造。(1分),evaluation_standard,formal,(1)①任何事物都要经历肯定、否定，再到否定之否定的辩证发展过程(或“辩证否定是联系和发展的环节”或“看待事物不能简单的肯定或否定一切”)。(1分)全面布局末来产业需要贯彻创新发展理念，要破除一些旧的生产方式、旧模式等，(1分)但不是完全抛弃，(1分)而是坚持辩证否定，用扬弃的方式实现传统生产方式、旧式的优化改造。(1分),M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,(1)①任何事物都要经历肯定、否定，再到否定之否定的辩证发展过程(或“辩证否定是联系和发展的环节”或“看待事物不能简单的肯定或否定一切”)。(1分)全面布局末来产业需要贯彻创新发展理念，要破除一些旧的生产方式、旧模式等，(1分)但不是完全抛弃，(1分)而是坚持辩证否定，用扬弃的方式实现传统生产方式、旧式的优化改造。(1分),判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_05,Q0001_2024_东城_一模_16,②坚持用发展的观点看问题，应热情支持和悉心保护新事物。(1分)全面布局未来产业要积极探索和支持新赛道、新技术、新生产方式，新模式等，(1分)要符合人民群众的根本利益和要求(或“以市场为导向”)，(1分)推进供给侧结构性改革和扩大内需相结合，发展未来产业。(1分),evaluation_standard,formal,②坚持用发展的观点看问题，应热情支持和悉心保护新事物。(1分)全面布局未来产业要积极探索和支持新赛道、新技术、新生产方式，新模式等，(1分)要符合人民群众的根本利益和要求(或“以市场为导向”)，(1分)推进供给侧结构性改革和扩大内需相结合，发展未来产业。(1分),M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,②坚持用发展的观点看问题，应热情支持和悉心保护新事物。(1分)全面布局未来产业要积极探索和支持新赛道、新技术、新生产方式，新模式等，(1分)要符合人民群众的根本利益和要求(或“以市场为导向”)，(1分)推进供给侧结构性改革和扩大内需相结合，发展未来产业。(1分),判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_06,Q0001_2024_东城_一模_16,③系统的基本特征是整体性、有序性和内部结构优化趋向(或“掌握系统优化的方法”)。(1分)全面布局未来产业需要加强人工智能对包括制造业在内的等各种产业进行融合，(1分)能够提高全要素生产率(或“打造产业链价值链创新链”)，建设创新引领、协同发展的未来产业体系(或“推进新质生产力发展”)。(2分) [slide 55] 【经典试题回顾】 [slide 56],evaluation_standard,formal,③系统的基本特征是整体性、有序性和内部结构优化趋向(或“掌握系统优化的方法”)。(1分)全面布局未来产业需要加强人工智能对包括制造业在内的等各种产业进行融合，(1分)能够提高全要素生产率(或“打造产业链价值链创新链”)，建设创新引领、协同发展的未来产业体系(或“推进新质生产力发展”)。(2分) [slide 55] 【经典试题回顾】 [slide 56],M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,③系统的基本特征是整体性、有序性和内部结构优化趋向(或“掌握系统优化的方法”)。(1分)全面布局未来产业需要加强人工智能对包括制造业在内的等各种产业进行融合，(1分)能够提高全要素生产率(或“打造产业链价值链创新链”)，建设创新引领、协同发展的未来产业体系(或“推进新质生产力发展”)。(2分) [slide 55] 【经典试题回顾】 [slide 56],判断法律关系/行为性质/责任或程序路径，需回源细化,,,value,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_07,Q0001_2024_东城_一模_16,(2)①运用类比推理的方法，模仿北极能毛的“核一壳”结构和功能，制作超保暖轻薄的“北极熊毛衣”。(2分),evaluation_standard,formal,(2)①运用类比推理的方法，模仿北极能毛的“核一壳”结构和功能，制作超保暖轻薄的“北极熊毛衣”。(2分),M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,(2)①运用类比推理的方法，模仿北极能毛的“核一壳”结构和功能，制作超保暖轻薄的“北极熊毛衣”。(2分),判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_08,Q0001_2024_东城_一模_16,②运用不完全归纳推理的求异法，在其他条件相同的情况下，分别试穿几种衣物得出“北极熊毛衣”会使人体热量流失越少。(2分),evaluation_standard,formal,②运用不完全归纳推理的求异法，在其他条件相同的情况下，分别试穿几种衣物得出“北极熊毛衣”会使人体热量流失越少。(2分),M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,②运用不完全归纳推理的求异法，在其他条件相同的情况下，分别试穿几种衣物得出“北极熊毛衣”会使人体热量流失越少。(2分),判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_09,Q0001_2024_东城_一模_16,4.逐步放宽市场准入，依托我国超大市场优势，以国内大循环吸引全球资源要素（优化营商环境，吸引外资），增强国内国际两个市场两种资源联动效应（资优配），提升贸易投资合作质量和水平，推动高质量发展。 4点选3点，3+3+2=8 起点措施+路径+效果终点——各1分 如路径和效果均表述不准确，则起点措施不给分。 [slide 65] [slide 66] 【经典试题回顾】 （2014年新课标全国卷Ⅰ•38）2014年2月，国务院批准了《注册资本登记制度改革方案》，该方案明确了放宽市场准入规则的总体思路，并提出了一系列措施：放松市场主体准入管制，降低准入门槛；实行注册资本认证登记制；改革年检制度和简化住所（经营场所）登记手续等。 政府放宽市场准入规则会增加市场活力，最终使消费者受益。结合材料和所学经济知识，分析放宽市场准入规则是如何通过市场机制的作用使消费者受益的。 [slide 67],evaluation_standard,formal,4.逐步放宽市场准入，依托我国超大市场优势，以国内大循环吸引全球资源要素（优化营商环境，吸引外资），增强国内国际两个市场两种资源联动效应（资优配），提升贸易投资合作质量和水平，推动高质量发展。 4点选3点，3+3+2=8 起点措施+路径+效果终点——各1分 如路径和效果均表述不准确，则起点措施不给分。 [slide 65] [slide 66] 【经典试题回顾】 （2014年新课标全国卷Ⅰ•38）2014年2月，国务院批准了《注册资本登记制度改革方案》，该方案明确了放宽市场准入规则的总体思路，并提出了一系列措施：放松市场主体准入管制，降低准入门槛；实行注册资本认证登记制；改革年检制度和简化住所（经营场所）登记手续等。 政府放宽市场准入规则会增加市场活力，最终使消费者受益。结合材料和所学经济知识，分析放宽市场准入规则是如何通过市场机制的作用使消费者受益的。 [slide 67],M_Q0001_2024_东城_一模_16_17|M_Q0001_2024_东城_一模_16_21,4.逐步放宽市场准入，依托我国超大市场优势，以国内大循环吸引全球资源要素（优化营商环境，吸引外资），增强国内国际两个市场两种资源联动效应（资优配），提升贸易投资合作质量和水平，推动高质量发展。 4点选3点，3+3+2=8 起点措施+路径+效果终点——各1分 如路径和效果均表述不准确，则起点措施不给分。 [slide 65] [slide 66] 【经典试题回顾】 （2014年新课标全国卷Ⅰ•38）2014年2月，国务院批准了《注册资本登记制度改革方案》，该方案明确了放宽市场准入规则的总体思路，并提出了一系列措施：放松市场主体准入管制，降低准入门槛；实行注册资本认证登记制；改革年检制度和简化住所（经营场所）登记手续等。 政府放宽市场准入规则会增加市场活力，最终使消费者受益。结合材料和所学经济知识，分析放宽市场准入规则是如何通过市场机制的作用使消费者受益的。 [slide 67],判断法律关系/行为性质/责任或程序路径，需回源细化,消费者,,knowledge+material,no,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_10,Q0001_2024_东城_一模_16,②供给增加意味着商品各类的丰富和数量的增加，有利于满足消费者的多样化需求；,evaluation_standard,formal,②供给增加意味着商品各类的丰富和数量的增加，有利于满足消费者的多样化需求；,M_Q0001_2024_东城_一模_16_17|M_Q0001_2024_东城_一模_16_21,②供给增加意味着商品各类的丰富和数量的增加，有利于满足消费者的多样化需求；,判断法律关系/行为性质/责任或程序路径，需回源细化,消费者,,knowledge+material,no,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
