module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
时代背景,机遇,和平与发展仍是时代主题,1,2026通州期末Q20,,2026_通州_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_通州_期末_Q20.md,设问评价全球治理倡议为何“正逢其时”，题面呈现百年变局、地区动荡、逆全球化和治理赤字，作答要先说明该倡议符合和平与发展、经济全球化和各国人民共同愿望的时代背景。,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议回应世界变乱交织和治理赤字，符合和平与发展时代主题、经济全球化发展趋势和各国人民求和平、谋发展、促合作的共同愿望。,（本题8分）,EXACT,PARTIAL,NO_MATCH,
时代背景,机遇,和平与发展仍是时代主题,2,2025海淀期中Q21(2),,2025_海淀_期中_Q21_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q21_2.md,设问分析外交的“变”，题面把新中国外交放在不同历史阶段和国际格局演进中，作答应从外部时代背景变化说明外交内容和任务的调整。,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,,新中国外交所处时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，外交重点和国际合作方式也随之发展。,,EXACT,EMPTY,PARTIAL,
时代背景,机遇,和平与发展仍是时代主题,3,2024海淀二模Q18(1),多极化世界中的民主与全球治理,2024_海淀_二模_Q18_1,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_海淀_二模_Q18_1.md,"资料包同时呈现全球南方崛起、人工智能与大数据带来的两极分化和全球治理代表性不足；要把这些现象解释为""全球治理民主化""的现实条件，必须先回到""和平与发展仍是时代主题""——只有时代主题没变，全球治理改革才能在和平合作的框架内推进，而不是走向阵营对抗。",任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选议题写一篇时政述评。（8分）要求：观点明确；知识运用准确；论述合乎逻辑，条理清晰。（本宝典示例：选「多极化世界中的民主与全球治理」议题作答）,,和平与发展仍是时代主题，人工智能、大数据带来的治理挑战和全球南方国家诉求上升，要求各方在和平合作框架内推进更有效、更民主的全球治理。,（本题8分）,PARTIAL,EMPTY,NO_MATCH,
时代背景,机遇,和平与发展仍是时代主题,4,2025延庆一模Q20(2),"外交部发言人回应""脱钩断链""",2025_延庆_一模_Q20_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_延庆_一模_Q20_2.md,"材料二中个别国家鼓噪""脱钩断链""和供应链""去风险""，与近70个国家和地区企业到链博会寻找""链""通中外方案形成对照；要论证供应链合作的正当性，必须用时代主题判定""合作""才是符合潮流的方向，""脱钩""违背潮流。",假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,,维护全球产供链韧性和稳定是世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。,,EXACT,EMPTY,PARTIAL,
时代背景,机遇,和平与发展仍是时代主题,5,2024西城二模Q19,中国答案的国际关系新思路,2024_西城_二模_Q19,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q19.md,题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流。,结合材料，阐述中国答案所体现的处理国际关系的新思路。,,人类命运共同体理念顺应时代潮流（细则可替代为「和平与发展」），倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,,EXACT,EMPTY,PARTIAL,
时代背景,机遇,和平与发展仍是时代主题,6,2025丰台期末Q20,——中非达成战略性共识的理论逻辑和价值意蕴,2025_丰台_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_丰台_期末_Q20.md,题面写中非围绕落实全球发展、安全、文明倡议，共同反对脱钩断链、单边主义和保护主义形成共识，题目让学生说明中非为什么能在此时达成战略共识。回答前要先将这一合作放回时代背景，说明发展中国家联合自强符合和平与发展时代主题，下面的共同利益、平等互利、新型国际关系才有立足点。,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,,中非达成一系列战略性共识符合和平与发展的时代主题，为发展中国家联合应对全球挑战提供合作土壤。,,EXACT,EMPTY,PARTIAL,
时代背景,机遇,和平与发展仍是时代主题,7,2026西城二模Q19(1),,2026_西城_二模_Q19_1,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_二模_Q19_1.md,数据跨境流动和数字经济发展形成全球性议题，中国参与全球数据治理要先说明全球化背景和共同价值基础。,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,,数字经济发展推动数据跨境流动，全球化发展趋势使数据治理成为各国共同面对的问题，中国参与全球数据治理符合和平与发展、全人类共同价值和人类共同利益。,（本题6分）,EXACT,EMPTY,NO_MATCH,
时代背景,机遇,和平与发展仍是时代主题,8,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目要求分析中国特色大国外交更有作为的必要性，材料呈现“构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信”的关系链，要求从时代主题和中国外交的共同体目标说明主动作为的理由。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
时代背景,机遇,和平与发展仍是时代主题,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,题目问全球治理倡议为何能获得国际社会认同，实质是在追问倡议的正当性和时代基础；全球治理处于十字路口，说明回答必须先判断它顺应和平、发展、合作的世界大势，而不是只复述倡议内容。,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。,（本题6分）,NO_MATCH,EMPTY,NO_MATCH,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
时代背景,机遇,和平与发展仍是时代主题,10,2025朝阳期末Q21,,2025_朝阳_期末_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md,题面把世界动荡冲突、单边霸凌、脱钩断链和意识形态分歧作为外部风险，问中国特色大国外交如何营造外部环境；总体外部环境的根本前提是把答案先放回和平与发展的时代主题，再把促进世界和平与发展和维护和平稳定的国际环境作为方向。,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,,中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。,,EXACT,EMPTY,NO_MATCH,
