question_id,year,district,exam_stage,question_no,evidence_status,a_axis_primary,a_axis_secondary_status,a_axis_adjudication_note,b_axis,old_v12_2_entry,prompt_action,legal_relationship_trigger,material_core,material_trigger,rubric_scoring_anchor,proposition_path,answer_skeleton,student_warning,has_secondary_axis,source_check_state,source_check_decision,guardrail,framework_version,v13_7_a_tool_note,v13_7_b_tool_note,v13_10_framework_gate,v13_10_delivery_patch,v14_material_enrichment,v14_rubric_enrichment,v14_material_core_original,v14_rubric_anchor_original,v14_4_gpt_patch_status,v14_4_effective_b_axis,v14_4_gpt_patch_note
CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,A2_人身权与人格权,有：A9_消费者权益与经营者义务;A4_合同,Round05采纳：商誉/法人名誉损害归入A2人格权益链，材料未显示竞争关系，不用A5反不正当竞争副轴。,B1_表格/裁判要点/补链,E1_表格裁判要点补链,阅读材料，完成下表。,生命健康、姓名、肖像、名誉、隐私、个人信息、未成年人身心利益。,三个案例：13周岁未成年人被经营者大面积文身，法院判退费并赔偿；自媒体无事实依据贬损某公司并造成负面影响，法院判道歉赔偿；平台预订境外客房后预扣房款，消费者不知情且未入住，法院判退还房款。,经营者为13周岁未成年人进行大面积文身 → 违反守法和公序良俗，损害未成年人身心利益 → 退费赔偿并保护未成年人健康成长；自媒体无事实依据贬损企业“无赖”“强盗”等 → 侵害名誉/商誉，违反诚信原则 → 公开道歉、赔偿损失，维护良性竞争秩序；平台用预设服务条款预扣房款，消费者不知情且未入住 → 格式条款排除消费者主要权利、违反公平 → 退还房款并规范平台经营,案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。,先定A2_人身权与人格权，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。,看到平台就写三从属性；看到企业就写经济经营措施；消费者题只写诚信经营,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先叫准人格权益或人身权益名称，再写侵害行为、损害后果和停止侵害、赔礼道歉、赔偿等责任。,表格题先读原列名；看不清时默认“材料事实|法律关系和要件|裁判要点/责任”。一行只写一条法律链，多案例分行，先总入口后行内入口。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,global_patch_applied,B1_表格/裁判要点/补链,global_patch_applied
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL,A2_人身权与人格权,有：A9_消费者权益与经营者义务,包间监控和传播聊天视频先侵害隐私，虚假功效宣传进入消费者副轴。,B3_诉求/请求能否支持,E3_诉求请求能否支持,围绕消费者诉求能否支持，分别判断隐私权侵害与消费者欺诈责任。,生命健康、姓名、肖像、名誉、隐私、个人信息、未成年人身心利益。,服务消费纠纷：消费者在经营者提供的包间内活动具有私密性，商家公开包厢内监控录像片段、网络聊天信息；赵某虚假宣传具有治疗糖尿病并发症等功效、夸大功效诱导消费。,包间监控和聊天信息公开 → 隐私权受侵害 → 经营者应承担侵权责任；虚假宣传治疗功效 → 消费者知情权受损 → 构成欺诈或虚假宣传；消费者诉求 → 权利侵害和欺诈事实并存 → 可支持停止侵害、赔偿和惩罚性赔偿等请求,先分两条链：隐私权侵害链和消费者欺诈链。 / 隐私链写监控、公开信息和侵权责任。 / 消费链写虚假宣传、知情权和惩罚性赔偿条件。,先定A2_人身权与人格权，再按B3_诉求/请求能否支持作答；v12.2路径：诉求对象 -> 权利基础 -> 法律要件 -> 支持/不支持及理由。,先分两条链：隐私权侵害链和消费者欺诈链。 / 隐私链写监控、公开信息和侵权责任。 / 消费链写虚假宣传、知情权和惩罚性赔偿条件。,平台用工；普通合同主轴；必修三套话,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先叫准人格权益或人身权益名称，再写侵害行为、损害后果和停止侵害、赔礼道歉、赔偿等责任。,诉求能否支持题先给支持/不支持/部分支持，再逐项写权利基础、构成要件、责任方式和惩罚性赔偿边界。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,global_patch_applied,B3_诉求/请求能否支持,global_patch_applied
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,PASS,A2_人身权与人格权,有：A3_物权与相邻关系,可视门铃、人脸识别和云存储先落隐私/个人信息，相邻关系解释边界。,B4_评析/认识/观点 + B6_调解/维权/纠纷解决路径,E4_评析认识谈看法,"结合材料,运用《法律与生活》知识,分析上述案例。",生命健康、姓名、肖像、名誉、隐私、个人信息、未成年人身心利益。,"20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。 刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。 孙女士认为该摄像头可能拍摄到自己及家人的日常出行规律及其他动态信息,要求刘先生 拆除该摄像头,双方由此产生纠纷。 材料二 《中华人民共和国民法典》(节选) 第二百七十一条 业主对建筑物内的住宅、经营性用房等专有部分享有所有权,对专有部分以外的共 有部分享有共有和共同管理的权利。 (1) (8 分) (2)假如你是人民调解员,提出解决上述纠纷的建议。",材料中的具体权利受侵害 → 先叫准权利名 → 才能写责任；侵害行为造成损害 → 按侵权责任判断 → 停止侵害、赔偿、道歉等责任方式；法院结合案情处理 → 法律保护权利也划清行为边界 → 引导依法维权,先根据案情锁定具体权利。 / 再把侵害行为和损害结果对应起来。 / 最后写责任方式和依法保护权利的意义。,先定A2_人身权与人格权，再按B4_评析/认识/观点作答；v12.2路径：观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,先根据案情锁定具体权利。 / 再把侵害行为和损害结果对应起来。 / 最后写责任方式和依法保护权利的意义。,只写隐私权会漏相邻安宁和整改路径；只写相邻关系会漏人格权权利名。,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先叫准人格权益或人身权益名称，再写侵害行为、损害后果和停止侵害、赔礼道歉、赔偿等责任。,评析/认识题先表态，再指出合理处和边界，最后给正确法律立场；不要把它写成纯价值口号。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,material_atoms_subjective_claudecode,,"20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。孙女士认为该摄像头可能拍摄到自己及家人的日常出行规律及其他动态信息,要求刘先生 拆除该摄像头,双方由此产生纠纷。 材料二 《中华人民共和国民法典》(节选) 第二百七十一条 业主对建筑物内的住宅、经营性用房等专有部…",,patched_from_real_gpt_pro_review,B4_评析/认识/观点 + B6_调解/维权/纠纷解决路径,patched_from_real_gpt_pro_review
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,PASS_RECOVERED,A2_人身权与人格权,边界：公法/未成年人保护，不计入A10；保留A2主轴,Round05采纳边界补丁：校园欺凌惩教并行主要保护未成年人人身人格利益，治安处罚/矫治教育不得自动并入A10。,B4_评析/认识/观点,E4_评析认识谈看法,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,生命健康、姓名、肖像、名誉、隐私、个人信息、未成年人身心利益。,19．（8分） 2026年1月1日，新修订的《中华人民共和国治安管理处罚法》正式施行，首次将校园欺凌纳入治安管理处罚范畴，明确以殴打、侮辱、恐吓等方式实施学生欺凌的，公安机关可直接介入，对违反治安管理的欺凌行为依法处罚，同时采取矫治教育等措施。 “他还是个孩子”，不再是校园欺凌的挡箭牌。 本次修订打破了“未成年人违法不拘留”的惯例，规定已满14周岁不满16周岁的未成年人，一年内两次以上违反治安管理的，依法执行行政拘留； 已满14周岁不满18周岁，初次违反治安管理但情节严重、影响恶劣的，依法执行行政拘留。 实践中，涉事未成年人往往存在“失管失教”或“失学辍学”等问题，处罚同步通知学校和家长，并启动后续帮教，形成“惩教闭环”。 本次修订在遵循“教育为主、惩罚为辅”原则的同时，传递出“法不能向不法让步”的鲜明导向，对“教育与惩罚”的关系作出精准再平衡。,校园欺凌纳入法律规制 → 未成年人违法也要承担相应责任 → 惩戒维护秩序和受害人权益；未成年人行政拘留规则 → 处理要符合法定年龄和保护原则 → 不能只严惩；监护和教育矫治 → 家庭、学校、社会共同教育 → 惩教并行保护未成年人健康成长,先写校园欺凌是违法行为，需要依法惩戒。 / 再写未成年人保护要求教育矫治并重，不能只罚不教。 / 最后写惩教并行既保护受害人，也帮助未成年人回归正轨。,先定A2_人身权与人格权，再按B4_评析/认识/观点作答；v12.2路径：观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,先写校园欺凌是违法行为，需要依法惩戒。 / 再写未成年人保护要求教育矫治并重，不能只罚不教。 / 最后写惩教并行既保护受害人，也帮助未成年人回归正轨。,生态绿色；合同；平台用工,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先叫准人格权益或人身权益名称，再写侵害行为、损害后果和停止侵害、赔礼道歉、赔偿等责任。,评析/认识题先表态，再指出合理处和边界，最后给正确法律立场；不要把它写成纯价值口号。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,material_atoms_subjective_claudecode,,19．（8分） 2026年1月1日，新修订的《中华人民共和国治安管理处罚法》正式施行，首次将校园欺凌纳入治安管理处罚范畴，明确以殴打、侮辱、恐吓等方式实施学生欺凌的，公安机关可直接介入，对违反治安管理的欺凌行为依法处罚，同时采取矫治教育等措施。“他还是个孩子”，不再是校园欺凌的挡箭牌。 本次修订打破了“未成年人违法不拘留”的惯例，规定已满14周岁不满16周岁的未成年人，一年内两次以上违反治安管理的，依法执行行政拘留；已满14周岁不满18周岁，初次违反治安管理但情节严重、影响恶…,,global_patch_applied,B4_评析/认识/观点,global_patch_applied
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,PASS,A3_物权与相邻关系,有：A1_民事法律关系总论（同意、公示、审批合法性支撑裁判；不计入A10）,Round05采纳：加装电梯审批/公示是相邻关系裁判事实，不是多元纠纷解决或诉讼程序。,B2_判决/裁判/责任理由,E2_判决裁判责任理由,结合材料，运用《法律与生活》知识，分析判决结果并说明理由。,所有权、共有部分、物业、通行采光通风、加装电梯、相邻不动产利益。,某小区3号楼2单元全体业主一致同意增设电梯，已公示、承诺、提交图纸，公示期未收到异议并取得审批手续。相邻楼业主范某认为影响采光，多次阻碍施工。法院现场勘查认为全玻璃设计未对采光造成影响，判令范某停止阻碍；若投入使用后确有较大影响，可另行协商或依法解决。,2单元全体业主一致同意、已公示且取得审批 → 加装电梯程序具有合法基础 → 不是少数业主私自施工；法院现场勘查确认全玻璃设计未影响采光 → 范某主张缺乏事实依据 → 阻碍施工不应支持；民法典相邻关系要求便利、合理、减少损害 → 范某应停止妨害；如日后确有较大影响，可另行协商或依法解决,先写加装电梯已获同意、公示和审批，程序合法。 / 再写现场勘查显示未影响采光，范某阻碍没有事实依据。 / 最后写相邻关系应方便生活、公平合理，判令停止妨害，同时保留后续补偿或法律途径。,先定A3_物权与相邻关系，再按B2_判决/裁判/责任理由作答；v12.2路径：裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,先写加装电梯已获同意、公示和审批，程序合法。 / 再写现场勘查显示未影响采光，范某阻碍没有事实依据。 / 最后写相邻关系应方便生活、公平合理，判令停止妨害，同时保留后续补偿或法律途径。,只写民生工程有意义；把范某一概说成侵权人不讲事实勘查；把推理小问混入法律题,yes,formal_locked_with_id_alias,KEEP_CORE_WITH_ALIAS_NOTE,Procedure legality is rewarded in this case because the original answer includes legal proportion consent/procedure and the source card says procedure was locked. It is not a universal first sentence for all E2 questions. Do not import the separate 逻辑与思维 subquestion atoms R02..08 into the law framework.,v13.10_confucius_framework_final_baodian_integrated,先看专有/共有、相邻关系、采光通行安全和程序事实；程序合法是裁判事实，不自动变成程序题。,判决/责任理由题按“法律关系 -> 规则 -> 事实 -> 裁判结论 -> 边界或责任分担”写，不要先写意义价值。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,global_patch_applied,B2_判决/裁判/责任理由,global_patch_applied
CC0340_2026_西城_一模_17,2026,西城,一模,17,PASS,A3_物权与相邻关系,有：A6_侵权责任,小区共有和物业规则推动绿色发展，以物权/物业秩序为主，环境侵权责任为副轴。,B5_意义/价值/保护/推动,E5_意义价值作用保护推动,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,所有权、共有部分、物业、通行采光通风、加装电梯、相邻不动产利益。,17．（8分）良好生态环境是最公平的公共产品，是最普惠的民生福祉。 【民法典物权编】 第286条： 业主应当遵守法律、法规以及管理规约，相关行为应当符合节约资源、保护生态环境的要求。 对于物业服务企业或者其他管理人执行政府依法实施的应急处置措施和其他管理措施，业主应当依法予以配合。 业主大会或者业主委员会，对任意弃置垃圾、排放污染物或者噪声等损害他人合法权益的行为，有权依照法律、法规以及管理规约，请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。 …… 第294条：不动产权利人不得违反国家规定弃置固体废物，排放大气污染物、水污染物、土壤污染物、噪声、光辐射、电磁辐射等有害物质。 第326条：用益物权人行使权利，应当遵守法律有关保护和合理开发利用资源、保护生态环境的规定。 所有权人不得干涉用益物权人行使权利。,业主遵守规约保护环境 → 物权行使受绿色原则和共同生活规则约束 → 个人权利不能损害公共环境；业委会请求停止侵害 → 民事主体可依法维护共有利益 → 责任方式服务环境保护；恢复原状 → 物权责任落到实际修复 → 推动绿色发展有具体民事路径,先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。,先定A3_物权与相邻关系，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。,知识产权；消费者；平台用工,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先看专有/共有、相邻关系、采光通行安全和程序事实；程序合法是裁判事实，不自动变成程序题。,意义/价值题要先抓法律规则和治理对象，再写如何保护权利、规范行为、维护秩序；价值必须由材料规则推出。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,material_atoms_subjective_claudecode,,17．（8分）良好生态环境是最公平的公共产品，是最普惠的民生福祉。 【民法典物权编】 第286条： 业主应当遵守法律、法规以及管理规约，相关行为应当符合节约资源、保护生态环境的要求。对于物业服务企业或者其他管理人执行政府依法实施的应急处置措施和其他管理措施，业主应当依法予以配合。 业主大会或者业主委员会，对任意弃置垃圾、排放污染物或者噪声等损害他人合法权益的行为，有权依照法律、法规以及管理规约，请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。 …… 第294条：不…,,global_patch_applied,B5_意义/价值/保护/推动,global_patch_applied
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,PASS_RECOVERED,A3_物权与相邻关系,有：A10_多元纠纷解决与诉讼程序,共有区域充电柜、消防安全和相邻权利以物权/物业关系为主，程序解决为副轴。,B6_调解/维权/纠纷解决路径,E6_调解维权纠纷解决证据路径,遇到的法律问题：____、____。,所有权、共有部分、物业、通行采光通风、加装电梯、相邻不动产利益。,社区有446辆电动自行车但只有60个充电接口，居民围绕公共区域设置电池充电柜产生分歧：占用绿地、无集中充电设备、消防安全、通行和采光等。学生提出在公共区域设置“车电分离”的电池充电柜方案，资料卡给出消防规定和民法典共有部分用途改变规定。,公共区域设置电池充电柜 → 改变共有部分用途或利用共有部分经营 → 需要符合法定程序和业主共同决定规则；电动自行车集中充电 → 消防安全与人身财产安全 → 设施须符合消防规定并防范侵权风险；居民担心绿地、通行、采光受影响 → 业主共有权和相邻权 → 方案不能损害其他居民合法权益,先写本题要找法律问题，不是直接出治理口号。 / 再从共有部分用途、消防安全、人身财产安全和相邻权中选具体问题。 / 最后说明解决分歧要在合法程序和权利边界内协商。,先定A3_物权与相邻关系，再按B6_调解/维权/纠纷解决路径作答；v12.2路径：纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,先写本题要找法律问题，不是直接出治理口号。 / 再从共有部分用途、消防安全、人身财产安全和相邻权中选具体问题。 / 最后说明解决分歧要在合法程序和权利边界内协商。,只写社区治理协商；只写政府管理；把充电柜方案直接当合理措施,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先看专有/共有、相邻关系、采光通行安全和程序事实；程序合法是裁判事实，不自动变成程序题。,维权路径题写清主体、证据、协商/调解/仲裁/诉讼路径、请求内容和程序边界。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,global_patch_applied,B7_法律问题识别/填空,global_patch_applied
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,PASS_RECOVERED,A4_合同,有：A5_知识产权与竞争秩序,研发委托合同违约和软件混淆竞争并列，第一格合同链承担主入口。,B1_表格/裁判要点/补链,E1_表格裁判要点补链,阅读材料，参考示例，完成下表。,要约承诺、合同成立生效、履行、违约、格式条款、免责、解除、损害赔偿。,案例一：科技公司与电路公司签订集成电路研发委托合同，约定按标准按期交付；被告阶段性产品不达标且进度超期，最终仍未提交达标成果，法院判返还服务费并支付违约金。案例二：“好省”APP上线三年后，被告开发“超好省-省钱助手”，名称图标相近、业务内容相同，造成公众混淆，法院判停止侵权并赔偿。,研发委托合同约定标准和期限，阶段产品不达标且进度超期 → 不履行或履行不符合约定构成违约 → 返还服务费并支付违约金；“超好省”与“好省”名称图标相近、业务相同，造成混淆 → 构成不正当竞争 → 停止侵权并赔偿损失；集成电路和软件均指向新质生产力 → 合同规则和竞争规则保护创新投入 → 维护市场秩序、营造创新环境,案例一按合同违约写：有约定、未达标、超期、担责。 / 案例二按不正当竞争写：近似标识、业务相同、混淆、担责。 / 最后把规则作用落到守约研发、公平竞争和新质生产力。,先定A4_合同，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,案例一按合同违约写：有约定、未达标、超期、担责。 / 案例二按不正当竞争写：近似标识、业务相同、混淆、担责。 / 最后把规则作用落到守约研发、公平竞争和新质生产力。,只写保护创新；把软件混淆写成著作权主轴；忽略合同违约事实,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先判断合同成立和履行，再写违约责任；有侵权损害时，合同链和侵权链分开落点。,表格题先读原列名；看不清时默认“材料事实|法律关系和要件|裁判要点/责任”。一行只写一条法律链，多案例分行，先总入口后行内入口。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,global_patch_applied,B1_表格/裁判要点/补链,global_patch_applied
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,PASS,A4_合同,有：A1_民事法律关系总论,要约承诺与合同成立是主轴。,B2_判决/裁判/责任理由 + B5_意义/价值/保护/推动,E2_判决裁判责任理由,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,要约承诺、合同成立生效、履行、违约、格式条款、免责、解除、损害赔偿。,乙公司发布碳排放配额采购比选公告；甲公司报价内容具体明确并承诺违约补差；乙公司确认中标并送达通知，之后甲公司拒不履行导致乙公司高价另购。,报价内容具体明确 → 构成要约 → 具备合同成立的意思表示基础；中标通知送达 → 承诺生效 → 甲乙之间合同成立；拒不履行 → 违反全面履行和诚信原则 → 应承担违约责任并服务绿色交易秩序,先写报价具体明确构成要约，中标通知到达构成承诺，合同成立。 / 再写合同成立后双方应全面履行、遵循诚信原则，拒不履行应担责。 / 最后从碳排放配额交易看，判决维护交易安全，也服务绿色发展。,先定A4_合同，再按B2_判决/裁判/责任理由作答；v12.2路径：裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,先写报价具体明确构成要约，中标通知到达构成承诺，合同成立。 / 再写合同成立后双方应全面履行、遵循诚信原则，拒不履行应担责。 / 最后从碳排放配额交易看，判决维护交易安全，也服务绿色发展。,不能只写合同成立；本题还要把判决意义落到诚信、绿色、交易安全和碳排放配额市场秩序。,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先判断合同成立和履行，再写违约责任；有侵权损害时，合同链和侵权链分开落点。,判决/责任理由题按“法律关系 -> 规则 -> 事实 -> 裁判结论 -> 边界或责任分担”写，不要先写意义价值。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,,,,,patched_from_real_gpt_pro_review,B2_判决/裁判/责任理由 + B5_意义/价值/保护/推动,patched_from_real_gpt_pro_review
CC0244_2026_东城_期中_18,2026,东城,期中,18,PASS,A4_合同,有：A6_侵权责任,无人机买卖的要约承诺、错发瑕疵品和合同责任为主轴，坠机损害作侵权副轴。,B2_判决/裁判/责任理由,E4_评析认识谈看法,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,要约承诺、合同成立生效、履行、违约、格式条款、免责、解除、损害赔偿。,陈某向店主刘某发邮件购买 A 型号无人机并明确用于重要商业拍摄，刘某回复全新原装、价款 15000 元，陈某立即转账。刘某误寄内部结构轻微损伤的同型号展示机，陈某首次使用时无人机因该损伤失控坠毁，砸伤陈某手臂，产生医疗费 8000 元，并错过商业拍摄损失收入 5000 元。陈某要求赔偿，双方协商未果；第二问要求说明维权成功需要做好哪些工作。,邮件购买、报价、转账 → 要约承诺达成一致，买卖合同成立并生效 → 双方受合同约束；刘某交付内部结构损伤展示机 → 履行不符合约定，违反全面履行和诚信履行义务 → 承担违约责任；无人机因损伤坠毁砸伤陈某 → 瑕疵交付与人身损害有因果关系 → 医疗费等合理损失可请求赔偿；用于重要商业拍摄已告知，损失有证据且可预见 → 商业收入损失可主张，否则需进一步证明；协商未果且要维权 → 保存邮件、转账、检测、现场、医疗、商业合同等证据 → 可协商、调解、仲裁或诉讼并提出明确请求,合同成立并有效。 / 刘某交付瑕疵展示机，违反全面履行和诚信履行义务，承担违约责任。 / 无人机瑕疵与陈某受伤、财产损失存在因果关系，合理损失可赔偿。 / 商业拍摄损失需证明用途已告知、损失真实、因果关系和可预见性。 / 维权准备写证据、路径和明确请求。,先定A4_合同，再按B2_判决/裁判/责任理由作答；Round05补丁：设问要求分析法律责任及法律依据，不能按泛评析处理。,陈某与刘某通过邮件报价和转账形成买卖合同，合同成立并生效。 / 刘某未交付全新原装无人机，而误寄内部损伤展示机，构成违约，应承担继续履行、退换、赔偿等违约责任。 / 该损伤导致无人机坠毁并砸伤陈某，刘某还应就医疗费等与损害有因果关系的合理损失承担赔偿责任。 / 5000 元商业拍摄损失能否支持，要看陈某已告知商业用途、损失证据、因果关系和可预见性。 / 维权时应保存邮件、转账记录、商品检测、坠毁现场、医疗票据、商业拍摄合同和收入损失证据，选择协商、调解或诉讼并明确请求。,只写合同成立不写违约；只写侵权不写合同；5000 元商业损失不看可预见和证据；维权题只写依法维权,yes,not_in_round03_source_check,covered_by_prior_locked_core,,v13.10_confucius_framework_final_baodian_integrated,先判断合同成立和履行，再写违约责任；有侵权损害时，合同链和侵权链分开落点。,判决/责任理由题按“法律关系 -> 规则 -> 事实 -> 裁判结论 -> 边界或责任分担”写，不要先写意义价值。,confucius_framework_pass,one_page_card_plus_framework_first_student_order,manual_source_patch_after_confucius_review,,,,global_patch_applied,B2_判决/裁判/责任理由,global_patch_applied
