suite_id,suite_name,question,answer,module,stem_or_material,material_trigger,correct_chain,wrong_or_boundary,student_action,evidence,_source_file
S038,2026海淀一模,1,C,choice_chain,正确项链：重温革命岁月、深化初心使命；感悟长征精神时代价值、走好新时代长征路。错肢：数字技术不等于赋予长征精神新内涵。,,正确项链：重温革命岁月、深化初心使命；感悟长征精神时代价值、走好新时代长征路。错肢：数字技术不等于赋予长征精神新内涵。,文化/价值链，仅作客观题链条,filled,render:03e0412bb80579d8/page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S038,2026海淀一模,2,B,choice_chain,正确项链：自然简洁布局给想象空间；道法自然理念传递主观情志。错肢：审美体验不直接等于实现思维和存在同一；不能偏转为个体差异中心。,,正确项链：自然简洁布局给想象空间；道法自然理念传递主观情志。错肢：审美体验不直接等于实现思维和存在同一；不能偏转为个体差异中心。,文化/意识链,filled,render:03e0412bb80579d8/page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S038,2026海淀一模,4,B,choice_chain,正确项链：文化带是文化资源空间呈现；保护利用服从服务历史文化名城整体建设。错肢：任何联系形成都离不开人的实践活动属于绝对化。,,正确项链：文化带是文化资源空间呈现；保护利用服从服务历史文化名城整体建设。错肢：任何联系形成都离不开人的实践活动属于绝对化。,文化/联系链,filled,render:03e0412bb80579d8/page_002.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S038,2026海淀一模,5,D,choice_chain,正确项链：生态优势向发展优势转化依赖特定社会历史条件。错肢：生产力和生产关系相互转换、价值选择无客观标准均错误。,,正确项链：生态优势向发展优势转化依赖特定社会历史条件。错肢：生产力和生产关系相互转换、价值选择无客观标准均错误。,联系多样性/社会历史条件,filled,render:03e0412bb80579d8/page_002.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S038,2026海淀一模,7,D,choice_chain,正确项链：技术赋能学生健康成长；优化健康教育内容形式形成全方位育人生态。错肢：彻底否定原有功能、摆脱现实制约均不成立。,,正确项链：技术赋能学生健康成长；优化健康教育内容形式形成全方位育人生态。错肢：彻底否定原有功能、摆脱现实制约均不成立。,不把彻底否定写成稳定正向触发,filled,render:03e0412bb80579d8/page_003.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S038,2026海淀一模,8,A,choice_chain,正确项链：深入基层听不同声音，使主观认识符合客观实际。错肢：从成功经验出发不能替代从实际出发。,,正确项链：深入基层听不同声音，使主观认识符合客观实际。错肢：从成功经验出发不能替代从实际出发。,实事求是/一切从实际出发,filled,render:03e0412bb80579d8/page_003.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S039,2026西城一模,1,B,choice_chain,正确项链：青年与国家民族命运始终相连；青年应立足所处时代规划人生、开创历史。错肢：个人愿景汇总不是时代发展的根本动力；青年不是只能被动适应。,,正确项链：青年与国家民族命运始终相连；青年应立足所处时代规划人生、开创历史。错肢：个人愿景汇总不是时代发展的根本动力；青年不是只能被动适应。,社会历史主体性/人生价值链,filled,bundle:高三统一测试思想政治试卷.docx lines 142-147,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S039,2026西城一模,5,C,choice_chain,正确项链：便利店文学彰显意识活动目的性和创造性；人民群众是文化创造主体。错肢：个体感悟不能决定公共情感诉求；文学来源是社会生活实践。,,正确项链：便利店文学彰显意识活动目的性和创造性；人民群众是文化创造主体。错肢：个体感悟不能决定公共情感诉求；文学来源是社会生活实践。,文化/意识链,filled,bundle:高三统一测试思想政治试卷.docx lines 172-177,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S039,2026西城一模,6,D,choice_chain,正确项链：建立多样联系形式，满足多元需求，促进价值转化。错肢：不能只抓龙头企业这一部分替代整体场景生态；新旧事物相互转化不受材料支撑。,,正确项链：建立多样联系形式，满足多元需求，促进价值转化。错肢：不能只抓龙头企业这一部分替代整体场景生态；新旧事物相互转化不受材料支撑。,联系观点/价值转化,filled,bundle:高三统一测试思想政治试卷.docx lines 178-182,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S039,2026西城一模,7,B,choice_chain,正确项链：实践具有社会历史性；科技发展满足个性化创意需求，体现科技为人的价值取向。错肢：创意不是决定转化的矛盾主要方面；科技不使实践脱离社会分工。,,正确项链：实践具有社会历史性；科技发展满足个性化创意需求，体现科技为人的价值取向。错肢：创意不是决定转化的矛盾主要方面；科技不使实践脱离社会分工。,实践/价值链,filled,bundle:高三统一测试思想政治试卷.docx lines 183-188,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
