suite,question,status,existing_coverage,missing_or_action,evidence_level,reason
2024东城一模,Q4,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024东城一模 第21题（主观题），材料含“三圈联动”“一核两翼”“研发—制造协同”。,不新增；把旧 Q4 记录标记为题号误切并由 Q21 覆盖。,final DOCX/source bundle proof,Codex A 的 Q4 行实际来自讲评 PPT 中“三圈联动/首都都市圈”主观题细则，题号被切错；最终宝典已以 2024东城一模 第21题 收入系统优化节点。
2024东城一模,Q16,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024东城一模 第16题（主观题）出现 2 处；材料含“中国式现代化创造人类文明新形态”“贡献中国方案、中国智慧、中国力量”。; accepted_base_docx_text mentions 2 time(s),不新增；保留现有条目。,final DOCX/source bundle proof; existing handbook body coverage,母版/补强版已覆盖该题的哲学采分点，至少包含矛盾普遍性与特殊性、价值判断价值选择两个节点。; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024东城一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024东城一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024丰台一模,Q16,模块边界排除,源 bundle：Q16 为好意同乘法理依据与现实意义；最终 DOCX：2024丰台一模 第18题第（1）问出现 3 处。,Q16 不入哲学；Q18 已覆盖。,final DOCX/source bundle proof,Codex A 的 Q16 行主体是《法律与生活》好意同乘题；其中混入的 Q18(1) 新质生产力哲学题已在最终宝典覆盖。
2024丰台一模,Q18,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024丰台一模 第18题第（1）问（主观题）出现 3 处。; accepted_base_docx_text mentions 3 time(s),不新增；保留现有条目。,final DOCX/source bundle proof; existing handbook body coverage,该题从哲学角度谈新质生产力，最终宝典已分别纳入系统优化、发展观点、唯物史观等节点。; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024丰台一模,Q21,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024丰台一模 第21题（主观题）出现 2 处。; accepted_base_docx_text mentions 2 time(s),不新增；保留现有条目。,final DOCX/source bundle proof; existing handbook body coverage,该题“全人类共同价值”已覆盖矛盾普遍性特殊性与价值判断价值选择等节点。; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024朝阳一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024朝阳一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024海淀一模,Q16,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024海淀一模 第16题（主观题）出现 6 处。; accepted_base_docx_text mentions 6 time(s),不新增；保留现有条目。,final DOCX/source bundle proof; existing handbook body coverage,该题“中国人探索宇宙、登陆月球何以自信”已覆盖主观能动性、联系、发展、实践等节点。; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024海淀一模,Q17,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024石景山一模,Q7,模块边界排除,Codex A evidence_level=answer_support_only；题干为概念外延图，非必修四哲学主观/材料触发链。,不入哲学宝典；保留为误触发排除。,final DOCX/source bundle proof,该行来自选择题“概念外延关系图”，属于选必三逻辑/概念关系判断；仅因材料中出现“社会主要矛盾”等词被误触发。
2024石景山一模,Q16,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024石景山一模 第16题（主观题）出现 2 处。; accepted_base_docx_text mentions 2 time(s),不新增；保留现有条目。,final DOCX/source bundle proof; existing handbook body coverage,该题习近平文化思想为中华民族现代文明举旗定向，已覆盖发展观点和认识作用。; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2024西城一模,Q7,已在宝典或 accepted JSONL 覆盖,最终 DOCX：2024西城一模 第17题（主观题）出现 9 处。,不新增；把旧 Q7 记录标记为题号误切并由 Q17 覆盖。,final DOCX/source bundle proof,ClaudeCode B 的 Q7 行实为 2024西城一模 Q17“避免陷入人类中心主义”哲学主观题；题号被错记。最终宝典已覆盖该题多个节点。
2024西城一模,Q17,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 9 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025东城一模,Q16,已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 价值判断与价值选择 | 发展的观点 / 发展的普遍性 | 矛盾的普遍性和特殊性 | 辩证否定 / 守正创新; accepted_base_docx_text mentions 5 time(s),不新增,强细则; existing handbook body coverage,same suite/question already covered in 5.2 base; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025东城一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025东城一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025丰台一模,Q16,模块边界排除,blocked/skipped nodes: 中华优秀传统文化当代价值-传承传统美德 | 价值判断与价值选择 | 民族精神-时代精神-家国情怀; accepted_base_docx_text mentions 1 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | culture_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025丰台一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 7 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025丰台一模,Q18(3),已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 价值观的导向作用 | 发展的观点 / 发展的普遍性 | 矛盾就是对立统一 | 联系的普遍性 / 联系的观点（总）,不新增,参考答案,same suite/question already covered in 5.2 base
2025延庆一模,Q16,已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一 | 价值观的导向作用 | 尊重客观规律与发挥主观能动性相结合 | 矛盾的特殊性 / 具体问题具体分析; accepted_base_docx_text mentions 5 time(s),不新增,强细则; existing handbook body coverage,same suite/question already covered in 5.2 base; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025延庆一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025延庆一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025房山一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025房山一模,Q16(1),已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 价值观的导向作用 | 矛盾就是对立统一,不新增,强细则,same suite/question already covered in 5.2 base
2025房山一模,Q20,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 5 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025朝阳一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 4 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025朝阳一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025海淀一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 5 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025海淀一模,Q21,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 主要矛盾和次要矛盾 | 系统观念 / 系统优化,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2025海淀一模,Q22,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025石景山一模,Q16,模块边界排除,blocked/skipped nodes: 中华优秀传统文化的特点及当代价值 | 尊重客观规律与发挥主观能动性相结合 | 联系的普遍性 / 联系的观点（总）; accepted_base_docx_text mentions 3 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | culture_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025石景山一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025西城一模,Q16,已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 实践与认识（总） | 实践是认识的基础; accepted_base_docx_text mentions 4 time(s),不新增,强细则; existing handbook body coverage,same suite/question already covered in 5.2 base; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025西城一模,Q17,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 1 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
