"suite_id","suite_name","question","question_type","framework_slot","evidence_class","evidence_source","material_excerpt","knowledge_point","trigger_logic","student_answer_landing","choice_answer","wrong_option_pattern","status","blocker"
"S048","2026海淀期中","Q5","choice","3. 横向；4. 纵向","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期中.md:70-75; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期中.md:240-245","中国潮玩热卖全球，国产影视走红海外；中国文化产品以多元姿态逐浪出海。","文化交流传播；文化产品内容创新；文化走出去","题干的逐浪出海指向文化交流传播，企业主体不能靠全面获取个人信息或制度性知识产权保护作答，应以海外合规风险防控和内容创新提升竞争力。","中国文化产品出海要研究目标市场规则，坚持内容创新，提高国际竞争力。","C","A含全面获取个人信息，侵犯个人信息权益；B只取①④，①错误且④属于制度保护主体不当；D把企业措施错落到完善知识产权保护制度。","PASS",""
"S049","2026海淀期末","Q17","subjective","6. 民族精神","formal-scoring-standard+B-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md:22-23; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md:66-78; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:54","评分标准列可从联系的观点、价值观、弘扬民族精神、发展中国特色社会主义文化等角度作答。","弘扬民族精神；发展中国特色社会主义文化","细则是等级题，不逐词标分；其中民族精神和文化发展方向是文化角度，必须扣住题意论述，不能把哲学链替代文化链。","可落为：弘扬民族精神，把精神力量转化为面对现实问题的价值支撑和行动动力，服务中国特色社会主义文化发展。","","","PASS",""
"S050","2026西城期末","Q16(1)","subjective","2. 作用；4. 纵向；5. 建设文化强国，树立文化自信","read-image-scoring-confirmed+reference-answer","C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:60; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md:91-108","参考答案写纪录片立足时代发展与社会变迁，记录人民日常实践，挖掘中华优秀传统文化精神内核与当代价值，讲好中国故事并创新表达形式。","人民中心创作导向；立足时代；优秀传统文化精华；国际传播；文化自信","旧复核表确认该题细则为A类，知识运用准确4个角度各1分、结合材料1分；当前bundle只提供参考答案文本，不能把参考答案冒充细则，故以旧读图细则为主证据。","可落为：文艺创作立足社会实践和时代问题，坚持人民中心，挖掘优秀传统文化当代价值，讲好中国故事并创新表达，筑牢文化自信。","","","PASS",""
"S051","2026东城期末","Q1","choice","5. 建设文化强国，树立文化自信；6. 民族精神","paper-question+answer-key+choice-explanation","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:616-627; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:127-130; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:868-869","党和国家完善纪念庆典、授勋颁奖等典礼制度。","凝聚精神力量；弘扬民族精神；建设中华民族现代文明","典礼制度是具体制度安排，正确项落在政治品格、精神气质和凝聚复兴力量；不能把它说成根本途径或以增强国际话语权为旨归。","典礼制度能够凝聚强国建设和民族复兴的精神力量，服务文化自信和民族精神培育。","D","①把影响误作目的；②把具体制度夸大为建设中华民族现代文明的根本途径。","PASS",""
"S051","2026东城期末","Q2","choice","2. 作用；5. 建设文化强国，树立文化自信","paper-question+answer-key+choice-explanation","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:628-634; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:194-198; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:868-869","小而美的城市书房满足市民阅读、展览、交流等文化生活。","公共文化服务；人民文化需求；书香社会","城市书房是公共文化服务和城市文化设施建设的体现，满足人民日益增长的美好文化需要；阅读是获取知识的途径而非来源，传统文化生命力不依赖城市书房。","公共文化服务要适应社会主要矛盾变化，更好满足人民文化需求，完善城市文化设施。","C","①混淆知识来源与获取途径；④夸大城市书房作用，传统文化生命力在于创造性转化、创新性发展。","PASS",""
"S051","2026东城期末","Q16","subjective","1. 特点；2. 作用；6. 民族精神","evaluation-ppt-scoring+B-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:152-176","主观题细则列文化角度：中华优秀传统文化、民族精神、文化作用；示例写白的内涵是博大精深的文化符号，能丰富精神世界、增强精神力量，弘扬民族精神。","中华优秀传统文化；博大精深；文化功能；民族精神","评标要求哲学与文化兼顾，文化链不能被矛盾、价值观等哲学链吞掉；留白/清白/白的图像材料触发文化符号、文化功能和民族精神。","可落为：白作为文化符号承载中华优秀传统文化和共同价值追求，体现博大精深，发挥丰富精神世界、增强精神力量、弘扬民族精神的作用。","","","PASS",""
"S052","2026朝阳期中","Q7","choice","2. 作用；4. 纵向","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:399-410; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:580-585","前门商圈以老字号+国潮为特色，国粹体验、茉莉花茶文化推广、中轴线科技体验馆带来文化消费体验。","文化产业；科技赋能；文化价值与经济价值统一","材料的国潮、文化推广和科技体验指向文化资源活化与文旅消费，正确项应抓住具体实际和科技赋能文化产业。","文化产业发展要从城市具体实际出发，挖掘文化内涵，依托科技赋能，实现文化价值与经济价值统一。","D","①说能有效破解城市无序扩张过度；②把实践表述为客观与主观、理论与实践统一，方向错误。","PASS",""
"S052","2026朝阳期中","Q8","choice","2. 作用；6. 民族精神","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:411-417; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:580-585","科学家故事在青少年心中种下崇尚科学的种子，让科学家精神成为深刻记忆。","科学家精神；价值引领；精神力量","讲好科学家故事属于精神文化传播和价值引导，重在弘扬科学家精神、激励青少年胸怀祖国服务人民，不是直接证明决定因素。","讲好科学家故事能够弘扬科学家精神，引导青少年把个人理想融入国家和民族事业。","D","①把讲故事直接说成推动科技创新和提供经济支撑，链条过度；③把公民科学文化素养说成决定性因素，绝对化。","PASS",""
"S052","2026朝阳期中","Q9","choice","5. 建设文化强国，树立文化自信","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:418-424; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:580-585","民族工作既需要高质量发展实现共同富裕，也需要精神力量，增强文化认同，构筑中华民族共有精神家园。","文化认同；中华民族共同体意识","题干明示文化认同和共有精神家园，正确项落在各民族文化相通和经济相依；不能把物质基础、根本动力错置。","增强文化认同、构筑共有精神家园，是铸牢中华民族共同体意识的重要精神支撑。","C","①把血脉相融说成根本动力；④把情感相亲说成物质基础，概念错置。","PASS",""
"S052","2026朝阳期中","Q10","choice","4. 纵向；3. 横向","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:425-429; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:580-585","故宫特展通过数字化技术呈现不同文明在建筑、艺术与礼制领域的对话，让沉睡的文物活起来。","文化发展；时代性与历史性统一；文明交流","文物活化不是原汁原味保存，也不是数字媒介替代实体展览；正确链是运用时代技术激活历史文化资源。","文化发展要坚持历史传承与时代创新统一，让文物在新技术和新场景中活起来。","C","A把数字化技术绝对化为取决因素；B固守原汁原味；D把数字媒介说成替代实体展览。","PASS",""
