"suite_id","suite_name","question","question_type","framework_slot","evidence_class","evidence_source","material_excerpt","knowledge_point","trigger_logic","student_answer_landing","choice_answer","wrong_option_pattern","status","blocker"
"S026","2025海淀二模","COVERAGE","coverage","2;4","coverage","SUITE_ROSTER.csv; 2025海淀二模 bundle","主观第17题有讲评/细则文化口径；未在 bundle 中发现可完整处理的文化选择题题干+答案键","文化主观题已覆盖","有文化链，覆盖状态 PASS","第17题按文化功能与双创作补充得分点处理","","","PASS",""
"S026","2025海淀二模","17","subjective","2;4","marking_or_rubric","2025海淀二模 bundle lines 50-96; prior复核表 lines 39,101","记忆并非机械存储；唐宋八大家照见文学盛况；人工智能存储检索整理；记忆是思维活动内容与基底","文化的功能；创造性转化创新性发展","细则把文化的功能/双创列为 1 分补充点，只能作为本题文化补点，不能把整题改写成纯文化题","记忆积累能丰富精神世界、增强精神力量，并为人的创造性与优秀文化创新表达提供内容基础；人工智能应服务人的文化创造","","模板式泛写文化载体、源远流长、博大精深被讲评列为问题，不入链","PASS",""
"S027","2025西城二模","COVERAGE","coverage","2;5;6","coverage","SUITE_ROSTER.csv; 2025西城二模 bundle","主观第20题有细则；选择第1、9题有题干和答案键","文化强国；人民文化权益；民族精神；共同体意识","有文化主观链且有文化选择题链，覆盖状态 PASS","第20题按着眼于人、落脚于人落到文化供给、创新创造、人民主体","","","PASS",""
"S027","2025西城二模","1","choice","6;2","answer_key_and_stem","2025西城二模 bundle lines 178-187; answer key lines 24-26","志愿军烈士家书穿插手绘小画，承载家国情怀、不屈民族精神","民族精神；优秀文化塑造人生","家书作为红色文化材料，正确项对应家国情怀和民族精神滋养精神世界","看到烈士家书要写精神滋养、家国情怀和民族精神，不写物质力量","A","把红色家书根源说成多元大众文化；把精神力量说成物质力量","PASS",""
"S027","2025西城二模","9","choice","0;6","answer_key_and_stem","2025西城二模 bundle lines 256-267; answer key lines 24-26","博物馆联展、抗战故事、小文物讲大历史、五个共同中华民族历史观","文物载体；铸牢中华民族共同体意识","馆长发言共同指向文物古籍承载共同历史记忆，讲好中华民族共同体故事","围绕文物展陈写共同历史、共同文化、共同体意识","D","只写民族特色或一般文化传承，漏掉铸牢中华民族共同体意识主题","PASS",""
"S027","2025西城二模","20","subjective","2;5","scoring_rubric","2025西城二模 bundle lines 129-153","建设文化强国要始终坚持文化建设着眼于人、落脚于人；文化需求释放、文化供给升级、文艺从业者和非遗传承人","保障人民文化权益；丰富高水平文化供给；满足精神文化需求；培育文化人才；推动文化创新创造","细则明确 2分+2分：为了人民对应权益/供给/需求，依靠人民对应人才/创新创造；另有理论角度 1分","文化强国为了人民，要保障人民文化权益、丰富高水平文化供给、满足多样化精神文化需求；依靠人民，要培育文化人才、推动文化创新创造","","把参考材料只写成党的领导或中国式现代化，不落文化权益/供给/创新创造会漏文化分","PASS",""
"S028","2025东城二模","COVERAGE","coverage","2;3;4","coverage","SUITE_ROSTER.csv; 2025东城二模 bundle","主观第16题为哲学观点，文化作答被讲评提示为跑偏；选择第3、4题有文化题干和答案键","文化选择题已覆盖；主观题模块边界排除","有文化选择链，覆盖状态 PASS；主观题为 MODULE_BOUNDARY","第3题落文化源于实践、为人民发声；第4题落文物回归中的文化遗产合作","","","PASS",""
"S028","2025东城二模","16","subjective","none","module_boundary","2025东城二模 bundle lines 22-48","设问为运用哲学观点谈如何与人工智能共创美好未来；讲评指出有少数学生从文化角度答题","非文化主观题","正式给分口径列物质意识、价值观、矛盾、实践认识、群众观点等哲学点，未列文化给分点","不作为文化主观链入表","","把人工智能材料泛化为文化创新属于模块误用","MODULE_BOUNDARY",""
"S028","2025东城二模","3","choice","2;4","answer_key_and_stem","2025东城二模 bundle lines 263-271; answer key line 478","油画源于创作者亲身经历，表现北平和平解放后教唱解放区歌曲","文化源于实践；优秀文艺与时代同频、为人民发声","正确项对应艺术创作源于生活实践、优秀作品回应时代和人民","艺术创作不能离开生活，要与时代同频、为人民发声","C","把优秀作品限定为必须亲身经历；把生活和艺术斗争性当创作动力","PASS",""
"S028","2025东城二模","4","choice","3;5","answer_key_and_stem","2025东城二模 bundle lines 272-284; answer key line 478","流失海外国宝回家，中意文化遗产合作，为国际合作树立新范例","文化遗产保护；文化交流合作；文化自信","正确项同时抓具体方式和国际合作，文化线只取文物回归中的遗产合作意义","文物回归依赖综合国力和国际合作，也体现文化遗产保护与文明交流","C","把国宝价值说成回家归宿；离开文化遗产合作只写抽象联系","PASS",""
