suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker
S038,2026海淀一模,16,subjective,2,A/B等级细则支持,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md,人文学科价值题；细则列“文化的功能”等角度。,文化的功能,人文学科能帮助人辨析价值冲突、理解情感和历史记忆时，文化功能作为可作答角度进入。,从文化对人和社会的精神作用落脚：人文学科涵养价值判断、历史记忆和公共理性。,,"",PASS,
S038,2026海淀一模,choice_screen,choice,,文本缓存边界,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md,当前 bundle 只有答案表和主观题参考，未见可检索的文化选择题题干。,,"选择题必须同时有题干和可靠答案键；本套当前缓存不满足文化选择题拆链条件。",不处理选择题,, ,MODULE_BOUNDARY,缺文化选择题题干文本，未强行拆链。
S039,2026西城一模,16,subjective,"2;4;5",正式阅卷细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md,全民阅读入法；细则列文化角度：促进人的全面发展、引领风尚、教育人民、服务社会、推动发展、传承民族文化、提高文明程度、助力文化强国。,文化功能；文化传承；文化强国,全民阅读由个人阅读上升为公共利益和国家发展时，触发文化功能、民族文化传承和文化强国建设。,答题落到“阅读不是纯私事；国家通过立法保障阅读权利、优化文化供给，促进人的全面发展和社会文明进步”。,,,PASS,
S039,2026西城一模,2,choice,"2;4",题干有/答案键缺,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md,画马路线由群众创意转为政府与群众共同规划的安全路线，涉及文化需求与公共利益保护。,文化需求；人民主体；公共文化治理,题干有文化创意需求信号，但本 bundle 未提供可靠选择题答案键，不能确定正确项链。,,"",,BLOCKED,缺可靠答案键；不把题面分析冒充正确项链。
S040,2026东城一模,16,subjective,"2;4;5;6",正式细则/分题PPT,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md,优秀文艺与大众情绪、时代情感；分题细则列人民的文艺、社会效益优先、民族精神、核心价值观等。,人民是文化发展的主体；优秀文化作用；社会效益与经济效益统一；民族精神；核心价值观,文艺材料从“满足大众情绪”推进到“时代情感、价值导向、持久传播力”，触发文化功能和文化发展方向。,评析时先承认贴近大众情绪的合理性，再指出优秀文艺还要坚持人民立场、社会效益优先、中华文化立场和价值引领。,,,PASS,
S040,2026东城一模,20,subjective,4,正式细则/分题PPT,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md,生态文明建设规律性认识；细则列文化角度：发挥中华优秀传统文化的当代价值/核心思想理念。,中华优秀传统文化当代价值,生态文明材料出现传统生态智慧时，文化角度可作为规律性认识的一点。,说明中华优秀传统文化中的生态智慧为现代生态文明建设提供价值资源和思想滋养。,,,PASS,
S040,2026东城一模,2,choice,"2;4",试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md,隆福寺街区老字号餐饮、文创产品、非遗沉浸体验、潮流市集等激活消费场景。,文化与经济交融；传统文化现代表达,题干把传统商业、文创和非遗体验放在消费新场景中，正确项应落在传统商业与新型消费场景融合、释放消费潜力。,选择题文化链只对应正确项 A：传统商业与新型消费场景深度融合，有效释放消费潜力。,A,"②“必要前提”绝对化；③把对立统一泛化为业态升级原因；④把时尚潮流说成科技创新引领项，方向不稳。",PASS,
S041,2026朝阳一模,16,subjective,"1;4;5",正式阅卷细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md,中国农历以日月运行规律、阴阳合历、二十四节气服务生产生活；细则必答文化角度2分，选答文化创新/功能等2-3分。,中华优秀传统文化特点价值；文化自信；文化创新；文化功能,农历沿用两千多年并仍影响社会生活，触发源远流长、博大精深、文化自信和当代价值。,答题要写农历是中华优秀传统文化重要组成部分，体现中华民族智慧和文化自信，并说明其仍服务生产生活。,,,PASS,
S041,2026朝阳一模,3,choice,"4;5",试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md,春节科普活动实现“科普+文化”“科普+非遗”融合，读懂传统文化背后的科学密码。,科技赋能传统文化；文化自信；双创,科普与非遗结合，正确项落在科学精神进入生活、文化自信和传统文化科技赋能下焕新。,正确项链为②④：科普让科学精神融入日常生活并增强文化自信；辩证否定推动传统文化在科技赋能下焕发新光彩。,D,"①“主阵地”夸大；③错把民族文化与外来文化交融作为本题核心。",PASS,
S041,2026朝阳一模,4,choice,3,试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md,中非人文交流年开展文化丝路交流月、文明对话大会、中国电影节等活动。,文化交流互鉴；文明互鉴；共同叙事,人文交流活动指向文明交流互鉴、民心相通和共同叙事建构。,正确项链为①④：推动中非文明交流互鉴，促进民心相通；助力讲好各自故事、共建共同叙事基础。,B,"②应尊重外来文化但不是认同外来民族文化；③把活动目的窄化为展示中国特色社会主义文化成果。",PASS,
