priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,decision,decision_reason,source_evidence,patch_needed,can_enter_fusion
P1,Q-2024朝阳期中-18-晏子推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,confirmed,朝阳期中Q18阅卷细则明示晏子推理属于类比推理；含相同推相同特征+或然推理但增强说服力关键词，A-formal等级匹配选必三推理>类比推理节点,017_*评标docx.docx::18题阅卷细则1：晏子的推理属于类比推理（1分）；是根据两个或两类对象在一些属性上的相同或相似，推出它们在其他属性上也相同或相似的推理（1分）；关键词：类比推理1分/相同推相同1分/晏子是如何类比的1分/是或然推理但增强论证说服力1分,no,yes
P1,Q-2024朝阳期中-18-楚王推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>归纳>不完全归纳·轻率概括,A-formal,confirmed,朝阳期中Q18阅卷细则明示楚王推理属于不完全归纳推理（或然推理）+诊断错误为轻率概括，与manifest节点路径一致,017_*评标docx.docx::18题阅卷细则1：楚王的推理属于不完全归纳推理（归纳推理）（1分）；前提只涉及部分对象因而属于或然推理（1分）；犯了轻率概括的逻辑错误（1分）；关键词：归纳推理1分/或然1分/轻率概括或以偏概全1分/考察更多认识对象提高推理可靠程度1分,no,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,confirmed,东城一模Q19（4）评分细则明示创新思维知识1分含发散+聚合统一分析；A-formal等级支持选必三创新思维>发散思维与聚合思维节点,046_*19（4）.pptx + 046_*26东城一模细则.pdf::19（4）创新思维：知识含发散、聚合；分析：坚持发散与聚合思维统一，运用发散思维拓展应用场景，运用聚合思维围绕科技成果转化整合多方资源；评分细则：创新思维知识1分+对应分析2分,no,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>思路新方法新结果新（实践基础+创新思维特征）,A-formal,confirmed,东城一模Q19（4）评分细则明示创新思维知识库含实践+特征（思路多向性+步骤跨越性+结果独特性+思路新方法新结果新），与manifest节点直字面对齐,046_*19（4）.pptx + 046_*26东城一模细则.pdf::19（4）创新思维知识：实践、特征（思路多向性、步骤跨越性、结果独特性、思路新、方法新、结果新）、联想、发散、聚合、正向、逆向、超前等；分析含坚持实践、多向思考、敢用新手段,no,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,confirmed,东城一模Q19（4）评分细则明示创新思维知识列入超前思维并附形式化分析框架,046_*19（4）.pptx + 046_*26东城一模细则.pdf::19（4）创新思维：坚持超前思维，理性分析现有科技转化内在矛盾，做出正确预见，健全成果评价、产权激励、转化推广等制度，谋划科技发展与产业趋势长远布局,no,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,辩证思维>整体性·分析与综合（同类索引到必修四系统观念）,A-formal,confirmed_with_patch,评分细则以系统观念名义给分（系统观念知识1分）但其分析关键词立足整体+综合的思维方法+整体性可同类索引到选必三辩证思维>整体性·分析与综合；细则明示系统角度分不满可由动态性角度替代1分进一步证明跨模块互通；patch需在融合稿写明系统观念-辩证思维双标签并保持动态性可替代规则,046_*19（4）.pptx + 046_*26东城一模细则.pdf::19（4）系统观念知识：立足整体，树立全局观念；用综合的思维方法认识事物；遵循内部结构有序性、注重内部结构的优化趋向；实现整体功能大于部分功能之和；整体性等。评分细则：系统观念知识1分+创新思维知识1分；系统角度分不满从动态性角度分析可以替代1分,yes,yes
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,confirmed,丰台期末Q18（1）评分细则明示必要条件假言判断1分+保真条件1分（前件是后件的必要条件），与manifest节点字面对齐,040_*2025丰台期末细则.pptx::Slide18评分标准说明：①必要条件假言判断(1分); 保真条件: 必要条件假言判断的保真条件是前件是后件的必要条件。(1分),no,yes
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>联言判断,A-formal,confirmed,丰台期末Q18（1）评分细则明示联言判断1分+保真条件1分（当且仅当各联言支均真），与manifest节点字面对齐,040_*2025丰台期末细则.pptx::Slide18评分标准说明：②联言判断(1分); 保真条件: 联言判断的保真条件是当且仅当，组成联言判断的各（两）个联言支都是真的。(1分),no,yes
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>充分条件假言判断,A-formal,confirmed,顺义一模Q17（1）评分细则明示甲为充分条件假言判断（如果前则后），三类型1分+具体分析2分赋分规则,035_*2025顺义一模细则.docx::17（1）答案：甲是充分条件假言判断，如果有前一种情况就必有后一种情况；具体采分点：能够准确并全部写对三位同学判断类型给1分（甲—充分条件假言判断），三个判断类型中有一个具体分析准确即可得2分,no,yes
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,confirmed,顺义一模Q17（1）评分细则明示乙为必要条件假言判断（无前则无后），与manifest节点字面对齐,035_*2025顺义一模细则.docx::17（1）答案：乙是必要条件假言判断，如果没有前一种情况就一定没有后一种情况；具体采分点：乙—必要条件假言判断属于三类型1分必踩点之一,no,yes
