key,count,variant_count,sample_title,sample_core_heading,sample_samegroup_text
2024东城一模Q20,3,1,3. 2024东城一模Q20,核心答题点：顺应经济全球化趋势，主动融入并推动深化,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，四点选三，按起点措施+路径+效果终点作答；3+3+2=8
· 内循环措施一：推进重点行业设备更新改造和耐用消费品以旧换新，促进消费、拉动投资，推动产业结构升级，提高国民经济循环质量和水平
· 内循环措施二：降低物流成本，减轻市场主体负担，激发活力，促进产业链供应链畅通，增强国内大循环内生动力和可靠性；有利于建设全国统一大市场/高标准市场体系
· 外循环措施一：对标国际规则，推进制度型开放，深入融入经济全球化，推进高水平对外开放
· 外循环措施二：逐步放宽市场准入，依托我国超大市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应，提升贸易投资合作质量和水平，推动高质量发展"
2024东城二模Q20,7,1,3. 2024东城二模Q20,核心答题点：推动国际关系民主化、和平解决国际争端,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，三个倡议各2分，总论1分
· 全球发展倡议（2分）：路径1分，写通过合作援助，为世界共谋发展合作开辟新空间、提供新机遇、注入新动力；效果1分，写增强发展中国家的发展内生动力、繁荣世界经济等
· 全球安全倡议（2分）：路径1分，写通过对话协商以和平方式解决国际争端，坚持遵守《联合国宪章》宗旨和原则，以共赢思维应对安全挑战；效果1分，写推动建设持久和平、普遍安全的世界
· 全球文明倡议（2分）：路径1分，写通过交流互鉴、传承和创新；效果1分，写促进民心相通、建设开放包容的世界
· 总论（1分）：三大倡议为推动构建人类命运共同体提供方案和路径，为动荡变化的时代注入更多稳定性和确定性，助力人类美好未来"
2024丰台一模Q20,5,1,13. 2024丰台一模Q20,核心答题点：推进贸易和投资自由化便利化,"【同题组】 （按原题得分方式）
· 答题层次：本题7分，按“知识+材料”的论述质量给分；只写纯知识或只描述材料，属于低档。
· 分档方式：围绕下列四个方面展开，任选三方面且论述到位可达6-7分，任选二方面为4-5分，任选一方面为2-3分；没有论述或论述严重偏差为0-1分。
· 四个方面：建立和完善基础设施，推动产品、服务和生产要素在全球流动；加快供应链金融创新，缓解供应链发展中的资金短缺；打造国际经济合作交流平台，推进贸易投资自由化便利化；运用先进技术降低成本、提高效率，畅通全球产业链供应链，增强经济全球化活力，推动各国合作共赢。"
2024丰台一模Q21,1,1,6. 2024丰台一模Q21,核心答题点：倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,"【同题组】 （按原题答题层次）
· 作答提示：本题是开放等级题和多模块题，不按固定同题组展开
· 选必一迁移：可把构建人类命运共同体、全人类共同价值等作为开放题中的选必一角度使用
· 等级要求：需要从多个不同维度展开分析，综合运用两个模块知识，不能只罗列选必一术语"
2024丰台二模Q19,7,1,7. 2024丰台二模Q19,核心答题点：在平等互利基础上开展合作，实现互利共赢,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，三个角度各2分，必须写“做了什么+效果或意义”
· 角度一：中国如何承担大国责任，并分析其发挥建设性作用（2分）
· 角度二：中国如何通过南南合作帮助发展中国家发展，并分析其贡献中国智慧、中国方案或中国力量（2分）
· 角度三：中国如何通过区域合作促进区域环境改善，并分析其推动构建人类命运共同体（2分）
· 答题提醒：只概括材料做法、没有效果或意义，最高2分；做法与效果意义匹配不准，酌情扣分"
2024朝阳一模Q21,12,1,2. 2024朝阳一模Q21,核心答题点：百年变局与外部风险挑战,"【同题组】 （按原题答题层次）
· 答题层次：本题9分，按4+5结构组织；先用4分概括我国当前经济形势，再用5分回答如何在变局中开新局。
· 分析我国当前经济形势（4分）：经济总量持续增长、经济增速保持稳健；我国经济进入以新发展理念引领的高质量发展阶段；外部环境日趋严峻、风险挑战增多；我国经济保持强大韧性和良好势头，在世界经济中的地位和贡献稳步提升。
· 政治多极化维度：面对外部风险挑战，要维护我国主权、安全和发展利益，在谋求本国发展中促进各国共同发展，坚持合作共赢，推动建设新型国际关系，推动构建人类命运共同体，为我国发展营造良好外部环境。
· 经济全球化维度：依托我国超大规模市场优势，增强国内国际两个市场两种资源联动效应，深度参与全球产业分工和合作，推进高水平对外开放，构建国内国际双循环相互促进的新发展格局，同时坚持独立自主、自力更生，把发展主动权牢牢掌握在自己手中。
· 得分提醒：开新局部分要从政治多极化、经济全球化两个维度展开；只写一个维度，最高不超过3分。"
2024朝阳二模Q20,9,1,1. 2024朝阳二模Q20,核心答题点：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，基本原则2分，各方达成共识6分
· 基本原则（2分）：平等（1分；有平等/公平/公正/多边主义/协商一致一词即可）；开放（1分；有开放/合作/共享/共赢/包容/求同存异/共商共建一词即可）
· 共识一：为什么完善全球气候治理（1分）：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一；或写气候变化是全球性挑战、应对气候变化是人类共同责任
· 共识二：如何完善全球气候治理（5分）：各主权国家和国际组织携手建立公平合理、合作共赢的全球气候治理体系；可替代为共商共建共享全球治理观、公平正义合作共赢的新型国际关系、共同利益是国家合作的基础，并推动构建人类命运共同体；不同国家从各自实际出发落实责任，尤其发达国家为完善全球气候治理承担更多责任；跨国公司等全球企业尤其工业领域企业致力于技术创新，加快绿色低碳转型，降低碳排放。答出1个角度2分、2个角度4分、3个角度5分"
2024朝阳期中Q20(3),9,1,"2. 2024朝阳期中Q20(3)""数字驱动商通全球""短评",核心答题点：共享经济全球化成果，促进世界经济共同繁荣,"【同题组】 （按原题答题层次）
· 答题层次：本题10分，短评题，按题目、三段材料分别点评、总结或总评组织
· 短评题目（1分）
· 三段材料分别点评（6分，每段“事实1分+点评1分”）：汇集新产品，写数贸会推动数字科技产品贸易和使用，促进全球经济创新发展；打造新平台，写数贸会搭建交流合作平台，促进相互投资贸易，为各国企业创造有利机遇，或更好利用两个市场两种资源；带来新机遇，写数字平台和电子商务降低贸易成本、提升贸易便捷度、促进产品全球流通、共享中国发展机遇
· 总结或总评（2分）：办好数字贸易博览会，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；体现中国平等开放、合作共享的全球治理理念，或有利于我国建设高层次开放型经济"
2024海淀一模Q18(1),7,1,3. 2024海淀一模Q18(1),核心答题点：促进全球资源优化配置和国际贸易发展,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，按三项答题要求组织
· ①促进贸易投资便利化、自由化（2分；替代：促进贸易往来；促进对外合作交流/便利国内外交流/便利人员往来/降低活动成本可给1分，不重复给分）
· ②吸引全球资源要素自由流动（1分）；充分利用国内国际两种资源、两个市场（2分；替代：开放、包容、普惠、共赢/互利共赢/国内国际双循环）
· ③推进高水平对外开放/发展更高水平开放型经济（1分；替代：更大范围、更宽领域对外开放）"
2024海淀二模Q18(1),8,1,3. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，时政述评定档
· 背景层：和平与发展，世界多极化，霸权主义、强权政治等现实挑战
· 原因层：共同利益或国家利益是国家合作的基础
· 做法与意义层：坚持共商共建共享的全球治理观，推动构建人类命运共同体，推动国际关系民主化，依托国际组织或发挥联合国作用
· 定档提示：一个知识1-3分，两个知识4-6分，三个知识7-8分；必须扣住所选议题论述，有逻辑。经济全球化不得分，选错议题酌情扣分"
