词,行号,位置,处理方式,原句
NDC,85,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC置于联合国和《巴黎协定》框架下，说明气候变化不是单个国家内部问题，而是需要各国共同应对的全球治理问题。
《巴黎协定》,85,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC置于联合国和《巴黎协定》框架下，说明气候变化不是单个国家内部问题，而是需要各国共同应对的全球治理问题。
治理赤字,115,题目材料触发点,保留为具体题目原文字段,【材料触发点】设问第一层是“正逢其时”，材料围绕全球治理倡议回应治理赤字、倡导主权平等、国际法治、多边主义和以人为本，应先说明和平与发展时代主题和共同治理需求。
治理赤字,118,题目答案落点,保留为具体题目原文字段,【答案落点】和平与发展成为时代主题，经济全球化深入发展，但各国仍面对治理赤字和共同挑战；全球治理倡议强调主权平等、国际法治、多边主义和以人为本，顺应各国人民愿望，因而正逢其时。
南南合作,122,设问,保留为具体题目原文字段,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,144,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写国际力量对比调整全球南方壮大和单边霸凌 引出多极化与全球治理秩序。
NDC,179,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC和《巴黎协定》说明气候治理关系各国生存发展和可持续发展，各国存在共同利益。
《巴黎协定》,179,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC和《巴黎协定》说明气候治理关系各国生存发展和可持续发展，各国存在共同利益。
全球南方,209,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。
南南合作,209,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。
南南合作,210,设问,保留为具体题目原文字段,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,212,题目答案落点,保留为具体题目原文字段,【答案落点】国家间共同利益是国家合作的基础，科技小院回应全球南方国家提升农业生产、培养本土人才和实现可持续发展的共同需求，因此能够成为南南合作典范。
南南合作,212,题目答案落点,保留为具体题目原文字段,【答案落点】国家间共同利益是国家合作的基础，科技小院回应全球南方国家提升农业生产、培养本土人才和实现可持续发展的共同需求，因此能够成为南南合作典范。
全球南方,255,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料把人工智能发展同全球南方能力建设、发展成果共享联系起来，说明发展合作中的正确义利观。
全球南方,258,题目答案落点,保留为具体题目原文字段,【答案落点】推进人工智能国际合作要坚持正确义利观，在发展人工智能时兼顾各方合理利益，帮助全球南方共享技术发展成果。
全球南方,567,题目材料触发点,保留为具体题目原文字段,【材料触发点】当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。
南南合作,567,题目材料触发点,保留为具体题目原文字段,【材料触发点】当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。
逆全球化,573,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写逆全球化思潮和脱钩断链行径 回答经济外部环境时引出推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展。
逆全球化,576,题目答案落点,保留为具体题目原文字段,【答案落点】面对逆全球化和脱钩断链，中国倡导普惠包容的经济全球化，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展，为中国式现代化营造良好外部经济环境。
南南合作,604,设问,保留为具体题目原文字段,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
逆全球化,621,题目材料触发点,保留为具体题目原文字段,【材料触发点】链博会和自贸协定说明中国用开放合作回应逆全球化，引出推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展完整五词。
制度型开放,674,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明攻克卡脖子难题如何助推经济开放发展 技术突破连接标准规则和国际竞争力 引出制度型开放与规则话语权。
制度型开放,677,题目答案落点,保留为具体题目原文字段,【答案落点】攻克“卡脖子”难题有利于提升我国企业在国际技术标准和贸易规则制定中的话语权，推动制度型开放，增强产品和服务国际竞争力。
制度型开放,680,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明开放措施如何通过构建新发展格局助力高质量发展，材料写主动对标国际规则、规制、管理和标准，引出制度型开放与经济全球化链条。
制度型开放,683,题目答案落点,保留为具体题目原文字段,【答案落点】我国主动对标国际规则、规制、管理和标准，推进制度型开放、深入融入经济全球化，为外循环提速和新发展格局构建提供开放条件。
制度型开放,698,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明为何能注入新动能和新活力 需要先用开放政策和经济全球化解释封关的理论原因。；材料写清单管理透明度和开放度提升 取消许可证管理 允许保税维修 引出市场准入和制度型开放示范。
制度型开放,701,题目答案落点,保留为具体题目原文字段,【答案落点】海南自贸港全岛封关是我国坚持对外开放基本国策、实施互利共赢开放战略、推进高水平对外开放的重要举措，有利于主动顺应并推动经济全球化发展。；封关扩大市场准入，为世界提供更大市场空间，并以制度型开放为全球提供高水平开放新范例，为世界经济开放发展注入新活力。
制度型开放,733,题目材料触发点,保留为具体题目原文字段,【材料触发点】题面写国际标准是全球产业界通用语言并说明中国标准走出国门融入全球产业发展体系 引出制度型开放和两个市场两种资源。
制度型开放,736,题目答案落点,保留为具体题目原文字段,【答案落点】中国标准走出国门有利于扩大制度型开放，推进高水平对外开放，更好利用国内国际两个市场两种资源，增强产品服务和产业链全球竞争力。
制度型开放,781,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明如何助力国际循环 材料显示封关制度安排打通一线二线岛内自由 引出制度型开放和国内国际循环联动。
制度型开放,784,题目答案落点,保留为具体题目原文字段,【答案落点】海南自贸港封关推进制度型开放，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应，为助力国际循环贡献中国方案。
全球南方,805,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和恢复和平，要求回答中国为联合国事业贡献什么。
全球南方,808,题目答案落点,保留为具体题目原文字段,【答案落点】中国以负责任、建设性态度参与联合国事务，反映全球南方声音，推动完善全球治理、构建新型国际关系和人类命运共同体，为联合国贡献中国智慧和中国方案。
南南合作,836,设问,保留为具体题目原文字段,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
