label,question_id,status,evidence_level,mat_atoms,rubric_atoms,path
裁判理由/表格裁判,CC0137_2025_昌平_二模_20,PASS,formal,24,15,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0137_2025_昌平_二模_20.md
评析行为/营商竞争,CC0238_2026_东城_二模_19,PASS,formal,8,6,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0238_2026_东城_二模_19.md
权利保护/人格权消费者,CC0289_2026_朝阳_二模_18,PASS,formal,6,8,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0289_2026_朝阳_二模_18.md
合同成立/诚信履约,CC0054_2024_石景山_一模_17,PASS,formal,9,6,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0054_2024_石景山_一模_17.md
知识产权/科技创新保护,CC0103_2025_丰台_一模_19,PASS,formal,4,1,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0103_2025_丰台_一模_19.md
劳动/平台用工裁决,CC0025_2024_朝阳_二模_17,PASS,formal,15,17,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0025_2024_朝阳_二模_17.md
纠纷解决/调解路径,CC0125_2025_延庆_一模_19,PASS,formal,10,5,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0125_2025_延庆_一模_19.md
制度意义/绿色民法典,CC0011_2024_丰台_二模_17,PASS,formal,10,1,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0011_2024_丰台_二模_17.md
劳动就业/性别歧视竞业限制,CC0373_2026_顺义_一模_18,PASS_RECOVERED,formal,3,7,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0373_2026_顺义_一模_18.md
合同格式条款/住房租赁,CC0317_2026_海淀_期中_18,PASS,formal,7,1,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0317_2026_海淀_期中_18.md
纠纷解决/调解优先创新保护,CC0283_2026_朝阳_一模_18,PASS,formal,9,5,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0283_2026_朝阳_一模_18.md
物权绿色发展/制度意义,CC0340_2026_西城_一模_17,PASS,formal,7,1,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0340_2026_西城_一模_17.md
侵权减责/好意同乘意义,CC0002_2024_丰台_一模_17,PASS,formal,8,6,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0002_2024_丰台_一模_17.md
AI数字员工/法律风险治理,CC0277_2026_房山_二模_18,PASS,formal,6,11,v8_student_usable_rebuild/02_gold_candidate_evidence_sheets_local/CC0277_2026_房山_二模_18.md
