node_id,类型,框架点,核心题支撑,核心题数量,OPEN_OR_REFERENCE,缺源/边界题,备注
S01,设问入口,问诉求/裁判理由,2025朝阳一模__Q19；2025昌平二模__Q20-sub2；2026石景山一模__Q18,3,,2025丰台期末__Q19；2025丰台期末__Q19(deferred),核心统计只数正式锁源题；参考和待补单列。
S02,设问入口,问评析/判断,2025东城二模__Q19；2025海淀期中__Q21-sub1；2026东城一模__Q18,3,,,核心统计只数正式锁源题；参考和待补单列。
S03,设问入口,问意义/价值/法治价值,2025房山一模__Q19；2025顺义一模__Q19-sub2；2024海淀二模__Q19-sub2；2024朝阳二模__Q17,4,,2025顺义一模__Q19,核心统计只数正式锁源题；参考和待补单列。
S04,设问入口,完成下表/以案说法,2025东城一模__Q19；2025东城二模__Q19；2025石景山一模__Q20；2025昌平二模__Q20-sub2；2026石景山一模__Q18,5,,,核心统计只数正式锁源题；参考和待补单列。
S05,设问入口,问'如何守护X力/护航X发展',2026东城一模__Q18；2026朝阳一模__Q18；2025石景山一模__Q20,3,,,核心统计只数正式锁源题；参考和待补单列。
S06,设问入口,问调解/维权/路径,2025顺义一模__Q19-sub2；2025顺义一模__Q19-sub1(deferred),2,,2025延庆一模__Q19；2025顺义一模__Q19；2025延庆一模__Q19(deferred),核心统计只数正式锁源题；参考和待补单列。
M01,材料触发,合同效力/履约/违约,2025东城一模__Q19；2025石景山一模__Q20；2025昌平二模__Q20-sub2,3,,2024石景山一模__Q17；2025丰台期末__Q19；2024石景山一模__Q17(deferred)；2025丰台期末__Q19(deferred),核心统计只数正式锁源题；参考和待补单列。
M02,材料触发,格式条款/捆绑销售/隐藏费用,2025东城二模__Q19；2025朝阳一模__Q19,2,,,核心统计只数正式锁源题；参考和待补单列。
M03,材料触发,消费者欺诈/退一赔三/知情权,2025朝阳一模__Q19,1,,,核心统计只数正式锁源题；参考和待补单列。
M04,材料触发,平台用工/三从属性/新就业形态,2024朝阳二模__Q17,1,,,核心统计只数正式锁源题；参考和待补单列。
M05,材料触发,知识产权/商业秘密/不正当竞争,2025丰台一模__Q19；2025房山一模__Q19；2025西城期末__Q19；2026东城一模__Q18；2026朝阳一模__Q18；2025石景山一模__Q20；2025昌平二模__Q20-sub2,7,,,核心统计只数正式锁源题；参考和待补单列。
M06,材料触发,人格权/隐私/名誉/AI著作权,2025东城二模__Q19；2025顺义一模__Q19-sub2；2025昌平二模__Q20-sub2；2025朝阳二模__Q20,4,,2025顺义一模__Q19,核心统计只数正式锁源题；参考和待补单列。
M07,材料触发,民事行为能力/未成年人保护,2025东城二模__Q19,1,,,核心统计只数正式锁源题；参考和待补单列。
M08,材料触发,物权/相邻关系/绿色原则,2025朝阳二模__Q20；2026西城一模__Q17；2025顺义一模__Q19-sub2,3,,2025顺义一模__Q19,核心统计只数正式锁源题；参考和待补单列。
M09,材料触发,继承/遗赠扶养/赡养,2024海淀二模__Q19-sub2；2025东城一模__Q19,2,,2024西城一模__Q18-sub3,核心统计只数正式锁源题；参考和待补单列。
M10,材料触发,纠纷解决机制/调解/仲裁/诉讼/举证,2025顺义一模__Q19-sub2；2024朝阳二模__Q17；2026石景山一模__Q18；2025东城一模__Q19；2026朝阳一模__Q18,5,,2025顺义一模__Q19,核心统计只数正式锁源题；参考和待补单列。
M11,材料触发,数据/数字经济立法/法治在新业态中的作用,2025东城一模__Q17,1,,,核心统计只数正式锁源题；参考和待补单列。
F01,反向筛,法院 ≠ 公正司法,,0,,-,核心统计只数正式锁源题；参考和待补单列。
F02,反向筛,平台 ≠ 自动认定劳动关系,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
F03,反向筛,消费者纠纷 ≠ 一律退一赔三,,0,,lecture,核心统计只数正式锁源题；参考和待补单列。
F04,反向筛,知识产权侵权 ≠ 一律不正当竞争,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
F05,反向筛,意义 ≠ 裸价值口号,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
F06,反向筛,继承 ≠ 子女均分,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
F07,反向筛,相邻关系 ≠ 物权之争,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
F08,反向筛,案例 ≠ 法考题,,0,,-,核心统计只数正式锁源题；参考和待补单列。
F09,反向筛,法律 ≠ 必修三政治与法治,,0,,-,核心统计只数正式锁源题；参考和待补单列。
F10,反向筛,平台经济 ≠ 经济与社会,,0,,formal,核心统计只数正式锁源题；参考和待补单列。
