entry_id,title,question_source,question_asset_count,question_assets,question_note,rubric_source,rubric_asset_count,rubric_assets,rubric_note
E001,2024 · 东城 · 一模 · 第19题,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E001_question_p9.jpg,,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E001_rubric_细则图片_1.jpg,formal scoring rubric from raw PPT; reference-answer PDF removed; .pptx source rendered from locked rubric text
E002,2024 · 东城 · 二模 · 第19题第1问,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E002_question_p9.jpg,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E002_rubric_细则图片_1.jpg,formal per-question marking summary from raw DOCX; reference-answer PDF removed; .docx source rendered from locked rubric text
E003,2024 · 东城 · 二模 · 第19题第2问,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E003_question_p9.jpg,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E003_rubric_细则图片_1.jpg,formal per-question marking summary from raw DOCX; reference-answer PDF removed; .docx source rendered from locked rubric text
E004,2024 · 丰台 · 二模 · 第17题,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E004_question_p5.jpg,,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E004_rubric_细则图片_1.jpg,.docx source rendered from locked rubric text
E005,2024 · 朝阳 · 二模 · 第17题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E005_question_p6.jpg,,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,2,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E005_rubric_p2_crop.jpg;/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E005_rubric_p3_crop.jpg,PDF rubric cropped to local text block(s)
E006,2024 · 海淀 · 一模 · 第19题,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E006_question_p7.jpg,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E006_rubric_细则图片_1.jpg,formal scoring table from raw DOCX appended to rubric image; .docx source rendered from locked rubric text
E007,2024 · 海淀 · 二模 · 第19题,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E007_question_试题图片_1.jpg,.docx source rendered from locked text because direct page rasterization is unavailable,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E007_rubric_image3.png,formal scoring rubric image embedded in raw DOCX
E008,2024 · 石景山 · 一模 · 第17题,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E008_question_试题图片_1.jpg,.docx source rendered from locked text because direct page rasterization is unavailable,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E008_rubric_细则图片_1.jpg,.pptx source rendered from locked rubric text
E009,2024 · 石景山 · 一模 · 第18题第2问【待确认】,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E009_question_试题图片_1.jpg,.docx source rendered from locked text because direct page rasterization is unavailable,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E009_rubric_细则图片_1.jpg,formal scoring rubric not found in raw source; reference answer removed
E010,2024 · 西城 · 一模 · 第18题第1问【待确认】,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/question/E010_question_试题图片_1.jpg,.docx source rendered from locked text because direct page rasterization is unavailable,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,1,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/05_output/image_packet_assets/rubric/E010_rubric_细则图片_1.jpg,.docx source rendered from locked rubric text
