suite_id,suite_name,item_type,question,status,evidence_level,evidence_path,evidence_lines,evidence_excerpt,student_entry,notes
S038,2026海淀一模,subjective,16,NEED_EVIDENCE,formal_answer_key_and_rubric_only,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md","31-32","16题细则写明可从发展的观点、社会存在与社会意识、价值观、文化的功能等角度作答。",no,"试卷为扫描版 rendered-ocr-needed，缺完整题干；不能因没有字面“物质决定意识”清掉唯物史观点，社会存在与社会意识已构成唯物史观信号，但学生版暂不入库。"
S038,2026海淀一模,choice,1-15,BLOCKED_QUESTION_TEXT_MISSING,answer_key_only,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md","24-28;116-125","答案键为1C 2B 3A 4B 5D 6B 7D 8A 9B 10D 11C 12C 13D 14A 15C；试卷扫描版无可靠文本层。",no,"有可靠答案键但无题干，不能生成完整客观题错肢链。"
S039,2026西城一模,subjective,16,PASS,formal_rubric_plus_paper_text,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md","23-36;280-283","全民阅读入法：细则要求回应阅读不只是个人私事，文化角度可写促进人的全面发展、传承民族文化、提高文明程度，哲学可写正确意识、联系、发展、价值观。",yes,"学生版写全民阅读从个人兴趣扩展到公共文明与国家发展。"
S039,2026西城一模,subjective,21,PASS,formal_rubric_plus_paper_text,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md","100-109;334-358","设问为中国式现代化关键时期更要坚持探索；细则明确可用实践观、矛盾观、发展观、规律与主观能动性关系、辩证思维、创新思维。",yes,"学生版写探索来自实践发展、问题倒逼和规律性认识深化。"
S039,2026西城一模,choice,1-15,BLOCKED_ANSWER_KEY_MISSING,paper_text_only,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md","140-277","试卷docx有1-15题题干和选项，但bundle与缓存未发现2026西城一模可靠客观题答案键。",no,"不得猜答案；客观题仅做边界记录。"
S041,2026朝阳一模,subjective,16,PASS,formal_rubric_plus_teacher_answer,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md","25-39;461-468;606-620","中国农历以日月运行客观规律为基础，通过十九年七闰、二十四节气协调差异；细则列尊重客观规律与发挥主观能动性、中华优秀传统文化、实践与认识、联系系统优化等。",yes,"主观题证据完整。"
S041,2026朝阳一模,choice_correct,4,PASS,teacher_version_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md","244-249;602-603","第4题答案B；材料为两园一河以文塑旅、以旅彰文，正确项指向文化与经济相互交融，错项含自在联系、两点论重点论误套。",yes,"哲学/文化选择题正确项与错肢入学生版。"
S041,2026朝阳一模,choice_correct,5,PASS,teacher_version_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md","250-259;602-603","第5题答案D；公交专线创新题中正确项为对传统公交模式扬弃、更好满足乘客需求，错误项包括系统优化旨在经济效益等不合题意。",yes,"辩证否定正确项入学生版，注意不得泛化为所有新旧结合。"
S041,2026朝阳一模,choice_correct,7,PASS,teacher_version_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md","273-280;602-603","第7题答案C；学农实践题正确项含实践第一观点与辩证思维整体性，错项包括抽象到具体误判。",yes,"哲学选择题入学生版。"
S041,2026朝阳一模,choice,1-15,PASS_FULL_OBJECTIVE,teacher_version_answer_key,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md","602-603","答案键：1B 2A 3D 4B 5D 6D 7C 8A 9C 10C 11B 12A 13B 14C 15C。",no,"15题全处理，哲学/文化相关题另入学生版。"
S042,2026丰台一模,subjective,philosophy_culture_group,NEED_EVIDENCE,marking_ppt_only,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md","97-103;148-151;181-199","阅卷PPT有人工智能相关哲学和文化评分方向：矛盾观点、联系观点、正确价值观、辩证否定观；文化方向含以人民为中心、科学精神与人文精神、文化创新与传承。",no,"PPT为主观题阅卷说明，试卷为扫描 rendered-ocr-needed，缺完整题面；只作证据等级记录，不进入学生版。"
S042,2026丰台一模,choice,1-15,BLOCKED_SCAN_AND_KEY_MISSING,scan_only_plus_marking_ppt,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md","21-23;339-346","来源为主观题阅卷说明PPT；试卷丰台一模.pdf status rendered-ocr-needed，chars 0。",no,"未发现可靠客观题答案键和题干文本；需OCR或补源。"
S043,2026延庆一模,subjective,16,PASS,formal_rubric_plus_teacher_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md","58-80;302-320","城市文脉题：细则列矛盾观、群众观点、矛盾特殊性、辩证否定观、文化传承创新等；题干材料给微更新、避免千城一面、公众获得感、城市凝聚力。",yes,"学生版写城市更新中文脉赓续。"
S043,2026延庆一模,subjective,18(2),PASS,formal_rubric_plus_teacher_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md","99-107;340-366","虚拟数字人直播治理题：细则要求辩证思维、适度原则、创新思维、辩证否定任选三，材料呈现全面禁止与放任自由发展两种极端。",yes,"学生版写技术治理不能一禁了之或放任。"
