entry_id,suite_id,suite_name,question,entry_type,knowledge_point,status,evidence_level,evidence_ref,evidence_excerpt,boundary_note
2025B-S026-M01,S026,2025海淀二模,16,subjective,联系观点与系统优化,PASS,讲评PDF+细则docx,"bundle lines 47-83; 759-790","题面为信息时代是否还需要记忆大量知识；细则列联系观点、整体与部分、系统优化；知识3分、材料分析3分","学生版不展示路径；海淀试卷为扫描缓存，题面来自讲评和细则"
2025B-S026-M02,S026,2025海淀二模,16,subjective,量变是质变的必要准备,PASS,讲评PDF+细则docx,"bundle lines 70-82","细则可选知识列发展的观点、量变是质变的前提和基础","高风险词未涉及"
2025B-S026-M03,S026,2025海淀二模,16,subjective,辩证否定,PASS,讲评PDF+细则docx,"bundle lines 70-82","讲评列辩证否定，要求结合AI时代学习方式作答","辩证否定属高风险词，已由讲评原词支持"
2025B-S026-M04,S026,2025海淀二模,16,subjective,认识能动反映与主观能动性,PASS,讲评PDF+细则docx,"bundle lines 76-82","讲评列认识是主体对客体的能动反映、意识能动作用、人的主观能动性","主观能动性有评分文本支持"
2025B-S027-M01,S027,2025西城二模,16(1),subjective,尊重规律与正确发挥主观能动性,PASS,答案及评分细则docx,"bundle lines 29-51; 331-340","细则明示可从尊重规律、正确发挥主观能动性角度作答，并给出废弃水井变动物乐园例证","按用户提醒，不把联系客观性作为稳定触发"
2025B-S027-M02,S027,2025西城二模,16(1),subjective,具体问题具体分析,PASS,答案及评分细则docx,"bundle lines 29-51; 331-340","细则明示具体问题具体分析，材料为不同体型动物需求和村落遗址条件","稳定触发"
2025B-S027-M03,S027,2025西城二模,16(1),subjective,价值观的导向作用,PASS,答案及评分细则docx,"bundle lines 29-51","细则明示发挥价值观导向作用、树立生态价值观","价值观导向属高风险词，已由细则原词支持"
2025B-S028-M01,S028,2025东城二模,16,subjective,一切从实际出发,PASS,阅卷报告PDF,"bundle lines 23-31; 374-380","本题标准和变通列物质决定意识、一切从实际出发；材料为AI技术现状、应用场景和风险","稳定触发"
2025B-S028-M02,S028,2025东城二模,16,subjective,对立统一与全面看问题,PASS,阅卷报告PDF,"bundle lines 32-35","阅卷报告列矛盾是对立统一、全面看问题；人工智能机遇和风险并存","稳定触发"
2025B-S028-M03,S028,2025东城二模,16,subjective,实践是认识的基础,PASS,阅卷报告PDF,"bundle lines 36-40","阅卷报告列实践是认识的基础、认识反复性无限性上升性","稳定触发"
2025B-S028-M04,S028,2025东城二模,16,subjective,人民群众观点,PASS,阅卷报告PDF,"bundle lines 41-44","阅卷报告列人民群众是历史的创造者，要求坚持群众观点群众路线","稳定触发"
2025B-S029-M01,S029,2025朝阳二模,16,subjective,文化传承与文化功能,PASS,细则docx,"bundle lines 35-84","评分细则列从游提供知识传承与引导、文化功能","稳定触发"
2025B-S029-M02,S029,2025朝阳二模,16,subjective,从游与自学的对立统一,PASS,细则docx,"bundle lines 35-84","细则列二者相辅相成、共同促进人才成长","稳定触发"
2025B-S029-M03,S029,2025朝阳二模,16,subjective,实践与认识相互促进,PASS,细则docx,"bundle lines 57-84","细则列自学是在实践中不断深化认识、从游是获取间接经验途径","稳定触发"
2025B-S030-M01,S030,2025丰台二模,16(1),subjective,实践育人与文化传承创新,PASS,评标细则doc,"bundle lines 461-490; 535-566","评标要求至少一个哲学原理加文化分析，关键词含文化传承、文化创新、文化交流与交融、实践观点","稳定触发"
2025B-S030-M02,S030,2025丰台二模,16(1),subjective,知行合一与实践是认识的基础,PASS,评标细则doc,"bundle lines 469-490; 557-566","评标解析列实践决定认识、认识指导实践、以知导行、亲身实践检验深化知","稳定触发"
2025B-S030-M03,S030,2025丰台二模,21,subjective,尊重客观规律与发挥主观能动性,PASS,21题评标细则docx,"bundle lines 1141-1163","评标示例写把握规律、主动实践；9分标准必采客观规律主观能动性辩证关系","稳定触发"
2025B-S031-M01,S031,2025昌平二模,16,subjective,正确价值观与人生价值,PASS,评标PPT,"bundle lines 106-129; 514-515","评标列正确价值观、实现人生价值；材料为书法、人品、家国气节","价值观导向有评标支撑"
2025B-S031-M02,S031,2025昌平二模,16,subjective,文化载体与优秀传统文化,PASS,评标PPT,"bundle lines 111-123; 514-515","评标列文化载体、文化作用、优秀传统文化传承、民族精神、文化自信","稳定触发"
2025B-S031-M03,S031,2025昌平二模,16,subjective,联系观点看文化现象,PASS,评标PPT,"bundle lines 124-129","评标列事物是普遍联系的，用联系观点看问题，从书法中汲取信仰与力量","稳定触发"
