suite_id,suite_name,entry_type,question,knowledge_point,evidence_level,evidence_path,evidence_excerpt,boundary_status
S049,2026海淀期末,subjective,Q16,矛盾观点与意识能动作用,formal scoring standard,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md:21-22","16题评分标准列出：可从矛盾的观点、意识的能动作用、实践的观点等角度作答；细则要求矛盾观、知、行分别给分。",PASS
S049,2026海淀期末,subjective,Q17,联系观点与民族精神/文化发展,teacher answer with level rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md:64-67","17题参考答案列出：可从联系的观点、价值观、弘扬民族精神、发展中国特色社会主义文化等角度作答。",PASS
S050,2026西城期末,subjective,Q16(1),文化自信的实践根基与人民立场,teacher answer,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md:97-108","答案写明立足社会实践、坚持以人民为中心、讲好中国故事、创新表达形式来增强文化自信。",PASS
S050,2026西城期末,subjective,Q16(2),实践检验真实与正确价值观,teacher answer,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md:111-120","答案写明真实内容经过实践检验，人民群众创造精神财富，真实信息引导正确价值观。",PASS
S050,2026西城期末,subjective,Q21,实事求是/发展观点与综合理解,marking PPT + teacher answer,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md:22-34","评标PPT列出21题可从党的领导、全过程人民民主、实事求是、发展的观点等角度作答。",PASS
S051,2026东城期末,subjective,Q16,对立统一/中华优秀传统文化/价值观,formal marking notes,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:155-176","主观题细则列出哲学：矛盾对立统一、价值观、意识能动作用、整体部分；文化：中华优秀传统文化、民族精神、文化作用。示例以留白、清白、文化功能展开。",PASS
S051,2026东城期末,subjective,Q21,系统观念与区域协调,marking notes,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md:546-552","参考示例要求从整体统筹全局，以优势地区带动其他地区发展，统筹东中西部、南北方协调发展。",PASS
S052,2026朝阳期中,subjective,Q18,一分为二看AI情绪价值,formal marking rules,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:54-87","细则要求总说矛盾普遍性/对立统一/一分为二，分别分析AI提供情绪价值的长处与缺陷，并提出规范使用。",PASS
S052,2026朝阳期中,subjective,Q19,抗战精神与文化功能,formal marking rules,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:89-105","细则要求写抗战精神是什么、为什么弘扬、如何弘扬；文化角度含民族精神作用、优秀文化对人/民族/社会、文化功能、优秀传统文化当代价值。",PASS
S052,2026朝阳期中,subjective,Q20,辩证思维看机遇与挑战,formal marking rules,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:110-124","细则要求矛盾分析法、分析与综合、质量互变、动态性思维，每个角度都要知识加材料。",PASS
S052,2026朝阳期中,subjective,Q21(1),文化传承创新与人文经济,formal marking rules,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:128-142","细则列出文化传承与创新角度：传承与发展、文化对人、文化自信；经济与文化良性互动。",PASS
S053,2026朝阳期末,subjective,Q16,传统文化创造性转化与辩证否定观,rendered rule page,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\487b2d15b3a3ac2b\page_001.png","可读页图显示：传统戏曲焕发新的生命力是中华优秀传统文化的传承与创新统一；要遵循辩证否定观，剔除与当代社会脱节部分，保留艺术精髓，赋予时代内涵。",PASS_WITH_RENDER
S054,2026丰台期末,subjective,Q16,留白中的对立统一/适度/整体与部分/传统文化,formal scoring analysis,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026丰台期末.md:24-59","评分分析要求3个角度且哲学与文化兼顾；哲学角度含对立统一、适度原则、整体部分、主观能动性；文化角度为中华优秀传统文化美学智慧。",PASS
S055,2026石景山期末,subjective,Q18(1),联系/发展/矛盾/传统文化传承,answer and scoring reference only,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md:39-60","答案及评分参考写明18(1)可从联系、发展、矛盾、中华优秀传统文化传承等角度回答，并给等级水平。",REFERENCE_ONLY
S056,2026通州期末,subjective,Q16,一切从实际出发/发展观/辩证否定/文化双创,scoring PPT + teacher answer,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:227-280","细则写明都江堰题可从一切从实际出发、尊重规律和发挥主观能动性、发展观、中华民族精神、中华优秀传统文化创造性转化和创新性发展等角度作答。",PASS
S056,2026通州期末,subjective,Q21,整体与部分/系统优化联系,scoring PPT,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:183-226","细则要求综合运用所学阐释中国式现代化，哲学可写整体与部分的辩证统一、系统优化联系、联系观点看问题。",PASS
