suite_id,suite_name,question_no,entry_type,module,status,source_path,evidence_excerpt,evidence_level,boundary_note,fallback_used
S001,2024海淀一模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md","答案键可读：1B 2A 3C 4D 5C 6B 7C 8D 9B 10D 11C 12B 13A 14D 15A。","answer docx + formal rubric","客观题全 15 题完成；学生版只迁入哲学/文化相关正确项和典型错肢。",no
S002,2024西城一模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md","答案键可读：1C 2A 3D 4B 5B 6C 7A 8D 9D 10A 11B 12C 13B 14A 15C。","answer docx + formal rubric","客观题全 15 题完成；17题生态价值观只按细则支撑保守表达。",no
S003,2024东城一模,choice-all,choice-review,全模块,NEED_EVIDENCE,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024东城一模.md","Sources 标记试卷 PDF 和答案 PDF 为 rendered-ocr-needed，细则 PPT 可读但不能补出完整客观题 key。","cache metadata + rubric ppt","客观题不算全处理；主观只可用可读细则保守记录。",no
S004,2024朝阳一模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md","答案表可读：1B 2C 3B 4A 5A 6B 7C 8D 9D 10C 11B 12C 13D 14A 15C。","answer docx + lecture/rubric ppt","客观题全 15 题完成；第3、4题进入哲学/文化学生版。",no
S005,2024丰台一模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md","答案表可读：1B 2D 3D 4C 5D 6B 7C 8D 9C 10A 11D 12A 13B 14B 15A。","paper+answer pdf text + formal scoring docx","客观题全 15 题完成；第1题文化正确项和错肢入学生版。",no
S006,2024石景山一模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md","教师版答案键可读：1C 2B 3D 4A 5C 6A 7B 8B 9C 10A 11D 12D 13B 14C 15C。","teacher-version answer","客观题可处理；主观题缺正式评标/阅卷来源，只能 reference-only。",no
S007,2024门头沟一模,choice-all,choice-review,全模块,NEED_EVIDENCE,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__其他材料__202404各区一模试题分类_按模块.md; C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf","分类汇编可定位若干门头沟题；补源 PDF 存在但文本提取为 0 字，不能形成完整答案 key。","classification bundle + scan-only supplemental","classification-bundle-supplement；主观题 reference-only，客观题不算全处理。",yes
S008,2024海淀二模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024海淀二模.md","答案键可读：1C 2D 3C 4B 5A 6C 7D 8B 9D 10B 11A 12B 13A 14C 15D。","answer docx + formal rubric","客观题全 15 题完成。",no
S009,2024西城二模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024西城二模.md","答案键可读：1B 2D 3D 4D 5C 6D 7A 8C 9B 10B 11B 12A 13C 14A 15C。","answer docx + formal rubric","客观题全 15 题完成；17题人与自然链入学生版。",no
S010,2024东城二模,choice-all,choice-review,全模块,NEED_EVIDENCE,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024东城二模.md","试卷/答案 PDF 为 rendered-ocr-needed；逐题阅卷总结可读但不能替代客观题完整 key。","cache metadata + formal subjective rubrics","客观题不算全处理；高风险词只按源文标 NEED_EVIDENCE 或边界。",no
