suite_id,suite_name,question_no,question_type,module,entry_kind,evidence_level,source_path,evidence_excerpt,material_trigger,knowledge_point,answer_landing,status,risk_note
S001,2024海淀一模,17(2),subjective,逻辑与思维,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md -> 2024海淀一模细则.docx","细则列出：各自功能定位和特色优势；共商合作大计、优势互补；在分析与综合的对立统一中把握发展特质服务协同发展。","京津冀三地先分别分析功能定位、特色优势，再在协同发展大局中推动优势互补。","分析与综合相结合","答案落点：先分析三地差异和优势，再综合形成协同发展整体方案，说明区域合作要在整体目标统摄下实现优势互补。",PASS,"细则中有“分析与综合/对立统一”支撑；未单独扩写主次矛盾。"
S001,2024海淀一模,17(3),subjective,政治与法治,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md -> 2024海淀一模细则.docx","细则：政府用法治思维和法治方式履行职责；互联网人工智能等科技手段优化服务；营造良好市场环境、监管规范、文明执法。","政府服务新经济新业态，既用科技和金融服务支持创新，也通过监管规范和文明执法优化营商环境。","法治政府履职与服务型政府建设","答案落点：政府应依法履职、优化服务、规范监管，让行政服务和市场环境共同支撑首都新经济高质量发展。",PASS,"无。"
S002,2024西城一模,16,subjective,政治与法治,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md -> 2024西城一模细则.docx","细则：法制统一和地方立法特色；科学立法、民主立法；全过程人民民主；保障知情权、参与权和表达权。","北京市人大修订未成年人保护条例，广泛听取未成年人、家长、人大代表、专家、学校教师等意见。","科学立法、民主立法、全过程人民民主","答案落点：市人大通过问题导向、广泛听取意见和依法立法，把社会关切转化为良善管用的地方性法规。",PASS,"无。"
S002,2024西城一模,18,subjective,法律与生活,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md -> 2024西城一模细则.docx","细则：书记员与当事人存在师生、朋友等关系可能影响公正审理；成年子女对父母有赡养义务；发出督促履行义务告知书保护合法权益。","模拟庭审中书记员回避、子女赡养义务与法院督促履行义务告知书相连。","诉讼回避制度与成年子女赡养义务","答案落点：应说明回避保障公正审理，赡养义务包括精神慰藉，法院告知书用法治方式维护老人权益并引导孝老敬亲。",PASS,"无。"
S002,2024西城一模,17,subjective,哲学与文化,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md -> 2024西城一模细则.docx","答案/补充提到生态价值观、人和自然生命共同体、人与自然和谐共生、实践与认识、规律与主观能动性等角度。","城市公园把植物生长交给自然，呈现生物多样性和自然演替。","尊重客观规律、人与自然和谐共生","答案落点：处理人与自然关系应避免人类中心主义，在尊重自然规律基础上发挥人的能动性，促进生态系统自然恢复和人与自然和谐。",PASS,"源文虽出现价值观等高风险词，但本行 knowledge_point 只采用有材料与答案共同支撑的低风险表述。"
S003,2024东城一模,16,subjective,哲学与文化,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024东城一模.md -> 2024东城一模细则.pptx","细则：16题阅卷细则，哲学3分，文化4分，要求形成、发展、价值三个情境层次。","材料围绕文化形成、发展与价值展开，细则要求哲学与文化两方面回应。","文化发展与哲学方法综合分析","答案落点：应按形成、发展、价值三层，把文化传承创新与哲学方法对应起来，说明文化实践如何形成价值并服务现实。",PASS,"试卷 PDF 与答案 PDF 为 rendered-ocr-needed，需后续 OCR 对完整题干复核。"
S003,2024东城一模,20,subjective,经济与社会,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024东城一模.md -> 2024东城一模细则.pptx","细则列出：推进设备更新和消费品以旧换新；降低物流成本；对标国际规则推进制度型开放；放宽市场准入吸引全球资源要素。","材料指向加快构建新发展格局和推动高质量发展的政策组合。","扩大内需、畅通国内循环、推进高水平开放","答案落点：通过消费投资联动、物流降本、制度型开放和市场准入放宽，增强国内国际两个市场两种资源联动，推动高质量发展。",PASS,"题干原 PDF 仍需 OCR 对照。"
S004,2024朝阳一模,16,subjective,政治与法治,material-knowledge-trigger,lecture scoring / rubric support,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md -> 2024朝阳一模细则.pptx","材料：毛泽东给出第一个答案“让人民来监督政府”，新时代给出第二个答案“勇于自我革命”。讲评要求关系类答案模型：定、分、联、总。","人民监督与自我革命作为跳出历史周期率的两个答案被并列呈现。","人民监督与党的自我革命的关系","答案落点：外部监督和党内自我革命各有侧重又相互促进，共同服务党长期执政和国家治理现代化。",PASS,"无。"
S004,2024朝阳一模,18,subjective,经济与社会,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md -> 2024朝阳一模细则.pptx","题干：科技创新、科学普及是实现创新发展的两翼。细则/讲评围绕设问建答案：材料语言+教材语言+时政语言。","科技创新与科学普及作为创新发展的两翼，需要协同发挥作用。","创新驱动发展与科学素质支撑","答案落点：既要加强科技创新供给，又要提升科学普及和公众科学素养，使创新成果转化为高质量发展动力。",PASS,"无。"
S005,2024丰台一模,16,subjective,政治与法治,material-knowledge-trigger,formal rubric,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md -> 2024丰台一模细则.docx","评分标准说明围绕“四下基层”注入强劲动力，答案含党的领导、群众路线、实事求是、为群众办实事解难题、推动作风转变。","宣传政策、调查研究、信访接待、现场办公下基层，把干部与群众连接起来。","党的领导、群众路线、基层治理效能","答案落点：四下基层使党的路线方针政策直达基层，干部在群众中解决问题、改进作风，从而提升治理效能。",PASS,"无。"
