"suite_id","suite_name","question_no","question_type","module","entry_kind","evidence_level","source_path","evidence_excerpt","material_trigger","knowledge_point","answer_landing","status","risk_note"
"S016","2025海淀一模","16","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025海淀一模.md","可从矛盾分析法、实践与认识的关系、价值观等角度作答。","MBTI测试既能降低社交成本，也可能固化标签、放大群体极化。","矛盾分析法/一分为二","既看到测试工具的积极作用，也看到过度标签化的风险，防止片面化。","included",""
"S016","2025海淀一模","16","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025海淀一模.md","可从矛盾分析法、实践与认识的关系、价值观等角度作答。","人的性格像河流一样不断流动、不断变化，16种字母组合不能完全呈现复杂性。","实践与认识/认识发展","认识人的性格要在真实交往和社会实践中不断修正，不能把测试结论绝对化。","included",""
"S016","2025海淀一模","16","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025海淀一模.md","可从矛盾分析法、实践与认识的关系、价值观等角度作答。","测试标签会影响自我认识和交往方式。","价值判断与价值选择","使用测试要坚持正确价值导向，尊重人的丰富性和发展可能。","included",""
"S017","2025西城一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025西城一模.md","可从知行关系、继承弘扬中华优秀传统文化等角度作答。","从诵读观看，到实地研学，再到校园诗经角和旅游路线设计。","知行统一/实践与认识","学习传统文化不能停留在文本记忆，要在实践体验和持续行动中深化理解。","included",""
"S017","2025西城一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025西城一模.md","可从知行关系、继承弘扬中华优秀传统文化等角度作答。","诗经主题研学把自然、民俗、历史背景与现代项目设计连起来。","中华优秀传统文化传承发展","通过创造性活动激活传统经典的当代表达，推动优秀传统文化活起来。","included",""
"S017","2025西城一模","17","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025西城一模.md","可从追求认识的客观性、运用辩证思维方法、具有创新意识等角度作答。","生态心建设从当地自然条件出发，遵循自然规律。","一切从实际出发/尊重规律","评价建设方案要看它是否立足客观条件、尊重规律，并用创新方法解决实际问题。","included",""
"S018","2025东城一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md","春节是中华民族社会生活实践的产物/承载着中华民族独特的精神传统和文化活动/中华优秀传统文化/源远流长、博大精深。","传统的中国年包含写春联、贴年画、守岁、拜年、观灯等生活实践。","中华优秀传统文化源远流长、博大精深","中国年生生不息，首先在于它承载中华民族长期生活实践和精神传统。","included",""
"S018","2025东城一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md","春节增强了民族自豪感和凝聚力/满足人们对美好生活的向往、期待/引领风尚、教育人民、服务社会、推动发展的功能。","阖家团圆、和睦喜庆、对新一年真诚期盼。","文化功能","春节满足人民精神文化需求，增强民族凝聚力，发挥优秀文化的社会功能。","included",""
"S018","2025东城一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md","传统文化创造性转化创新性发展/立足时代之基、回答时代之问/融通不同资源、综合创新。","机器人小狮子与醒狮共舞，滑雪场运动过大年成为时尚。","创造性转化和创新性发展","中国年把传统习俗与现代科技、时代生活结合起来，所以能够不断获得新生命力。","included",""
"S018","2025东城一模","16","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md","哲学可用知识：价值观的导向作用、价值判断和价值选择；矛盾普遍性与特殊性的辩证关系。","春节蕴含热爱和平、和谐发展的理念，唤醒世界共鸣。","价值观导向/矛盾普遍性与特殊性","以共同价值追求连接中国表达和世界共鸣，说明民族的也可以成为世界的。","included","高风险词价值观导向有细则中价值观原词支撑"
"S020","2025丰台一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025丰台一模.md","可从践行社会主义核心价值观、传承中华优秀传统文化、坚持理想信念等角度作答。","家风的家既是家庭的家，也是国家的家，家风建设与国运同频共振。","社会主义核心价值观","新时代家风建设要把家庭美德同国家价值要求统一起来。","included",""
"S020","2025丰台一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025丰台一模.md","要求明确指出要坚持和践行社会主义核心价值观，否则不能满分。","家风建设要锚定根基之点、校准时代之点。","中华优秀传统文化传承","既传承家风中的优秀传统，又回应新时代家国同构的价值要求。","included",""
"S021","2025延庆一模","16","主观题","哲学","material_to_rubric","formal-answer","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025延庆一模.md","坚持具体问题具体分析。针对中老年群体的认知特点和需求，创作符合其审美习惯、价值观念的网络文艺作品。","中老年观众资源搜索不便，缺乏即时文艺消费方式。","具体问题具体分析","网络文艺适老化要从老年群体实际需求出发，避免简单套用年轻化模式。","included",""
"S021","2025延庆一模","16","主观题","文化","material_to_rubric","formal-answer","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025延庆一模.md","坚持以人民为中心。立足老年群体精神文化需求，通过简化操作、优化内容推荐等方式，提升文艺作品的便捷性和实用性。","微短剧方便快捷，适时满足中老年观众需要。","以人民为中心的文化创作","创作要回应人民群众分层多样的精神文化需求。","included",""
"S021","2025延庆一模","16","主观题","文化","material_to_rubric","formal-answer","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025延庆一模.md","树立正确价值导向。抵制低俗化、极端化创作，弘扬社会主义核心价值观。","部分作品故意制造冲突、情节夸张离谱、价值观念违背时代潮流。","正确价值导向/社会主义核心价值观","适老化不是迎合流量，要坚持社会效益和正确价值导向。","included","高风险词价值导向有答案原词支撑"
"S023","2025石景山一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025石景山一模.md","可从联系的观点、发展的观点、中华优秀传统文化的特点及其当代价值等角度回答。","中华版本包括古今中外载有中华文明印记的各类版本资源，是文脉赓续、文化传承的重要载体。","中华优秀传统文化的特点及当代价值","版本资源承载文脉，能帮助理解中华文明的连续性和创造性。","included",""
"S023","2025石景山一模","16","主观题","哲学","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025石景山一模.md","可从联系的观点、发展的观点、中华优秀传统文化的特点及其当代价值等角度回答。","不数既往，不能知将来；不求远因，不能明近果。","联系观点/发展观点","把历史、现实和未来联系起来，才能理解文化传承对当下和未来发展的意义。","included",""
"S024","2025门头沟一模","16","主观题","文化","material_to_rubric","formal-answer","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025门头沟一模.md","文化角度可从文化的传承与创新、中华优秀传统文化的创造性转化与创新性发展、文化自信和文化认同、文化与经济的关系等角度作答。","故宫数字文物展览、八达岭智能导览、北京胡同数字地图和多媒体展示。","文化传承与创新/科技赋能文化","数字化转型让文化遗产以新的方式被看见、理解和传播。","included",""
"S024","2025门头沟一模","16","主观题","哲学","material_to_rubric","formal-answer","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025门头沟一模.md","哲学角度可从联系观、发展观、对立统一、价值判断和价值选择等角度作答。","古老文化遗产与现代数字技术深度融合。","联系观点/发展观点","文化和科技相互作用，推动文旅产业在继承中发展。","included",""
"S025","2025顺义一模","16","主观题","文化","material_to_rubric","formal-rubric","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025顺义一模.md","文化角度：文化载体、文化功能、中华文化与中华文明、双创。双创——以文化载体承载中华优秀传统文化——创造性转化、创新性发展。","哪吒、黑悟空、唐宫夜宴等用新的艺术形式表达传统文化。","创造性转化和创新性发展","让古老文化成为新生表达，要用符合时代特点的新内容、新形式承载传统文化。","included","按预警处理：不写成评分细则明确要求辩证否定或守正创新"
