suite_id,source_type,source_file,cache_file,hit_count,terms
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,04892ae21c_2024丰台二模细则.txt,10,两个市场;两种资源;中国方案;中国智慧;人类命运共同体;全球治理;共商共建共享;南南合作;国际关系民主化;大国担当;当代国际政治与经济;经济全球化;高水平对外开放
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx,0b10635c63_2025顺义一模细则.txt,1,中国方案;人类命运共同体;共商共建共享;和平外交;国际关系民主化;大国担当;开放型经济;独立自主;经济全球化
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\细则\2026房山一模细则.docx,1a3bb36073_2026房山一模细则.txt,7,一带一路;两个市场;两种资源;中国方案;中国智慧;制度型开放;开放型经济;经济全球化;贸易投资自由化;高水平对外开放
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx,1d378ab098_2024顺义思政二模细则.txt,1,世界多极化;人类命运共同体
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\20题.docx,23da5ae74b_20题.txt,7,中国方案;中国智慧;人类命运共同体;全球南方;全球治理;共商共建共享;国际关系民主化;多边主义;当代国际政治与经济;经济全球化;联合国;高水平对外开放
2026各区期末和期中,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026丰台期末\细则\2026丰台期末细则.pdf,2a0cb66964_2026丰台期末细则.txt,12,人类命运共同体;全球治理;共商共建共享;多边主义;当代国际政治与经济;新型国际关系;联合国
2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,2a7ea5f3ed_2024东城一模细则.txt,8,两个市场;两种资源;人类命运共同体;共同利益;制度型开放;国家安全;国际关系民主化;总体国家安全观;新型国际关系;经济全球化;高水平对外开放
2026各区期末和期中,marking-report,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\其他材料\西城高三期末评标.pptx,2f68faeb99_西城高三期末评标.txt,2,两种资源;高水平对外开放
2026各区一模,marking-report,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,308dd1fe57_chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则_1_.txt,9,两个市场;两种资源;人类命运共同体;共商共建共享;当代国际政治与经济;新型国际关系;经济全球化;贸易投资自由化;高水平对外开放
2025各区期末,lecture-scoring,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\其他材料\2025。1东城讲评 修改.pdf,3463c1b333_2025_1东城讲评_修改.txt,4,互利共赢;当代国际政治与经济;经济全球化;贸易保护主义
2024各区一模,lecture-scoring,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,36ca0adcf3_202404朝阳高三政治一模试卷讲评.txt,7,两个市场;两种资源;人类命运共同体;全球治理;制度型开放;国家安全;大国担当;总体国家安全观;新型国际关系;独立自主;经济全球化;高水平对外开放
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\20.pptx,419f58fa6c_20.txt,2,中国方案;人类命运共同体
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\细则\2026顺义一模细则.pptx,4643c1342d_2026顺义一模细则.txt,13,中国方案;中国智慧;互利共赢;人类命运共同体;全球南方;全球治理;共同利益;南南合作;和平外交;多边主义;当代国际政治与经济;新型国际关系;独立自主;经济全球化
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,58b8d35279_2024朝阳二模细则.txt,6,人类命运共同体;全球治理;共同利益;共商共建共享;多边主义;当代国际政治与经济;新型国际关系;独立自主
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx,5b30c37177_2025西城一模细则.txt,7,一带一路;两个市场;两种资源;中国方案;中国智慧;互利共赢;人类命运共同体;共同利益;经济全球化
2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,5ef0821051_2024海淀一模细则.txt,5,两个市场;两种资源;互利共赢;开放型经济;高水平对外开放
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx,6204ead487_2025延庆一模细则.txt,3,世界多极化;人类命运共同体;全球供应链;共同利益;多边主义;经济全球化;高水平对外开放
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\细则\2025西城二模细则.docx,629359e6f8_2025西城二模细则.txt,4,互利共赢;国家安全;大国担当;经济全球化
2026各区期末和期中,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\细则\2026东城期末细则.pptx,6342de0155_2026东城期末细则.txt,23,一带一路;中国方案;互利共赢;人类命运共同体;全球治理;共商共建共享;制度型开放;国家安全;经济全球化;高水平对外开放
2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,6355e4d9e9_2024朝阳一模细则.txt,7,两个市场;两种资源;人类命运共同体;全球治理;制度型开放;国家安全;大国担当;总体国家安全观;新型国际关系;独立自主;经济全球化;高水平对外开放
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx,63569c0f17_2025朝阳二模细则.txt,1,人类命运共同体;全球治理;共同利益;和平外交;国家安全;国际关系民主化;多边主义;开放型经济;当代国际政治与经济;新型国际关系;独立自主;经济全球化
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf,6758416a77_2025房山一模细则.txt,5,人类命运共同体;全球治理;经济全球化;联合国;高水平对外开放
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx,69839ac13a_2024海淀二模细则.txt,1,世界多极化;人类命运共同体
2025各区期末,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\细则\2025海淀期中细则.docx,6b7a40ba9f_2025海淀期中细则.txt,2,两个市场;两种资源;独立自主;经济全球化
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx,6c25dc5749_2025海淀一模细则.txt,1,和平外交;独立自主
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\21题.docx,701067a6ff_21题.txt,1,一带一路;全球治理
2024各区二模,marking-report,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,71ce951187_20小题二模阅卷总结.txt,2,人类命运共同体;当代国际政治与经济;联合国
