"source_path","pages","ocr_text","chars"
"C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf","8","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\57ddd500c48eeec9_丰台高三二模政治试卷.txt","26038"
"C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf","1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\8db78abe18de2309_002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.txt","7185"
"C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf","12","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\da9fdcae666d3412_001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.txt","25777"
"C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf","1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\7b4eece2963205d8_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).txt","6003"
"C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf","12","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\74cdfac9253763bf_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).txt","24223"
"C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\细则\2025朝阳期末细则.pdf","6","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\953eaee3f98d8598_2025朝阳期末细则.txt","21662"
"C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\试卷\2025北京海淀高三二模政治.pdf","8","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\7ff16fecb25f793f_2025北京海淀高三二模政治.txt","30221"
"C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13 21.42.pdf","6","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\613f35ecb7c41e67_扫描全能王_2025-05-13_21.42.txt","19751"
"C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf","3","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\f5f683a900508fd2_2025朝阳一模细则.txt","12482"
"C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf","5","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\54715a1e650d940e_2026西城期末细则.txt","16552"
"C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期中\细则\2026海淀期中细则.pdf","107","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\e65381bd22912637_2026海淀期中细则.txt","98512"
"C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期末\细则\2026朝阳期末细则.pdf","4","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\487b2d15b3a3ac2b_2026朝阳期末细则.txt","16688"
