suite,question_no,status,next_required_action
2026通州期末,20,not_closed,source read/recheck before entry promotion
2026朝阳期中,17,not_closed,source read/recheck before entry promotion
2025海淀期中,16,not_closed,source read/recheck before entry promotion
2025海淀期中,21,not_closed,source read/recheck before entry promotion
2025海淀期末,22,not_closed,source read/recheck before entry promotion
2025海淀二模,21,not_closed,source read/recheck before entry promotion
2024东城一模,16,not_closed,source read/recheck before entry promotion
2024东城一模,20,not_closed,source read/recheck before entry promotion
2026朝阳一模,20,not_closed,source read/recheck before entry promotion
2026顺义一模,20,not_closed,source read/recheck before entry promotion
2026西城期末,20,not_closed,source read/recheck before entry promotion
