block_id,type,style,text
1,paragraph,Normal,
2,paragraph,Normal,
3,paragraph,Normal,
4,paragraph,Normal,选择性必修一
5,paragraph,Normal,《当代国际政治与经济》主观题术语宝典
6,paragraph,Normal,
7,paragraph,Normal,飞哥正志讲堂
8,paragraph,Normal,
9,paragraph,Normal,目录
10,paragraph,Normal,时代背景	3
11,paragraph,Normal,机遇	3
12,paragraph,Normal,挑战	12
13,paragraph,Normal,理论	14
14,paragraph,Normal,合作	14
15,paragraph,Normal,竞争	23
16,paragraph,Normal,国家安全	27
17,paragraph,Normal,经济全球化	33
18,paragraph,Normal,国：成员国和相关国家发展	33
19,paragraph,Normal,环：经济环节与要素流动	34
20,paragraph,Normal,配：资源配置	35
21,paragraph,Normal,贸资：贸易投资自由化便利化	37
22,paragraph,Normal,总：开放包容普惠平衡共赢方向	48
23,paragraph,Normal,开：高水平对外开放	67
24,paragraph,Normal,兼：国内国际两种资源两个市场	80
25,paragraph,Normal,国际分工、企业出海与国际竞争新优势	93
26,paragraph,Normal,全球经济治理与规则权益	98
27,paragraph,Normal,产业链供应链与开放安全	105
28,paragraph,Normal,数字经济、绿色转型与新兴领域	111
29,paragraph,Normal,贸易保护主义与多边贸易体制	116
30,paragraph,Normal,政治多极化	120
31,paragraph,Normal,新国关：新型国际关系	120
32,paragraph,Normal,完全治：完善全球治理	133
33,paragraph,Normal,共体：人类命运共同体	156
34,paragraph,Normal,单边/斥：反对单边主义等错误倾向	168
35,paragraph,Normal,民主：国际关系民主化	175
36,paragraph,Normal,世界多极化、全球南方与发展中国家	183
37,paragraph,Normal,国际秩序与国际法治	189
38,paragraph,Normal,具体治理议题与文明互鉴	190
39,paragraph,Normal,中国	192
40,paragraph,Normal,政策	192
41,paragraph,Normal,智慧	201
42,paragraph,Normal,责任	227
43,paragraph,Normal,一条历史线	250
44,paragraph,Normal,一条主线	253
45,paragraph,Normal,联合国	255
46,paragraph,Normal,多边主义/多极化场所	255
47,paragraph,Normal,联合国宪章宗旨和原则	256
48,paragraph,Normal,联合国发展议程与全球治理贡献	262
49,paragraph,Normal,中国与联合国关系	264
50,paragraph,Normal,六大要素术语极简速记版	265
51,paragraph,Normal,时代背景	265
52,paragraph,Normal,理论	265
53,paragraph,Normal,经济全球化	265
54,paragraph,Normal,政治多极化	266
55,paragraph,Normal,中国	267
56,paragraph,Normal,联合国	268
57,paragraph,Normal,
58,paragraph,Heading 1,时代背景
59,paragraph,Heading 2,机遇
60,paragraph,Heading 3,核心答题点：和平与发展仍是时代主题
61,paragraph,Normal,1. 2026通州期末Q20
