source_id,path,year,suite,file_type,evidence_type,status,extraction_method,confidence,notes
SRC_ROOT_2024,/Users/wanglifei/Desktop/2024模拟题,2024,root,directory,source_root,source_checked,filesystem,high,Raw source root for 2024 mock papers.
SRC_ROOT_2025,/Users/wanglifei/Desktop/2025模拟题,2025,root,directory,source_root,source_checked,filesystem,high,Raw source root for 2025 mock papers.
SRC_ROOT_2026,/Users/wanglifei/Desktop/2026模拟题,2026,root,directory,source_root,source_checked,filesystem,high,Raw source root for 2026 mock papers.
NOTEBOOK_XBY1,/Users/wanglifei/Desktop/北京高考政治/选必一复查_2026-04-29/选必一_交付要求记事本.md,2026,run_notebook,markdown,user_hard_rules,source_checked,text_read,high,Hard user rules and corrections; not a scoring evidence source.
SRC_d3bf32a70598,/Users/wanglifei/Desktop/2024模拟题/北京2024各区《经济与社会》考题-wlfwlf.docx,2024,北京2024各区《经济与社会》考题-wlfwlf.docx,docx,other,not_started,pending_word_or_textutil,medium,
SRC_7d9c899ad31f,/Users/wanglifei/Desktop/2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,2024,北京及2024各区《经济与社会》考题-wlf.pdf,pdf,other,not_started,pending_pdf_text_or_render,medium,
SRC_04f136a5f8d1,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,2024,丰台一模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_a2905154bbd4,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,2024,丰台一模,pdf,paper,not_started,pending_pdf_text_or_render,high,
SRC_60a70dc180c6,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,2024,丰台一模,pdf,rubric_or_marking,not_started,pending_pdf_text_or_render,high,
SRC_f887d1b620c6,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,2024,石景山一模,pptx,rubric_or_marking,not_started,pending_ppt_render_or_zip,high,
SRC_6fbd7d422e58,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,2024,石景山一模,docx,paper,not_started,pending_word_or_textutil,high,
SRC_df323259ba77,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,2024,2024朝阳二模,pdf,rubric_or_marking,not_started,pending_pdf_text_or_render,high,
SRC_8802a640c1e2,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,2024,2024朝阳二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_4de874d0f669,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,2024,2024朝阳二模,pdf,paper,not_started,pending_pdf_text_or_render,high,
SRC_461b3fdcd830,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,2024,西城一模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_ae7373932e0b,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,2024,西城一模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_359083f91cd3,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,2024,西城一模,docx,paper,not_started,pending_word_or_textutil,high,
SRC_0eb74816f25f,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,2024,顺义思政二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_3019384a5b42,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,2024,顺义思政二模,docx,paper,not_started,pending_word_or_textutil,high,
SRC_144e07c6e537,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,2024,东城二模,pdf,rubric_or_marking,not_started,pending_pdf_text_or_render,high,
SRC_f89c1a3533f5,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_c94e22c92a69,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_6f5e364530de,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,2024,东城二模,pptx,rubric_or_marking,not_started,pending_ppt_render_or_zip,high,
SRC_9c72a99890c0,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_593d33b50bbf,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_82b0237dce42,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_322c2db4a7fe,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,2024,东城二模,pptx,rubric_or_marking,not_started,pending_ppt_render_or_zip,high,
SRC_242c241d6288,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_76b0722d57f1,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_c492176058fd,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_9080f96f9701,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,2024,东城二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_6a382f2c9e97,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,2024,东城二模,pdf,paper,not_started,pending_pdf_text_or_render,high,
SRC_e61b8f13001a,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_2cc62698b97c,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_98d21522da5e,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_7e91ca9d6ed4,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,2024,202404各区一模试题分类（按模块）,doc,paper,not_started,pending_word_or_textutil,high,
SRC_f3d24ca7308c,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_022512b3acc6,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_dc86b569e8e2,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,2024,202404各区一模试题分类（按模块）,docx,paper,not_started,pending_word_or_textutil,high,
SRC_24a14c0c2355,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,2024,2024海淀一模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_5f85521d3602,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,2024,2024海淀一模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_22a9fc350542,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,2024,2024海淀一模,pdf,paper,not_started,pending_pdf_text_or_render,high,
SRC_8cabfb2a5c95,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,2024,丰台二模,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
SRC_610be819f51b,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,2024,丰台二模,pdf,paper,not_started,pending_pdf_text_or_render,high,
SRC_3d4cd35f4494,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,2024,2024朝阳期中,docx,rubric_or_marking,not_started,pending_word_or_textutil,high,
