"题号","题型","分值","主控模块","跨书连接","热点材料方向","推荐来源","来源链接","能力要求","预计难度","命题备注"
"1","选择题","3","必修一 中国特色社会主义","无","十五五规划、中国式现代化与青年担当","新华社：习近平总书记全过程人民民主重大理念的生动实践","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html","时代定位、价值判断","中","必修一只进入选择题，不进主观题。"
"2","选择题","3","必修四 哲学与文化","无","春节非遗、传统文化创造性转化","央视网：非遗盛宴为春节增添文化味","https://news.cctv.com/2026/02/08/ARTIhL6Ss8hzc48za3eNDRXu260208.shtml","文化传承、文化创新","易中","错肢可设计为否认人民群众主体或割裂传统与现代。"
"3","选择题","3","必修三 政治与法治","无","北京接诉即办、政协民主监督嵌入治理链条","首都之窗/北京日报：各界委员齐参与“每月一题”聚共识","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html","基层治理、全过程人民民主","中","注意政协不是国家权力机关，不行使国家权力。"
"4","选择题","3","必修二 经济与社会","可连选必三","智能经济新形态、新质生产力","新华网：打造智能经济新形态，新提法里有深意","https://www.xinhuanet.com/politics/20260308/05d28fb3f67c4159b8cae3cd5f297ce0/c.html","经济现象归因、政策作用","中","错肢避免把AI简单等同为决定性唯一因素。"
"5","选择题","3","必修二 经济与社会","无","消费品以旧换新、服务消费、扩大内需","央视新闻：2500亿元支持消费品以旧换新","https://news.cctv.com/2026/03/22/ARTIQPqR1S3KumY62uFFjk3h260322.shtml","宏观调控、消费作用","中","可考财政政策、消费对经济循环作用。"
"6","选择题","3","必修二 经济与社会","可连必修四","智慧农业、科技春耕、乡村振兴","央视网：智慧农机+科技春管助力春耕备耕","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml","新发展理念、乡村振兴","易中","错肢可设置为只依赖市场或只依赖技术。"
"7","选择题","3","选必二 法律与生活","可连必修三","生态环境法典、绿色低碳发展","最高人民法院：学习贯彻生态环境法典服务保障更高水平生态建设","https://www.court.gov.cn/zixun/xiangqing/498351.html","权利义务、法律责任","中难","可用法条材料考权利义务统一和侵权责任。"
"8","选择题","3","选必二 法律与生活","无","知识产权严格保护、恶意商标注册","国家知识产权局：知识产权执法典型案件","https://www.cnipa.gov.cn/art/2026/2/11/art_55_204620.html","知识产权、法律推理","中难","适合设置商标、专利、不正当竞争混淆错肢。"
"9","选择题","3","必修三 政治与法治","无","全国两会、全过程人民民主、代表委员履职","新华社：全过程人民民主重大理念的生动实践","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html","制度优势、民主实践","中","区分人大代表、政协委员、政府部门职责。"
"10","选择题","3","必修二 经济与社会","可连法律保障","长期护理保险、社会保障体系","央视网：关于加快建立长期护理保险制度的意见","https://news.cctv.com/2026/03/26/ARTIFjC5QQtKdbBg1UCdgiIh260326.shtml","社会保障、共同富裕","中","可考社会保障、风险分担、人民生活保障。"
"11","选择题","3","必修四 哲学与文化","可连选必三","全民阅读条例、AI时代阅读","人民日报/人民网：人工智能时代如何构建阅读大模型","https://cpc.people.com.cn/n1/2026/0420/c64387-40704588.html","文化功能、认识发展","中","可考文化强国、阅读与人的全面发展。"
"12","选择题","3","选必一 当代国际政治与经济","无","WTO改革、中国立场、多边贸易体制","商务部：中国关于当前形势下世贸组织改革的立场文件","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html","国际经济规则、开放型世界经济","中难","避免把WTO说成主导国际政治秩序。"
"13","选择题","3","选必三 逻辑与思维","可连选必二","商标法、知识产权案例中的充分必要条件","国家知识产权局：《关于加强商标使用管理的通知》解读","https://www.cnipa.gov.cn/art/2025/12/30/art_66_203339.html","概念、判断、推理","难","材料要转化为逻辑结构，不直接考法规记忆。"
"14","选择题","3","选必一 当代国际政治与经济","无","全球治理、多边主义、中国方案","新华网：新质生产力和现代化产业体系相关报道","https://www.xinhuanet.com/politics/leaders/20260317/512ddaf53d71442b9ecdc376d6ea3869/c.html","国际关系、全球治理","中","可与全球产业链、南南合作、国际规则结合。"
"15","选择题","3","必修三 政治与法治","可连北京治理","新时代枫桥经验、北京基层平安治理","央视网：北京派出所把平安融进警民同心","https://news.cctv.com/2026/02/27/ARTI6jHU2ljC1vC0VNz0ot3p260227.shtml","基层治理、共建共治共享","中","适合收束选择题，保持北京地方味。"
"16","主观题","8","必修二 经济与社会","与19形成经济角度综合","中国—东盟自贸区3.0与区域产业链、国内高质量发展","人民日报/人民网：中国—东盟自贸区3.0版是区域经济一体化的重要里程碑","https://cpc.people.com.cn/n1/2025/1210/c64387-40621155.html","经济解释、政策作用、材料概括","中难","评分只归必修二：市场、政府、产业链、内需、发展理念。"
"17","主观题","8","必修三 政治与法治","与20形成法治角度综合","生态环境法典、法治轨道推进生态文明建设","最高人民法院：学习贯彻生态环境法典服务保障更高水平生态建设","https://www.court.gov.cn/zixun/xiangqing/498351.html","依法治国、国家机关职责、制度优势","中难","评分只归必修三：科学立法、严格执法、公正司法、全民守法。"
"18","主观题","8","必修四 哲学与文化","无","全民阅读条例、AI时代阅读与书香社会","央视网：全民阅读促进条例施行","https://book.cctv.com/2026/02/01/ARTIc9sqo4U0oGweeQeBaMVQ260201.shtml","文化功能、价值引领、辩证分析","中","可设“为什么阅读需要立法/公共推动”。"
"19","主观题","9","选必一 当代国际政治与经济","与16形成经济角度综合","中国—东盟自贸区3.0、WTO改革、高水平开放","商务部：中国关于当前形势下世贸组织改革的立场文件","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html","国际经济、全球治理、开放型世界经济","难","评分只归选必一：经济全球化、国际规则、多边主义、中国方案。"
"20","主观题","10","选必二 法律与生活","与17形成法治角度综合","生态环境法典、民法典绿色原则、环境侵权责任","最高人民法院：以司法之力“典”靓美丽中国","https://www.court.gov.cn/zixun/xiangqing/466231.html","法律关系、责任认定、权利救济","难","评分只归选必二：民事权利义务、侵权责任、举证与救济。"
"21","主观题","12","选必三 逻辑与思维","可连智能经济热点","智能经济新形态中的概念界定、条件判断与创新思维","新华网：如何打造智能经济新形态","https://www.xinhuanet.com/tech/20260313/028b29a534424410bda84fb52f1e08ae/c.html","定义、判断、推理、创新思维","难","可设计评析题，要求判断观点是否成立并说明逻辑理由。"
