"source_id","年份","区","场次","题号/小问","题型","材料关键词","涉及法律关系","框架节点","原文件路径","页码/位置","答案依据类型","是否评分细则","source_type","rubric_level","核查状态","风险备注","训练价值"
"S01","2024","西城","一模","6","选择题","机动车质押、债务清偿、优先受偿","债权/担保物权/质权","物权与担保物权","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 3-8","试题汇编","否","正式试题汇编","无评分细则","降级使用","汇编含题干和选项，未见逐题评分细则；用于质押触发词和错项素材","错项/基础触发"
"S01","2024","东城","一模","9","选择题","房屋产权确认、法院判决、物权变动","物权确认/不动产物权","物权确认与登记边界","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 22-28","试题汇编","否","正式试题汇编","无评分细则","降级使用","用于区分法院判决、登记与物权确认，不作为主观题采分链","错项/基础触发"
"S01","2024","石景山","一模","17","主观题","碳排放权交易、比选报价、中标确认、未履约补差价","合同成立/有效/履行/违约/绿色原则","合同成立/有效/履行/违约分流表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 69-77","答案汇编","否","正式试题汇编+参考答案","参考答案","已核","不是单独评分细则；作为合同分流对照例，意义句必须材料化到碳排放交易秩序","母题/对照例"
"S02","2024","海淀","一模","19","主观题","虚拟数字人Ada、视频替换标识、商业营销","著作权/不正当竞争/虚假宣传","知识产权客体表与AI数字人易混点","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b692254ceb1b8174_2024海淀一模细则.txt","细则对应19题","评分细则","是","评分细则","评分细则","已核","需先判保护客体，不得把AI形象题写成著作权万能题","母题/综合材料"
"S01","2024","丰台","一模","17","主观题","好意同乘、交通事故、搭乘人受伤、减轻责任","侵权责任/生命健康权/减责","侵权四要件与减责边界","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 86-90","答案汇编","否","正式试题汇编+参考答案","参考答案","已核","非评分细则；用于侵权四要件和责任减轻，不写成绝对赔偿","变式/边界"
"S01","2024","房山","一模","17","主观题","蜜胺专利、技术秘密、非法获取技术包","专利权/技术秘密/不正当竞争","知识产权客体表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 93-104","答案汇编","否","正式试题汇编+参考答案","参考答案","已核","需区分专利与技术秘密，不能混称知识产权一句话","变式/客体识别"
"S01","2024","朝阳","一模","10","选择题","饭店水壶、透明液体、提示标志模糊","公共场所安全保障义务/一般侵权","侵权责任分流表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 47-56","试题汇编","否","正式试题汇编","无评分细则","降级使用","只用于选择题错项和安全保障触发，不直接作主观题细则","错项/变式"
"S01","2024","朝阳","一模","19","主观题","购销合同欠款、码上诚信、信用信息","合同履行/诚信原则/消费者信赖","合同诚信与市场秩序","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 107-121","答案汇编","否","正式试题汇编+参考答案","参考答案","已核","价值题，不能改写成纯违约责任题；诚信意义需扣购销欠款和消费信用场景","意义类/综合材料"
"S01","2024","西城","一模","18","主观题","九旬老人赡养、回避申请、辩护人误写","赡养义务/精神慰藉/回避/诉讼代理","家庭继承路径表与程序证据链","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","lines 140-165","答案汇编","否","正式试题汇编+参考答案","参考答案","已核","同题含家庭和程序点，框架中要按小问处理；诉讼代理人不是辩护人","母题/程序补点"
"S05","2024","东城","一模","19","主观题","普通债权诉讼时效、赡养费不适用时效","诉讼时效/赡养义务","程序证据链与赡养边界","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt","lines 148-153","评分细则","是","评分细则","评分细则","已核","用于区分普通债权时效与赡养费请求权保护","程序补点/家庭"
