"层级","区域","参考顺序","缓存条目数","基础权重","主要用途","可直接进入蓝图的条件","冲突处理"
"A","海淀","1","16","1.00","主导全卷风格、材料密度、综合难度、主观题设问方式、答案链条","海淀细则/评标/阅卷总结中明确出现的给分动作，可直接作为高可信口径；若与西城重复，升级为核心口径。","与其他区冲突时优先保留海淀，但需检查是否为年份差异。"
"B","西城","2","15","0.90","校准版式、表达克制程度、细则颗粒度、主观题分点方式","西城细则/答案/讲评明确出现，且与海淀不冲突，可进入主模板；与海淀重复时作为核心口径。","与海淀冲突时优先按海淀，西城作为措辞校准。"
"C","东城","3","32","0.80","补充题材类型、选择题错肢方式、主观题切入角度","东城口径若与海淀或西城任一重复，可进入主模板；单独出现时作为备选。","与海淀/西城冲突时降为备选，记录原因。"
"D","朝阳","4","19","0.75","补充现实材料组织方式、讲评口径、时政题材扩展","朝阳口径若与海淀或西城任一重复，可采用；若与东城/丰台重复但未见海淀西城，只作为待验证。","与主参考区冲突时不采用。"
"E","丰台","5","18","0.70","补充中档题稳定表达、细则变式和边界案例","丰台口径若与海淀/西城/东城之一重复，可采用；单独出现时用于错肢或答案备选表达。","与主参考区冲突时不采用。"
"F","其他区","6","33","0.50","发现重复题型、重复给分链、补充冷门模块素材","只在其他区单独出现的细则，不进入主评分模板；至少两个其他区重复且不与主参考区冲突，可作为备选证据。","不得覆盖海淀、西城、东城、朝阳、丰台口径。"
"R1","重复细则","横向规则","-","加权","判断评分口径可信度","同一知识链条在两个以上重点区重复出现，可信度上升；海淀+西城重复为最高可信。","保留最具体、最可操作的给分表述。"
"R2","来源类型","纵向规则","-","加权","区分细则、答案、讲评、普通参考答案","细则/评标/阅卷总结 > 讲评课件 > 教师版答案 > 普通参考答案。普通答案不得单独充当评分细则。","若只有普通答案，标记为answer-only，不纳入细则模板。"
"R3","年份时效","纵向规则","-","加权","处理2024-2026题风变化","2026优先，其次2025，再次2024；但结构性稳定口径可跨年保留。","若2026口径与2024不同，优先采用2026并标注变化。"
"R4","题型迁移","横向规则","-","加权","把样卷细则迁移到原创题","只能迁移给分动作、知识链条和材料触发方式，不能迁移原题材料、设问和答案原句。","若迁移后材料触发不足，必须重写材料或降级该评分点。"
