module,node,source,question_type,title,knowledge,origin,has_full_prompt,has_landing,has_image
一、唯物论,物质决定意识,2026海淀一模 第16题,主观题,物质决定意识：人工智能时代的客观现实决定人文学科不可替代的必要性,物质决定意识,user-verified-rubric-correction-2026-04-29,True,True,False
一、唯物论,物质决定意识,2025东城高三二模 第16题,主观题,物质决定意识，意识是对客观存在的反映。,物质决定意识，意识是对客观存在的反映。,Codex-2026-04-27,True,True,False
一、唯物论,物质决定意识,2024朝阳高三二模 第16题（2）,主观题,实践观点,实践观点 / 发展观点 / 联系观点 / 物质与意识辩证关系 / 尊重规律与发挥主观能动性。,Codex-2026-04-27,True,True,False
一、唯物论,物质决定意识,2024朝阳高三二模 第16题（2）,主观题,物质与意识的辩证关系,物质与意识的辩证关系 / 意识对物质具有能动作用。,Codex-2026-04-27,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025海淀期末 第17题,主观题,一切从实际出发/尊重客观规律。,一切从实际出发/尊重客观规律。,2025A_v6_student_entries.md,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025西城一模 第17题,主观题,一切从实际出发/尊重规律。,一切从实际出发/尊重规律。,2025A_v6_audit_entries.csv,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026西城期末 第21题,主观题,实事求是与发展观点。,实事求是与发展观点。,2026B_v6_student_entries.md,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025东城二模 第16题,主观题,一切从实际出发。,一切从实际出发。,2025B_v6_student_entries.md,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026房山一模 第16(2)题,主观题,矛盾普遍性与特殊性统一：因地制宜不是随意发挥，而是具体问题具体分析。,矛盾普遍性与特殊性统一,current-thread-supplement,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026房山一模 第16(2)题,主观题,一切从实际出发：因地制宜就是让发展方案符合地方真实条件。,一切从实际出发,current-thread-supplement,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026通州期末 第16题,主观题,都江堰治水智慧中的实践与文化双创。,都江堰治水智慧中的实践与文化双创。,2026B_v6_student_entries.md,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026海淀一模 第8题,选择题,实事求是/一切从实际出发。,实事求是/一切从实际出发。,late-objective-closure,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026东城一模 第1题,选择题,正确项呼应该知识；不得写成主观题正确项对应链。,正确项呼应该知识；不得写成主观题正确项对应链。,S040-sample-output,True,True,False
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025丰台期末 第7题,选择题,一切从实际出发。,一切从实际出发 / 实事求是。,2025A_v6_student_entries.md+Codex-chain,True,True,True
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025丰台期末 第7题,选择题,一切从实际出发。,一切从实际出发。,2025A_v6_audit_entries.csv,True,True,True
一、唯物论,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026门头沟一模 第4题,选择题,choice_correct。,choice_correct。,2026A_v6_audit_entries.csv,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2025海淀期末 第16题,主观题,联系观点/发展观点。,联系观点 / 发展观点 / 辩证否定 / 主观能动性。,2025A_v6_student_entries.md+Codex-chain,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2026海淀一模 第16题,主观题,主观能动性 / 意识的能动作用：人要主动辨析价值冲突、理解技术边界,主观能动性 / 意识的能动作用,user-verified-rubric-correction-2026-04-29,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2026海淀期末 第16题,主观题,矛盾观点与意识能动作用。,矛盾观点与意识能动作用。,2026B_v6_student_entries.md,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2024西城一模 第17题,主观题,尊重客观规律，正确发挥主观能动性。,尊重客观规律，正确发挥主观能动性。,2024_v6_student_entries.md,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2025西城二模 第16题（1）,主观题,尊重规律与正确发挥主观能动性。,尊重规律与正确发挥主观能动性。,2025B_v6_student_entries.md,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2025东城期末 第16题,主观题,意识能动作用。,意识能动作用。,2025A_v6_student_entries.md,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2025西城二模 第5题,选择题,“超越客观条件实现价值”的夸大。,“超越客观条件实现价值”的夸大。,2025B_v6_student_entries.md,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2024顺义思政二模 第2题,选择题,主观能动性 / 意识的能动作用,主观能动性 / 意识的能动作用,targeted-coverage-backfill,True,True,False
一、唯物论,主观能动性 / 意识的能动作用,2025昌平二模 第3题,选择题,主观能动性与文化创新。,主观能动性与文化创新。,2025B_v6_student_entries.md,True,True,False
一、唯物论,尊重客观规律与发挥主观能动性相结合,2024西城二模 第17题,主观题,哲学与文化。,哲学与文化。,2024_v6_audit_entries.csv,True,True,False
一、唯物论,尊重客观规律与发挥主观能动性相结合,2026朝阳一模 第16题,主观题,尊重客观规律与发挥主观能动性。,尊重客观规律与发挥主观能动性相结合。,2026A_v6_student_entries.md+Codex-chain,True,True,False
一、唯物论,尊重客观规律与发挥主观能动性相结合,2026朝阳一模 第16题,主观题,实践是认识的基础，正确认识指导实践。,尊重客观规律与发挥主观能动性；联系观点；整体与部分/系统优化；实践是认识的基础；认识反作用于实践；矛盾对立统一。,2026A_v6_student_entries.md+Codex-chain,True,True,False
一、唯物论,尊重客观规律与发挥主观能动性相结合,2025丰台二模 第21题,主观题,尊重客观规律与发挥主观能动性。,尊重客观规律与发挥主观能动性。,2025B_v6_audit_entries.csv,True,True,False
