priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,decision,decision_reason,source_evidence,patch_needed,can_enter_fusion
P2,Q-2024朝阳期中-10,Q-2024朝阳期中-10,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>概念>外延关系>属种关系,B-choice-signal,source_insufficient,题干（‘中国式现代化是人与自然和谐共生的现代化…’）及四个选项A‘中国式现代化与现代化是属种关系’/B‘良好的生态环境与民生福祉外延一致’/C‘留住为对称关系’/D‘如今正在变成现实说明把握量变与质变’均能在017_paper.txt::Q10（行90-96）逐字核验；三份support文件仍不含Q10客观题答案；manifest本身亦记phase12_action=blocked_keep_out、phase12_category=answer_missing、note=‘只找到试卷题面，未找到可靠选择题答案表；不得逻辑猜答案’；按硬规则维持source_insufficient；维持manifest evidence_level=B-choice-signal,017_*paper.txt::Q10 行90-96 题干及A属种/B外延一致/C对称关系/D量变质变四个选项完整可见；017_*评标docx.docx 全文不出现Q10答案；017_*评标2.docx 仅为分组首页；017_*期中1试题(1).pdf 为试卷副本无答案表；RECHECK_MANIFEST_ENRICHED.csv 第32行已记phase12_action=blocked_keep_out/answer_missing,yes,no
P2,Q-2024朝阳期中-7,Q-2024朝阳期中-7,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第三格AAI式,B-choice-signal,source_insufficient,题干（北京中轴线列入《世界遗产名录》后小刘同学的4个判断①②③④）以及四个排序选项A①-③-④/B②-①-③/C③-②-④/D④-②-①均能在017_paper.txt::Q7（行65-73）逐字核验，stem与options完整可信；但本源附带的三份support文件——017_*评标docx.docx（16/17/18/20题主观题阅卷细则）、017_*评标2.docx（阅卷小组分组首页）、017_*期中1试题(1).pdf（试卷副本）——均不包含Q7的客观题答案表，无任何文字标明正确选项；按P2硬规则‘不得逻辑猜答案’，无法确认三段论第三格AAI式选项；维持manifest evidence_level=B-choice-signal,017_*paper.txt::Q7 行65-73 题干与四个排序选项完整呈现；017_*评标docx.docx 全文仅覆盖16/17/18题（任会波组）/20题（1）（2）（3）评分细则，未提Q1-Q15客观题答案；017_*评标2.docx 全文仅为‘20241109高3阅卷总结16/17/18/20（1）（2）（3）题组及20240708高2阅卷总结22题’7行小组首页，无答案表；017_*期中1试题(1).pdf 与paper.txt完全同文（题面副本）,yes,no
P2,Q-2024朝阳期中-8,Q-2024朝阳期中-8,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>必要条件假言判断（三种等价表达式）,B-choice-signal,source_insufficient,题干（‘调查研究是谋事之基、成事之道，没有调查就没有发言权，没有调查就没有决策权…’）及①②③④四个判断、A①③/B①④/C②③/D②④四个组合选项均能在017_paper.txt::Q8（行74-81）逐字核验；但同一来源的三份support文件均仅含16/17/18/20题主观题阅卷细则，无Q8客观题答案；按硬规则不得逻辑猜答案，无法确认必要条件假言判断三种等价表达式（②‘除非……否则不’、④‘只有……才’与①‘充分必要条件’/③‘只要……就’充分条件式之间的取舍）；维持manifest evidence_level=B-choice-signal,017_*paper.txt::Q8 行74-81 题干‘调查研究是谋事之基、成事之道…’、四个候选判断①②③④及A①③/B①④/C②③/D②④四个组合完整可见；017_*评标docx.docx 全文不出现Q8答案；017_*评标2.docx 仅为分组首页；017_*期中1试题(1).pdf 为试卷副本无答案表,yes,no
P2,Q-2026朝阳期中-11,Q-2026朝阳期中-11,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第二格补大前提,B-choice-signal,confirmed_with_patch,答案A把中项“耐干旱月季花”和大项“适应北京夏季高温环境”连起来，使从小前提到结论的推理成立。,"003 paper.txt::Q11-Q15 stems/options; answer table line 241-242 gives 11 A, 12 B, 13 D, 14 B, 15 D.",yes,yes
P2,Q-2026朝阳期中-12,Q-2026朝阳期中-12,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>相容选言判断,B-choice-signal,confirmed_with_patch,B项符合相容选言判断的逻辑要求，至少一个选言支为真即可为真，也允许两个选言支同时为真。,"003 paper.txt::Q11-Q15 stems/options; answer table line 241-242 gives 11 A, 12 B, 13 D, 14 B, 15 D.",yes,yes
P2,Q-2026朝阳期中-13,Q-2026朝阳期中-13,batch02_chaoyang_controlled_input,choice_trap,创新思维>联想思维（与认识发展历程综合）,B-choice-signal,confirmed_with_patch,答案D对应②④：比喻含类比推理的表达功能，也体现联想思维把不同对象的认识联结起来。,"003 paper.txt::Q11-Q15 stems/options; answer table line 241-242 gives 11 A, 12 B, 13 D, 14 B, 15 D.",yes,yes
P2,Q-2026朝阳期中-14,Q-2026朝阳期中-14,batch02_chaoyang_controlled_input,choice_trap,推理>归纳>不完全归纳推理或然性,B-choice-signal,confirmed_with_patch,答案B对应①④：天气谚语产生于生活实践并反作用于生活，同时未考察全部对象，结论具有或然性。,"003 paper.txt::Q11-Q15 stems/options; answer table line 241-242 gives 11 A, 12 B, 13 D, 14 B, 15 D.",yes,yes
P2,Q-2026朝阳期中-15,Q-2026朝阳期中-15,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>联言判断（真值条件）,B-choice-signal,confirmed_with_patch,联言判断全真才真，一假即假；否定一个联言支即可否定整个联言判断。,"003 paper.txt::Q11-Q15 stems/options; answer table line 241-242 gives 11 A, 12 B, 13 D, 14 B, 15 D.",yes,yes
P2,Q-2025东城期末-13,Q-2025东城期末-13,batch03_dongcheng,choice_trap,推理>演绎推理>三段论·中项不周延,B-choice-signal,confirmed_with_patch,题干（国资委'国资小新'网店上架央企产品→下列三段论推理违反相同逻辑规则的是）+四个三段论①祥云AS700-大国重器-载人飞艇/②歼-20飞行员手表-三盘六针/③碳纤维自行车-山地骑行-山地车/④石墨烯围巾-智能温控系统-自动调节温度+四个组合A①②/B①③/C②④/D③④ 已在012_*paper.txt::Q13（行110-117）逐字核验；参考答案表（012_*paper.txt 行490-509）明示'故选：B'与逐项解析（①③共同犯'中项不周延'/②犯'大项不当扩大'/④犯'四概念'错误），证据完整支持framework_node='推理>演绎推理>三段论·中项不周延'；维持manifest evidence_level=B-choice-signal；framework_first_fusion_P1_PATCHED.md 第643行该行仍标'需 Codex 回源复核'，应在后续fusion patch中去除该标记并锁定答案B,012_*paper.txt::Q13 行110-117 题干与四个三段论候选+ABCD四个组合完整可见；012_*paper.txt::13．【分析】行490-509 含'本题考查：三段论推理'+三段论保真四规则（三个不同的项/中项至少周延一次/前提中不周延的项在结论中不得周延/两个否定前提不能必然推出结论）+'故选：B'+①③中项不周延+②大项不当扩大+④四概念错误的逐项分析；012_*2025东城期末细则.pptx.txt 全文不含Q13；012_*2025。1东城讲评_修改.pdf.txt 全文不含Q13,yes,yes
P2,Q-2025东城期末-14,Q-2025东城期末-14,batch03_dongcheng,choice_trap,推理>判断>性质判断·主谓项周延,B-choice-signal,confirmed_with_patch,题干（北京中轴线位于北京老城中心，是统领整个老城规划格局的建筑与遗址的组合体，由古代皇家宫苑建筑、古代皇家祭祀建筑等遗址组成，是中华文明'中''和'文化传统的特殊见证→下列选项正确的是）+四个选项A属种关系/B'位于'传递关系/C外延一致/D'统领整个老城规划格局的建筑与遗址的组合体'是不周延的 已在012_*paper.txt::Q14（行118-124）逐字核验；参考答案表（012_*paper.txt 行510-542）明示'故选：D'+教材性质判断/关系判断量项规则+四项逐项解析（A整体部分关系不是属种关系/B反对称关系不是传递关系/C外延不一致/D肯定判断谓项不周延），证据完整支持framework_node='推理>判断>性质判断·主谓项周延'；维持manifest evidence_level=B-choice-signal；framework_first_fusion_P1_PATCHED.md 第543行该行仍标'需 Codex 回源复核'，应在后续fusion patch中去除该标记并锁定答案D,012_*paper.txt::Q14 行118-124 题干与四个选项A/B/C/D完整可见；012_*paper.txt::14．【分析】行510-542 含'本题考查：性质判断'+判断含义/基本特征/规则/分类（简单判断/复合判断/直言判断的全称否定/特称肯定否定/单称肯定否定六种基本判断形式）+'故选：D'+四项逐项分析；012_*2025东城期末细则.pptx.txt 全文不含Q14；012_*2025。1东城讲评_修改.pdf.txt 全文不含Q14,yes,yes
